analysis_date,window,factor_name,n,nonmissing_count,missing_share,zero_share,mean,std,p01,p05,median,p95,p99
2015-04-30,60,cross_industry_degree,1993,1993,0.0,0.004014049172102358,16.065228299046662,15.573748937118815,1.0,3.0,12.0,50.0,77.07999999999993
2015-05-29,60,cross_industry_degree,1914,1914,0.0,0.011494252873563218,15.158829676071056,17.191978211561025,0.0,2.0,10.0,51.0,92.0
2015-06-30,60,cross_industry_degree,1802,1802,0.0,0.013873473917869035,14.546059933407324,16.409416996434995,0.0,1.0,9.0,50.0,78.99000000000001
2015-07-31,60,cross_industry_degree,1572,1572,0.0,0.13931297709923665,12.787531806615776,20.61356916832044,0.0,0.0,4.0,62.0,96.28999999999996
2015-08-31,60,cross_industry_degree,1645,1645,0.0,0.12340425531914893,13.533130699088145,22.602840884158553,0.0,0.0,5.0,69.0,105.55999999999995
2015-09-30,60,cross_industry_degree,1769,1769,0.0,0.16732617297908423,14.960994912379876,26.46512160859013,0.0,0.0,4.0,79.0,126.0
2015-10-30,60,cross_industry_degree,1962,1962,0.0,0.12232415902140673,16.924566768603466,30.35992748143108,0.0,0.0,5.0,93.94999999999982,144.0
2015-11-30,60,cross_industry_degree,2037,2037,0.0,0.052528227785959745,17.253804614629356,25.689966246394942,0.0,0.0,7.0,78.0,119.0
2015-12-31,60,cross_industry_degree,2119,2119,0.0,0.05804624823029731,17.49976403964134,27.49411323051248,0.0,0.0,6.0,85.0,126.82000000000016
2016-01-29,60,cross_industry_degree,2199,2199,0.0,0.0723055934515689,18.465666211914506,29.209917190923203,0.0,0.0,6.0,86.0,137.01999999999998
2016-02-29,60,cross_industry_degree,2241,2241,0.0,0.04373047746541722,19.071842927264615,30.754555343581167,0.0,1.0,8.0,92.0,156.0
2016-03-31,60,cross_industry_degree,2290,2290,0.0,0.025327510917030567,19.373799126637554,25.807703632623813,0.0,1.0,10.0,77.54999999999973,127.0
2016-04-29,60,cross_industry_degree,2246,2246,0.0,0.007123775601068566,18.66607301869991,24.569014819672194,1.0,2.0,10.0,75.0,129.55000000000018
2016-05-31,60,cross_industry_degree,2265,2265,0.0,0.0013245033112582781,18.73289183222958,14.043536839322018,2.0,4.0,15.0,48.0,68.0
2016-06-30,60,cross_industry_degree,2284,2284,0.0,0.0013134851138353765,19.085814360770577,13.83846609189025,2.0,4.0,15.0,48.0,69.0
