stock_1,stock_2,name_1,name_2,industry_1,industry_2,same_industry,industry_relation,persistence_before,core_before,always_before,mean_abs_partial_before,persistence_after,core_after,always_after,mean_abs_partial_after,delta_persistence,abs_delta_persistence,core_transition,regime_before,regime_after
000725,601318,京东方A,中国平安,电子,非银金融,False,Cross industry,1.0,True,True,0.06017313858174948,1.0,True,True,0.03616527970341342,0.0,0.0,Persistent core,1,2
000725,601398,京东方A,工商银行,电子,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
000725,603501,京东方A,韦尔股份,电子,电子,True,Same industry,1.0,True,True,0.16283243979429537,1.0,True,True,0.09108627737839091,0.0,0.0,Persistent core,1,2
000858,002415,五粮液,海康威视,食品饮料,电子,False,Cross industry,1.0,True,True,0.03191256374372282,1.0,True,True,0.022309278725555277,0.0,0.0,Persistent core,1,2
000858,002460,五粮液,赣锋锂业,食品饮料,新能源,False,Cross industry,1.0,True,True,0.0805136703657469,1.0,True,True,0.06234181654202111,0.0,0.0,Persistent core,1,2
000858,002475,五粮液,立讯精密,食品饮料,电子,False,Cross industry,0.8571428571428571,True,False,0.017252614505476164,1.0,True,True,0.038122060170626415,0.1428571428571429,0.1428571428571429,Persistent core,1,2
000858,600030,五粮液,中信证券,食品饮料,非银金融,False,Cross industry,0.14285714285714285,False,False,0.0008510970648317,0.8,True,False,0.035124080151283196,0.6571428571428573,0.6571428571428573,Gained core,1,2
000858,600036,五粮液,招商银行,食品饮料,银行,False,Cross industry,1.0,True,True,0.046824146498722956,0.4,False,False,0.0295044015327492,-0.6,0.6,Lost core,1,2
000858,600519,五粮液,贵州茅台,食品饮料,食品饮料,True,Same industry,1.0,True,True,0.2649320158398737,1.0,True,True,0.2982014963342293,0.0,0.0,Persistent core,1,2
000858,600887,五粮液,伊利股份,食品饮料,食品饮料,True,Same industry,1.0,True,True,0.09297553177757985,1.0,True,True,0.1605260821607381,0.0,0.0,Persistent core,1,2
000858,601288,五粮液,农业银行,食品饮料,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
000858,601318,五粮液,中国平安,食品饮料,非银金融,False,Cross industry,1.0,True,True,0.04389662876363413,1.0,True,True,0.05869975435120508,0.0,0.0,Persistent core,1,2
000858,601398,五粮液,工商银行,食品饮料,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
