regime_before,regime_after,stock_code,stock_name,industry,mean_degree_before,mean_degree_after,delta_mean_degree,mean_strength_before,mean_strength_after,delta_mean_strength,delta_mean_same_degree,delta_mean_cross_degree,delta_mean_same_strength,delta_mean_cross_strength,mean_degree_rank_before,mean_degree_rank_after,degree_rank_improvement,mean_strength_rank_before,mean_strength_rank_after,strength_rank_improvement,rank_shift_magnitude,delta_degree_top5_share,delta_strength_top5_share
1,2,000001,平安银行,银行,7.857142857142857,7.4,-0.4571428571428564,0.9864673727844345,0.8606460188854526,-0.12582135389898197,-0.1428571428571428,-0.31428571428571406,-0.03743634893321712,-0.08838500496576485,5.928571428571429,8.3,-2.371428571428572,2.2857142857142856,5.4,-3.1142857142857148,3.9143899881835793,-0.2857142857142857,-0.6
1,2,000568,泸州老窖,食品饮料,6.571428571428571,8.8,2.2285714285714295,0.8708024176358258,0.9809804590211696,0.11017804138534382,0.0,2.228571428571428,-0.08274851338566802,0.19292655477101195,9.357142857142858,4.8,4.557142857142858,4.857142857142857,3.0,1.8571428571428568,4.921029426069804,0.6,0.0
1,2,000725,京东方A,电子,6.428571428571429,8.6,2.171428571428571,0.5981975984685136,0.6676400176534489,0.06944241918493532,0.0,2.1714285714285713,0.006321163564650456,0.06312125562028476,9.714285714285714,5.1,4.614285714285714,10.142857142857142,11.8,-1.6571428571428584,4.9028313352634125,0.4,0.0
1,2,000858,五粮液,食品饮料,9.714285714285714,10.2,0.48571428571428577,1.1242575179628849,1.1970130931306433,0.07275557516775844,0.0,0.48571428571428577,0.05242987593206472,0.020325699235693884,2.142857142857143,1.5,0.6428571428571428,1.4285714285714286,1.0,0.4285714285714286,0.7726181304565691,0.0,0.0
1,2,002415,海康威视,电子,8.0,8.2,0.1999999999999993,0.5267958530000574,0.8542439657614874,0.32744811276143004,0.0,0.20000000000000018,0.11803306811802355,0.20941504464340635,5.428571428571429,6.7,-1.2714285714285714,12.285714285714286,6.0,6.2857142857142865,6.41301291858028,-0.22857142857142854,0.6
1,2,002460,赣锋锂业,新能源,7.571428571428571,9.2,1.6285714285714281,0.4171803208915435,0.6759512255166025,0.258770904625059,0.0,1.6285714285714281,0.0,0.258770904625059,6.642857142857143,3.8,2.8428571428571434,13.857142857142858,12.0,1.8571428571428577,3.3957055712370905,0.6571428571428573,0.0
1,2,002475,立讯精密,电子,5.285714285714286,5.8,0.5142857142857142,0.48067497644073004,0.4918115952277341,0.01113661878700406,0.0,0.5142857142857142,-0.028123132578091237,0.039259751365095276,11.785714285714286,11.8,-0.014285714285714235,13.714285714285714,15.0,-1.2857142857142865,1.2857936483442634,0.0,0.0
1,2,600030,中信证券,非银金融,9.714285714285714,9.2,-0.5142857142857142,0.7393109499003809,0.7092094153928893,-0.030101534507491645,0.0,-0.5142857142857142,-0.08591027179696878,0.055808737289476995,3.0714285714285716,4.7,-1.6285714285714286,7.857142857142857,10.8,-2.942857142857144,3.363428765593899,-0.2571428571428571,0.2
1,2,600036,招商银行,银行,8.285714285714286,4.8,-3.4857142857142867,0.9120276923897388,0.8299297875217059,-0.08209790486803292,-1.0,-2.4857142857142858,0.026888425394651194,-0.10898633026268417,5.285714285714286,12.9,-7.614285714285715,4.0,6.4,-2.4000000000000004,7.983567306585166,-0.5714285714285714,-0.6
1,2,600519,贵州茅台,食品饮料,6.285714285714286,6.6,0.31428571428571406,0.7709748425780801,0.8541168104941743,0.08314196791609418,0.0,0.3142857142857145,0.09633619302107066,-0.013194225104976476,10.071428571428571,10.4,-0.3285714285714292,7.0,6.0,1.0,1.05259640113078,0.0,0.4
