regime,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,industry_relation,n_regime_windows,windows_selected,persistence,is_core_edge,is_always_edge,mean_partial_when_selected,mean_abs_partial_when_selected,max_abs_partial_when_selected
1,000858,五粮液,食品饮料,600887,伊利股份,食品饮料,True,Same industry,7,7,1.0,True,True,0.09297553177757985,0.09297553177757985,0.124412821724251
1,000858,五粮液,食品饮料,601288,农业银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,000858,五粮液,食品饮料,601318,中国平安,非银金融,False,Cross industry,7,7,1.0,True,True,0.04389662876363413,0.04389662876363413,0.0687064591593759
1,000858,五粮液,食品饮料,601398,工商银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,000858,五粮液,食品饮料,603501,韦尔股份,电子,False,Cross industry,7,0,0.0,False,False,,,
1,002415,海康威视,电子,002460,赣锋锂业,新能源,False,Cross industry,7,6,0.8571428571428571,True,False,0.028340895714001585,0.028340895714001585,0.0659103037862816
1,002415,海康威视,电子,002475,立讯精密,电子,True,Same industry,7,7,1.0,True,True,0.1243052251236442,0.1243052251236442,0.1479711349355823
1,002415,海康威视,电子,600030,中信证券,非银金融,False,Cross industry,7,7,1.0,True,True,0.059169698484008715,0.059169698484008715,0.0982265871340157
1,002415,海康威视,电子,600036,招商银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,002415,海康威视,电子,600519,贵州茅台,食品饮料,False,Cross industry,7,0,0.0,False,False,,,
1,002415,海康威视,电子,600887,伊利股份,食品饮料,False,Cross industry,7,2,0.2857142857142857,False,False,0.024923904257263003,0.024923904257263003,0.0416041205198695
1,002415,海康威视,电子,601288,农业银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,002415,海康威视,电子,601318,中国平安,非银金融,False,Cross industry,7,7,1.0,True,True,0.0943516394738878,0.0943516394738878,0.1507543001322794
1,002415,海康威视,电子,601398,工商银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,002415,海康威视,电子,603501,韦尔股份,电子,True,Same industry,7,7,1.0,True,True,0.0968666903668161,0.0968666903668161,0.1198285362862611
1,002460,赣锋锂业,新能源,002475,立讯精密,电子,False,Cross industry,7,5,0.7142857142857143,False,False,0.01040804862351638,0.01040804862351638,0.018431303534658
1,002460,赣锋锂业,新能源,600030,中信证券,非银金融,False,Cross industry,7,7,1.0,True,True,0.06754515024281686,0.06754515024281686,0.112646948912786
1,002460,赣锋锂业,新能源,600036,招商银行,银行,False,Cross industry,7,3,0.42857142857142855,False,False,0.009090593009362734,0.009090593009362734,0.0119960450225661
1,002460,赣锋锂业,新能源,600519,贵州茅台,食品饮料,False,Cross industry,7,0,0.0,False,False,,,
1,002460,赣锋锂业,新能源,600887,伊利股份,食品饮料,False,Cross industry,7,0,0.0,False,False,,,
1,002460,赣锋锂业,新能源,601288,农业银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,002460,赣锋锂业,新能源,601318,中国平安,非银金融,False,Cross industry,7,5,0.7142857142857143,False,False,0.0637700262183682,0.0637700262183682,0.0789413703851699
1,002460,赣锋锂业,新能源,601398,工商银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,002460,赣锋锂业,新能源,603501,韦尔股份,电子,False,Cross industry,7,5,0.7142857142857143,False,False,0.06120526833951569,0.06120526833951569,0.0878420878260223
1,002475,立讯精密,电子,600030,中信证券,非银金融,False,Cross industry,7,3,0.42857142857142855,False,False,0.035281062838589866,0.035281062838589866,0.0493007087255227
1,002475,立讯精密,电子,600036,招商银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,002475,立讯精密,电子,600519,贵州茅台,食品饮料,False,Cross industry,7,1,0.14285714285714285,False,False,0.0172074184669836,0.0172074184669836,0.0172074184669836
1,002475,立讯精密,电子,600887,伊利股份,食品饮料,False,Cross industry,7,1,0.14285714285714285,False,False,0.024921350596135,0.024921350596135,0.024921350596135
1,002475,立讯精密,电子,601288,农业银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,002475,立讯精密,电子,601318,中国平安,非银金融,False,Cross industry,7,0,0.0,False,False,,,
1,002475,立讯精密,电子,601398,工商银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,002475,立讯精密,电子,603501,韦尔股份,电子,True,Same industry,7,7,1.0,True,True,0.19468763796624797,0.19468763796624797,0.2032108374959289
1,600030,中信证券,非银金融,600036,招商银行,银行,False,Cross industry,7,7,1.0,True,True,0.06599087666532231,0.06599087666532231,0.1384329846566802
1,600030,中信证券,非银金融,600519,贵州茅台,食品饮料,False,Cross industry,7,7,1.0,True,True,0.03608058443882755,0.03608058443882755,0.0509378786773158
1,600030,中信证券,非银金融,600887,伊利股份,食品饮料,False,Cross industry,7,7,1.0,True,True,0.06959441442117537,0.06959441442117537,0.1044817644108204
1,600030,中信证券,非银金融,601288,农业银行,银行,False,Cross industry,7,4,0.5714285714285714,False,False,0.01502084490165995,0.01502084490165995,0.0212803175638221
1,600030,中信证券,非银金融,601318,中国平安,非银金融,True,Same industry,7,7,1.0,True,True,0.22224575366116336,0.22224575366116336,0.2343381156445736
1,600030,中信证券,非银金融,601398,工商银行,银行,False,Cross industry,7,3,0.42857142857142855,False,False,0.024993122532607968,0.024993122532607968,0.0353426516456495
1,600030,中信证券,非银金融,603501,韦尔股份,电子,False,Cross industry,7,0,0.0,False,False,,,
1,600036,招商银行,银行,600519,贵州茅台,食品饮料,False,Cross industry,7,7,1.0,True,True,0.05594307563580607,0.05594307563580607,0.0691942129697481
1,600036,招商银行,银行,600887,伊利股份,食品饮料,False,Cross industry,7,6,0.8571428571428571,True,False,0.08238680749119276,0.08238680749119276,0.1360166938099903
1,600036,招商银行,银行,601288,农业银行,银行,True,Same industry,7,7,1.0,True,True,0.03253725491562753,0.03253725491562753,0.0459175539025717
1,600036,招商银行,银行,601318,中国平安,非银金融,False,Cross industry,7,7,1.0,True,True,0.18610363246353925,0.18610363246353925,0.2955497588171965
1,600036,招商银行,银行,601398,工商银行,银行,True,Same industry,7,7,1.0,True,True,0.06588888630932085,0.06588888630932085,0.0884333564288133
1,600036,招商银行,银行,603501,韦尔股份,电子,False,Cross industry,7,0,0.0,False,False,,,
1,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,Same industry,7,7,1.0,True,True,0.08332338607560079,0.08332338607560079,0.0985564265854045
1,600519,贵州茅台,食品饮料,601288,农业银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,600519,贵州茅台,食品饮料,601318,中国平安,非银金融,False,Cross industry,7,7,1.0,True,True,0.0506967212477566,0.0506967212477566,0.0646159234402983
1,600519,贵州茅台,食品饮料,601398,工商银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,600519,贵州茅台,食品饮料,603501,韦尔股份,电子,False,Cross industry,7,0,0.0,False,False,,,
1,600887,伊利股份,食品饮料,601288,农业银行,银行,False,Cross industry,7,1,0.14285714285714285,False,False,0.0037142858313939,0.0037142858313939,0.0037142858313939
