regime_before,regime_after,stock_code,stock_name,industry,lost_core_incident,gained_core_incident,lost_same_core_incident,lost_cross_core_incident,gained_same_core_incident,gained_cross_core_incident,persistence_drop_burden,persistence_gain_burden,abs_persistence_shift_burden,cross_persistence_drop_burden,cross_persistence_gain_burden,cross_abs_persistence_shift_burden,major_persistence_drop_count,major_persistence_gain_count,total_core_change_incident,net_core_incident_change,net_persistence_shift,persistence_shift_share,core_change_incident_share,cross_shift_ratio
1,2,000001,平安银行,银行,1,1,0,1,0,1,1.4,0.942857142857143,2.342857142857143,1.2571428571428571,0.942857142857143,2.2,2,1,2,0,-0.45714285714285696,0.05950653120464442,0.05263157894736842,0.9390243902439025
1,2,000568,泸州老窖,食品饮料,1,3,0,1,0,3,0.657142857142857,2.885714285714286,3.5428571428571427,0.657142857142857,2.885714285714286,3.5428571428571427,1,3,4,2,2.228571428571429,0.08998548621190132,0.10526315789473684,1.0
1,2,000725,京东方A,电子,0,3,0,0,0,3,0.1142857142857143,2.2857142857142856,2.4000000000000004,0.1142857142857143,2.2857142857142856,2.4000000000000004,0,2,3,3,2.1714285714285713,0.060957910014513804,0.07894736842105263,1.0
1,2,000858,五粮液,食品饮料,1,2,0,1,0,2,0.6,1.0857142857142859,1.685714285714286,0.6,1.0857142857142859,1.685714285714286,1,1,3,1,0.4857142857142859,0.0428156748911466,0.07894736842105263,1.0
1,2,002415,海康威视,电子,1,1,0,1,0,1,0.657142857142857,0.8571428571428572,1.5142857142857142,0.657142857142857,0.8571428571428572,1.5142857142857142,1,1,2,0,0.20000000000000018,0.038461538461538464,0.05263157894736842,1.0
1,2,002460,赣锋锂业,新能源,0,5,0,0,0,5,1.657142857142857,3.2857142857142856,4.942857142857143,1.657142857142857,3.2857142857142856,4.942857142857143,2,3,5,5,1.6285714285714286,0.12554426705370103,0.13157894736842105,1.0
1,2,002475,立讯精密,电子,0,1,0,0,0,1,0.1714285714285713,0.6857142857142857,0.857142857142857,0.1714285714285713,0.6857142857142857,0.857142857142857,0,0,1,1,0.5142857142857145,0.02177068214804064,0.02631578947368421,1.0
1,2,600030,中信证券,非银金融,2,3,0,2,0,3,2.7428571428571424,2.2285714285714286,4.9714285714285715,2.7428571428571424,2.2285714285714286,4.9714285714285715,3,3,5,1,-0.5142857142857138,0.12626995645863573,0.13157894736842105,1.0
1,2,600036,招商银行,银行,4,0,1,3,0,0,3.8857142857142857,0.4,4.285714285714286,2.8857142857142857,0.4,3.2857142857142856,4,0,4,-4,-3.4857142857142858,0.1088534107402032,0.10526315789473684,0.7666666666666666
1,2,600519,贵州茅台,食品饮料,0,0,0,0,0,0,0.1428571428571428,0.4571428571428571,0.5999999999999999,0.1428571428571428,0.4571428571428571,0.5999999999999999,0,0,0,0,0.3142857142857143,0.015239477503628446,0.0,1.0
1,2,600887,伊利股份,食品饮料,1,3,0,1,0,3,1.3428571428571427,2.371428571428571,3.7142857142857135,1.3428571428571427,2.371428571428571,3.7142857142857135,1,3,4,2,1.0285714285714282,0.09433962264150943,0.10526315789473684,1.0
1,2,601288,农业银行,银行,1,1,1,0,0,1,2.142857142857143,1.6,3.742857142857143,0.9999999999999999,1.6,2.6,2,2,2,0,-0.5428571428571427,0.09506531204644414,0.05263157894736842,0.6946564885496184
1,2,601318,中国平安,非银金融,0,0,0,0,0,0,1.1999999999999997,0.0,1.1999999999999997,1.1999999999999997,0.0,1.1999999999999997,1,0,0,0,-1.1999999999999997,0.03047895500725689,0.0,1.0
1,2,601398,工商银行,银行,0,0,0,0,0,0,0.4285714285714285,0.4,0.8285714285714285,0.4285714285714285,0.4,0.8285714285714285,0,0,0,0,-0.02857142857142847,0.02104499274310595,0.0,1.0
1,2,603501,韦尔股份,电子,0,3,0,0,0,3,0.0,2.742857142857143,2.742857142857143,0.0,2.742857142857143,2.742857142857143,0,3,3,3,2.742857142857143,0.06966618287373005,0.07894736842105263,1.0
2,3,000001,平安银行,银行,0,1,0,0,1,0,0.6000000000000001,1.4,2.0,0.6000000000000001,0.3999999999999999,0.9999999999999999,0,1,1,1,0.7999999999999998,0.0806451612903226,0.05555555555555555,0.49999999999999994
2,3,000568,泸州老窖,食品饮料,1,0,0,1,0,0,1.0,0.5999999999999998,1.5999999999999996,1.0,0.5999999999999998,1.5999999999999996,1,0,1,-1,-0.40000000000000024,0.06451612903225808,0.05555555555555555,1.0
2,3,000725,京东方A,电子,0,1,0,0,0,1,0.0,0.9999999999999998,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0,0,1,1,0.9999999999999998,0.040322580645161296,0.05555555555555555,1.0
2,3,000858,五粮液,食品饮料,1,0,0,1,0,0,1.1,0.1999999999999999,1.2999999999999998,1.1,0.1999999999999999,1.2999999999999998,1,0,1,-1,-0.9000000000000001,0.05241935483870969,0.05555555555555555,1.0
2,3,002415,海康威视,电子,1,1,0,1,0,1,0.5,1.4,1.9,0.5,1.4,1.9,1,1,2,0,0.8999999999999999,0.07661290322580648,0.1111111111111111,1.0
2,3,002460,赣锋锂业,新能源,1,0,0,1,0,0,1.0,0.4999999999999998,1.4999999999999996,1.0,0.4999999999999998,1.4999999999999996,0,0,1,-1,-0.5000000000000002,0.060483870967741944,0.05555555555555555,1.0
2,3,002475,立讯精密,电子,1,1,0,1,0,1,1.7000000000000002,1.2999999999999998,3.0,1.7000000000000002,1.2999999999999998,3.0,2,1,2,0,-0.40000000000000036,0.12096774193548392,0.1111111111111111,1.0
2,3,600030,中信证券,非银金融,0,1,0,0,0,1,1.0,0.5999999999999999,1.5999999999999999,1.0,0.5999999999999999,1.5999999999999999,0,0,1,1,-0.40000000000000013,0.06451612903225809,0.05555555555555555,1.0
2,3,600036,招商银行,银行,0,1,0,0,1,0,0.7,1.0,1.7,0.7,0.0,0.7,0,1,1,1,0.30000000000000004,0.06854838709677422,0.05555555555555555,0.4117647058823529
2,3,600519,贵州茅台,食品饮料,0,1,0,0,0,1,0.6,1.3,1.9,0.6,1.3,1.9,1,1,1,1,0.7000000000000001,0.07661290322580648,0.05555555555555555,1.0
2,3,600887,伊利股份,食品饮料,1,0,0,1,0,0,0.8999999999999999,0.4999999999999997,1.3999999999999997,0.8999999999999999,0.4999999999999997,1.3999999999999997,1,0,1,-1,-0.4000000000000002,0.05645161290322582,0.05555555555555555,1.0
2,3,601288,农业银行,银行,1,2,0,1,2,0,0.9,2.0,2.9,0.9,0.0,0.9,1,2,3,1,1.1,0.11693548387096779,0.16666666666666666,0.3103448275862069
2,3,601318,中国平安,非银金融,0,1,0,0,0,1,0.0,1.2,1.2,0.0,1.2,1.2,0,1,1,1,1.2,0.04838709677419357,0.05555555555555555,1.0
2,3,601398,工商银行,银行,0,0,0,0,0,0,0.4,0.0,0.4,0.4,0.0,0.4,0,0,0,0,-0.4,0.016129032258064523,0.0,1.0
2,3,603501,韦尔股份,电子,1,0,0,1,0,0,1.4000000000000001,0.0,1.4000000000000001,1.4000000000000001,0.0,1.4000000000000001,2,0,1,-1,-1.4000000000000001,0.05645161290322583,0.05555555555555555,1.0
3,4,000001,平安银行,银行,2,0,0,2,0,0,1.2000000000000002,0.0,1.2000000000000002,1.2000000000000002,0.0,1.2000000000000002,1,0,2,-2,-1.2000000000000002,0.04109589041095891,0.0625,1.0
3,4,000568,泸州老窖,食品饮料,3,0,0,3,0,0,3.6500000000000004,0.0,3.6500000000000004,3.6500000000000004,0.0,3.6500000000000004,4,0,3,-3,-3.6500000000000004,0.12500000000000003,0.09375,1.0
3,4,000725,京东方A,电子,3,0,0,3,0,0,2.85,0.0,2.85,2.85,0.0,2.85,4,0,3,-3,-2.85,0.0976027397260274,0.09375,1.0
3,4,000858,五粮液,食品饮料,4,0,0,4,0,0,1.55,0.0,1.55,1.55,0.0,1.55,1,0,4,-4,-1.55,0.05308219178082192,0.125,1.0
3,4,002415,海康威视,电子,4,0,1,3,0,0,3.6,0.0,3.6,3.1,0.0,3.1,5,0,4,-4,-3.6,0.12328767123287672,0.125,0.8611111111111112
3,4,002460,赣锋锂业,新能源,4,0,0,4,0,0,3.5,0.0499999999999999,3.55,3.5,0.0499999999999999,3.55,4,0,4,-4,-3.45,0.12157534246575342,0.125,1.0
3,4,002475,立讯精密,电子,2,0,1,1,0,0,1.9,0.75,2.65,1.4,0.75,2.15,2,1,2,-2,-1.15,0.09075342465753425,0.0625,0.8113207547169812
3,4,600030,中信证券,非银金融,2,0,0,2,0,0,0.8,0.75,1.55,0.8,0.75,1.55,1,1,2,-2,-0.050000000000000044,0.05308219178082192,0.0625,1.0
3,4,600036,招商银行,银行,0,0,0,0,0,0,0.1,0.0,0.1,0.1,0.0,0.1,0,0,0,0,-0.1,0.0034246575342465756,0.0,1.0
