network_date,regime,same_edges,z_same_edges,cross_edges,z_cross_edges,mean_abs_partial,z_mean_abs_partial
2024-01-16,1,18,-0.5089438709451506,34,0.3256495829358838,0.1027844539562719,-1.5471908785811632
2024-02-21,1,18,-0.5089438709451506,33,0.15454556478313153,0.1069508606304157,-1.043482263453241
2024-03-20,1,18,-0.5089438709451506,34,0.3256495829358838,0.1054278414479803,-1.2276116447636836
2024-04-19,1,19,0.8058277956631562,32,-0.016558453369620717,0.1082707355550832,-0.8839125376815821
2024-05-22,1,18,-0.5089438709451506,37,0.8389616373941405,0.1015789383751745,-1.692934832871102
2024-06-20,1,18,-0.5089438709451506,33,0.15454556478313153,0.110436530317738,-0.622073124040487
2024-07-18,1,18,-0.5089438709451506,33,0.15454556478313153,0.1098751939725524,-0.689937347379298
2024-08-15,2,17,-1.8237155375534573,36,0.6678576192413883,0.1081684170960167,-0.8962825949873778
2024-09-12,2,17,-1.8237155375534573,37,0.8389616373941405,0.1056123731982792,-1.2053021969205278
2024-10-21,2,17,-1.8237155375534573,38,1.0100656555468928,0.1135590529306821,-0.24456759851592527
2024-11-18,2,17,-1.8237155375534573,39,1.181169673699645,0.1121972537283819,-0.4092058693140844
2024-12-16,2,17,-1.8237155375534573,37,0.8389616373941405,0.1168829649542864,0.1572854257236844
2025-01-14,3,19,0.8058277956631562,38,1.0100656555468928,0.1111585194994075,-0.5347863565021684
2025-02-19,3,19,0.8058277956631562,38,1.0100656555468928,0.1109608409595199,-0.558685219804502
2025-03-19,3,19,0.8058277956631562,37,0.8389616373941405,0.1129040442317853,-0.3237565856749504
2025-04-17,3,19,0.8058277956631562,35,0.49675360108863603,0.1180980508204767,0.3041864046220059
2025-05-20,3,19,0.8058277956631562,36,0.6678576192413883,0.1160008993653259,0.05064580289843596
2025-06-18,3,19,0.8058277956631562,35,0.49675360108863603,0.1183633141220233,0.3362561041776214
2025-07-16,3,19,0.8058277956631562,35,0.49675360108863603,0.1184395364057196,0.34547119621383887
2025-08-13,3,19,0.8058277956631562,36,0.6678576192413883,0.1161122200850697,0.06410421201754059
2025-09-10,3,19,0.8058277956631562,35,0.49675360108863603,0.1176038967564644,0.2444443586071104
2025-10-16,3,19,0.8058277956631562,35,0.49675360108863603,0.1152959198509528,-0.034584536492617654
2025-11-13,4,18,-0.5089438709451506,26,-1.0431825622861342,0.1310563982302642,1.8708196544767906
2025-12-11,4,19,0.8058277956631562,23,-1.556494616744391,0.1330505589740981,2.1119089252032173
2026-01-12,4,19,0.8058277956631562,23,-1.556494616744391,0.1299026249022782,1.731331214997754
2026-02-09,4,18,-0.5089438709451506,22,-1.7275986348971433,0.1316071905445263,1.9374091296621636
2026-03-17,5,19,0.8058277956631562,25,-1.2142865804388865,0.1219682029411485,0.7720785518614733
2026-04-15,5,19,0.8058277956631562,26,-1.0431825622861342,0.1213822254450732,0.701235272237341
2026-05-18,5,19,0.8058277956631562,23,-1.556494616744391,0.1180814569252365,0.30218024232323437
2026-06-15,5,19,0.8058277956631562,22,-1.7275986348971433,0.1154338254438164,-0.017912079713301055
2026-07-14,5,18,-0.5089438709451506,22,-1.7275986348971433,0.1238771787851918,1.0028691716737632
