regime,start_date,end_date,n_networks,mean_edge_count,mean_same_edges,mean_cross_edges,mean_same_industry_ratio,mean_abs_partial,mean_within_regime_turnover,sd_edge_count,sd_cross_edges,sd_mean_abs_partial
1,2024-01-16,2024-07-18,7,51.857142857142854,18.142857142857142,33.714285714285715,0.3501361383714325,0.10647493632217372,0.12820912781604601,1.4638501094227998,1.6035674514745462,0.0034008391506694952
2,2024-08-15,2024-12-16,5,54.4,17.0,37.4,0.3126093368546199,0.11128401238152925,0.11452996899027225,1.140175425099138,1.140175425099138,0.004450632375796733
3,2025-01-14,2025-10-16,10,55.0,19.0,36.0,0.34561207311207304,0.11549372420967452,0.041296095515696185,1.247219128924647,1.247219128924647,0.0028843266922847013
4,2025-11-13,2026-02-09,4,42.0,18.5,23.5,0.44096320346320345,0.1314041931627917,0.11923583662714093,1.632993161855452,1.7320508075688772,0.0013073378647341632
5,2026-03-17,2026-07-14,5,42.4,18.8,23.6,0.4439671981135396,0.12014857790809327,0.11973697844708482,2.073644135332772,1.816590212458495,0.0033629327217582494
