stock_1,stock_2,name_1,name_2,industry_1,industry_2,same_industry,industry_relation,persistence_before,core_before,always_before,mean_abs_partial_before,persistence_after,core_after,always_after,mean_abs_partial_after,delta_persistence,abs_delta_persistence,core_transition,regime_before,regime_after
002415,601318,海康威视,中国平安,电子,非银金融,False,Cross industry,1.0,True,True,0.1333176584958487,0.25,False,False,0.0255732778046796,-0.75,0.75,Lost core,3,4
002460,603501,赣锋锂业,韦尔股份,新能源,电子,False,Cross industry,1.0,True,True,0.10529508998563838,0.25,False,False,0.024428524029738,-0.75,0.75,Lost core,3,4
002475,600030,立讯精密,中信证券,电子,非银金融,False,Cross industry,0.0,False,False,,0.75,False,False,0.0467892814349645,0.75,0.75,Non-core both,3,4
000568,002415,泸州老窖,海康威视,食品饮料,电子,False,Cross industry,0.7,False,False,0.008726901789975428,0.0,False,False,,-0.7,0.7,Non-core both,3,4
002460,601288,赣锋锂业,农业银行,新能源,银行,False,Cross industry,0.6,False,False,0.022678074498277686,0.0,False,False,,-0.6,0.6,Non-core both,3,4
600030,600887,中信证券,伊利股份,非银金融,食品饮料,False,Cross industry,0.8,True,False,0.0221218818216082,0.25,False,False,0.0086814351657599,-0.55,0.55,Lost core,3,4
000568,000725,泸州老窖,京东方A,食品饮料,电子,False,Cross industry,0.5,False,False,0.00345935542046516,0.0,False,False,,-0.5,0.5,Non-core both,3,4
000725,000858,京东方A,五粮液,电子,食品饮料,False,Cross industry,1.0,True,True,0.024916205959323888,0.5,False,False,0.00533120440126115,-0.5,0.5,Lost core,3,4
601398,603501,工商银行,韦尔股份,银行,电子,False,Cross industry,0.0,False,False,,1.0,True,True,0.03850907546314088,1.0,1.0,Gained core,4,5
000725,601318,京东方A,中国平安,电子,非银金融,False,Cross industry,1.0,True,True,0.029177004403033075,0.2,False,False,0.0149266963665887,-0.8,0.8,Lost core,4,5
000858,002460,五粮液,赣锋锂业,食品饮料,新能源,False,Cross industry,0.75,False,False,0.016843795642382964,0.0,False,False,,-0.75,0.75,Non-core both,4,5
000001,000568,平安银行,泸州老窖,银行,食品饮料,False,Cross industry,1.0,True,True,0.01825815737314185,0.4,False,False,0.0140200233378324,-0.6,0.6,Lost core,4,5
000568,601318,泸州老窖,中国平安,食品饮料,非银金融,False,Cross industry,0.0,False,False,,0.6,False,False,0.004364381743569933,0.6,0.6,Non-core both,4,5
002415,600887,海康威视,伊利股份,电子,食品饮料,False,Cross industry,0.0,False,False,,0.6,False,False,0.03212577770588703,0.6,0.6,Non-core both,4,5
600030,600519,中信证券,贵州茅台,非银金融,食品饮料,False,Cross industry,1.0,True,True,0.04857552111059913,0.4,False,False,0.03113319933655475,-0.6,0.6,Lost core,4,5
601288,603501,农业银行,韦尔股份,银行,电子,False,Cross industry,0.0,False,False,,0.6,False,False,0.05646861855087667,0.6,0.6,Non-core both,4,5
600030,600887,中信证券,伊利股份,非银金融,食品饮料,False,Cross industry,0.25,False,False,0.0086814351657599,0.8,True,False,0.0193807614818186,0.55,0.55,Gained core,4,5
000725,000858,京东方A,五粮液,电子,食品饮料,False,Cross industry,0.5,False,False,0.00533120440126115,0.0,False,False,,-0.5,0.5,Non-core both,4,5
002415,002475,海康威视,立讯精密,电子,电子,True,Same industry,0.5,False,False,0.007913159954969749,1.0,True,True,0.05816941533811917,0.5,0.5,Gained core,4,5
000725,002460,京东方A,赣锋锂业,电子,新能源,False,Cross industry,1.0,True,True,0.05933051348231896,0.6,False,False,0.05031961865621947,-0.4,0.4,Lost core,4,5
000725,600030,京东方A,中信证券,电子,非银金融,False,Cross industry,1.0,True,True,0.22444649960601024,0.6,False,False,0.1870500089283319,-0.4,0.4,Lost core,4,5
002460,601398,赣锋锂业,工商银行,新能源,银行,False,Cross industry,0.0,False,False,,0.4,False,False,0.02178923727756275,0.4,0.4,Non-core both,4,5
000001,000858,平安银行,五粮液,银行,食品饮料,False,Cross industry,0.75,False,False,0.0080972017715393,1.0,True,True,0.03256247170251852,0.25,0.25,Gained core,4,5
