regime,stock_code,stock_name,industry,n_networks,mean_degree,sd_degree,mean_strength,sd_strength,mean_same_degree,mean_cross_degree,mean_same_strength,mean_cross_strength,mean_degree_rank,mean_strength_rank,degree_top5_share,strength_top5_share
1,000001,平安银行,银行,7,7.857142857142857,0.6900655593423543,0.9864673727844345,0.05738380540624413,2.142857142857143,5.714285714285714,0.44751639859556075,0.5389509741888738,5.928571428571429,2.2857142857142856,0.2857142857142857,1.0
1,000568,泸州老窖,食品饮料,7,6.571428571428571,0.9759000729485331,0.8708024176358258,0.010886408217990624,3.0,3.5714285714285716,0.8032527129275425,0.06754970470828313,9.357142857142858,4.857142857142857,0.0,1.0
1,000725,京东方A,电子,7,6.428571428571429,0.5345224838248488,0.5981975984685136,0.04252146598413596,3.0,3.4285714285714284,0.36271171162331506,0.2354858868451986,9.714285714285714,10.142857142857142,0.0,0.0
1,000858,五粮液,食品饮料,7,9.714285714285714,0.9511897312113418,1.1242575179628849,0.0660929467327063,3.0,6.714285714285714,0.8207380542999807,0.30351946366290417,2.142857142857143,1.4285714285714286,1.0,1.0
1,002415,海康威视,电子,7,8.0,0.816496580927726,0.5267958530000574,0.08016756480215716,3.0,5.0,0.30273020078711743,0.2240656522129401,5.428571428571429,12.285714285714286,0.42857142857142855,0.0
1,002460,赣锋锂业,新能源,7,7.571428571428571,1.2724180205607036,0.4171803208915435,0.13246328062226953,0.0,7.571428571428571,0.0,0.4171803208915435,6.642857142857143,13.857142857142858,0.14285714285714285,0.0
1,002475,立讯精密,电子,7,5.285714285714286,1.1126972805283737,0.48067497644073004,0.017901388417961257,3.0,2.2857142857142856,0.4373138496222547,0.04336112681847531,11.785714285714286,13.714285714285714,0.0,0.0
1,600030,中信证券,非银金融,7,9.714285714285714,1.2535663410560174,0.7393109499003809,0.04248449424919183,1.0,8.714285714285714,0.22224575366116336,0.5170651962392175,3.0714285714285716,7.857142857142857,0.8571428571428571,0.0
1,600036,招商银行,银行,7,8.285714285714286,0.7559289460184545,0.9120276923897388,0.03028509673032921,3.0,5.285714285714286,0.48265272912988466,0.4293749632598542,5.285714285714286,4.0,0.5714285714285714,1.0
1,600519,贵州茅台,食品饮料,7,6.285714285714286,0.48795003647426655,0.7709748425780801,0.020543001855909397,3.0,3.2857142857142856,0.6229538460056265,0.14802099657245354,10.071428571428571,7.0,0.0,0.0
1,600887,伊利股份,食品饮料,7,7.571428571428571,0.7867957924694431,0.5597330765692811,0.028889036680569035,3.0,4.571428571428571,0.2420226800080441,0.31771039656123706,6.857142857142857,11.714285714285714,0.14285714285714285,0.0
1,601288,农业银行,银行,7,3.142857142857143,0.8997354108424372,0.6998943268279677,0.022997759015743212,2.142857142857143,1.0,0.6895695589532523,0.010324767874715386,14.214285714285714,8.857142857142858,0.0,0.0
1,601318,中国平安,非银金融,7,10.0,0.816496580927726,1.056521557609241,0.12039999007415125,1.0,9.0,0.22224575366116336,0.8342758039480777,2.0714285714285716,2.4285714285714284,1.0,1.0
1,601398,工商银行,银行,7,3.4285714285714284,0.5345224838248487,0.7949502825691416,0.011493756814039203,3.0,0.42857142857142855,0.784238944340881,0.010711338228260559,14.0,6.428571428571429,0.0,0.0
1,603501,韦尔股份,电子,7,3.857142857142857,0.3779644730092273,0.49823416177817315,0.022152353567940753,3.0,0.8571428571428571,0.4543867681273595,0.043847393650813755,13.428571428571429,13.142857142857142,0.0,0.0
2,000001,平安银行,银行,5,7.4,0.5477225575051662,0.8606460188854526,0.045087107281353005,2.0,5.4,0.4100800496623436,0.450565969223109,8.3,5.4,0.0,0.4
2,000568,泸州老窖,食品饮料,5,8.8,0.8366600265340756,0.9809804590211696,0.05561606960104241,3.0,5.8,0.7205041995418745,0.2604762594792951,4.8,3.0,0.6,1.0
2,000725,京东方A,电子,5,8.6,1.3416407864998738,0.6676400176534489,0.06826699462239708,3.0,5.6,0.3690328751879655,0.29860714246548337,5.1,11.8,0.4,0.0
2,000858,五粮液,食品饮料,5,10.2,0.4472135954999579,1.1970130931306433,0.027479723331680986,3.0,7.2,0.8731679302320454,0.32384516289859805,1.5,1.0,1.0,1.0
2,002415,海康威视,电子,5,8.2,0.4472135954999579,0.8542439657614874,0.10166159180703788,3.0,5.2,0.420763268905141,0.43348069685634644,6.7,6.0,0.2,0.6
2,002460,赣锋锂业,新能源,5,9.2,0.4472135954999579,0.6759512255166025,0.0535110745746237,0.0,9.2,0.0,0.6759512255166025,3.8,12.0,0.8,0.0
2,002475,立讯精密,电子,5,5.8,0.44721359549995787,0.4918115952277341,0.02025233418284491,3.0,2.8,0.4091907170441635,0.08262087818357058,11.8,15.0,0.0,0.0
2,600030,中信证券,非银金融,5,9.2,1.0954451150103324,0.7092094153928893,0.07380968732787205,1.0,8.2,0.13633548186419459,0.5728739335286945,4.7,10.8,0.6,0.2
2,600036,招商银行,银行,5,4.8,0.4472135954999579,0.8299297875217059,0.021368122711386314,2.0,2.8,0.5095411545245359,0.32038863299717,12.9,6.4,0.0,0.4
2,600519,贵州茅台,食品饮料,5,6.6,0.5477225575051662,0.8541168104941743,0.06929221170660195,3.0,3.6,0.7192900390266972,0.13482677146747707,10.4,6.0,0.0,0.4
2,600887,伊利股份,食品饮料,5,8.6,0.8944271909999157,0.6742498724265589,0.1062567026988924,3.0,5.6,0.4048455238997299,0.26940434852682904,5.6,11.6,0.6,0.0
2,601288,农业银行,银行,5,2.6,0.5477225575051661,0.71201114677451,0.016643718863372067,1.0,1.6,0.6554633569134373,0.056547789861072686,14.8,11.2,0.0,0.0
2,601318,中国平安,非银金融,5,8.8,0.4472135954999579,1.0506841400265154,0.04639083925311633,1.0,7.8,0.13633548186419459,0.9143486581623206,4.9,2.0,0.6,1.0
2,601398,工商银行,银行,5,3.4,0.5477225575051661,0.8180267148180445,0.02254300215711455,3.0,0.4,0.8104647056316846,0.00756200918635982,14.2,7.8,0.0,0.0
2,603501,韦尔股份,电子,5,6.6,0.5477225575051661,0.7340731318707994,0.1206347419168525,3.0,3.6,0.48260322701374825,0.2514699048570512,10.5,10.0,0.0,0.0
3,000001,平安银行,银行,10,8.2,0.4216370213557839,0.9043235273810211,0.025174421555300218,3.0,5.2,0.39964778106853305,0.504675746312488,7.55,5.5,0.1,0.4
3,000568,泸州老窖,食品饮料,10,8.4,0.9660917830792959,0.998554292952886,0.023584953586341488,3.0,5.4,0.6853676367036481,0.3131866562492379,6.65,3.2,0.4,1.0
3,000725,京东方A,电子,10,9.6,0.6992058987801011,0.8441455027482048,0.09218351781266815,3.0,6.6,0.4678004737437759,0.3763450290044287,3.2,7.7,0.9,0.2
3,000858,五粮液,食品饮料,10,9.3,0.4830458915396479,1.1503332226352898,0.022557779219690537,3.0,6.3,0.8923650591131802,0.25796816352210955,3.7,1.2,1.0,1.0
3,002415,海康威视,电子,10,9.1,0.5676462121975467,0.8977941685930773,0.036038212498056936,3.0,6.1,0.4724326859718067,0.4253614826212707,4.45,5.7,0.7,0.4
