network_date,regime,stock_code,stock_name,industry,degree,strength,same_degree,cross_degree,same_strength,cross_strength,degree_rank,strength_rank,degree_top5,strength_top5
2024-03-20,1,601288,农业银行,银行,4,0.7301275331004751,2,2,0.705398504973473,0.0247290281270021,13.5,9.0,False,False
2024-03-20,1,601318,中国平安,非银金融,11,0.9925412127221795,1,10,0.2343381156445736,0.7582030970776059,1.5,3.0,True,True
2024-03-20,1,601398,工商银行,银行,4,0.79336566733018,3,1,0.7849596129380843,0.0084060543920957,13.5,6.0,False,False
2024-03-20,1,603501,韦尔股份,电子,4,0.48044450476665335,3,1,0.44832645470018895,0.0321180500664644,13.5,13.0,False,False
2024-04-19,1,000001,平安银行,银行,9,1.0405768963673454,3,6,0.4570985234874355,0.5834783728799099,3.5,2.0,True,True
2024-04-19,1,000568,泸州老窖,食品饮料,6,0.8587446431351035,3,3,0.8139560576153099,0.0447885855197935,10.5,5.0,False,True
2024-04-19,1,000725,京东方A,电子,7,0.618772796913995,3,4,0.3557060387657488,0.2630667581482463,8.0,10.0,False,False
2024-04-19,1,000858,五粮液,食品饮料,10,1.1376165411251968,3,7,0.819046505983635,0.3185700351415617,1.5,1.0,True,True
2024-04-19,1,002415,海康威视,电子,8,0.5033997146662772,3,5,0.3015858777519872,0.20181383691429003,5.5,12.0,False,False
2024-04-19,1,002460,赣锋锂业,新能源,7,0.4560500559087458,0,7,0.0,0.4560500559087458,8.0,15.0,False,False
2024-04-19,1,002475,立讯精密,电子,4,0.4604626830017688,3,1,0.44665944067079927,0.0138032423309695,13.0,14.0,False,False
2024-04-19,1,600030,中信证券,非银金融,9,0.7019401724083703,1,8,0.2318253904221884,0.47011478198618184,3.5,9.0,True,False
2024-04-19,1,600036,招商银行,银行,8,0.8886979588602105,3,5,0.4931707017329782,0.39552725712723236,5.5,4.0,False,True
2024-04-19,1,600519,贵州茅台,食品饮料,6,0.7722540793659421,3,3,0.6146615444137061,0.157592534952236,10.5,7.0,False,False
2024-04-19,1,600887,伊利股份,食品饮料,7,0.5818372991399127,3,4,0.2241382869529691,0.35769901218694344,8.0,11.0,False,False
2024-04-19,1,601288,农业银行,银行,4,0.7196143300052062,3,1,0.7111505514702912,0.0084637785349151,13.0,8.0,False,False
2024-04-19,1,601318,中国平安,非银金融,10,1.006502638411025,1,9,0.2318253904221884,0.7746772479888365,1.5,3.0,True,True
2024-04-19,1,601398,工商银行,银行,3,0.808343292799538,3,0,0.808343292799538,0.0,15.0,6.0,False,False
2024-04-19,1,603501,韦尔股份,电子,4,0.4888019245098595,3,1,0.4467790979847267,0.0420228265251328,13.0,13.0,False,False
2024-05-22,1,000001,平安银行,银行,8,0.9514083175349577,2,6,0.43182221445433067,0.5195861030806271,7.5,3.0,False,True
2024-05-22,1,000568,泸州老窖,食品饮料,7,0.8742842063698029,3,4,0.7882125582043088,0.08607164816549409,10.5,5.0,False,True
2024-05-22,1,000725,京东方A,电子,7,0.5503555498588073,3,4,0.28054783281456597,0.26980771704424134,10.5,10.0,False,False
2024-05-22,1,000858,五粮液,食品饮料,10,1.1674420192038546,3,7,0.8188512503691756,0.3485907688346789,2.0,2.0,True,True
2024-05-22,1,002415,海康威视,电子,9,0.5235011082436136,3,6,0.2872608217730047,0.2362402864706089,5.0,12.0,True,False
2024-05-22,1,002460,赣锋锂业,新能源,10,0.5080659520277196,0,10,0.0,0.5080659520277196,2.0,13.0,True,False
2024-05-22,1,002475,立讯精密,电子,7,0.49845458099746315,3,4,0.4260840342017089,0.0723705467957542,10.5,15.0,False,False
2024-05-22,1,600030,中信证券,非银金融,9,0.6846422620948392,1,8,0.2204387919128592,0.46420347018198005,5.0,9.0,True,False
2024-05-22,1,600036,招商银行,银行,9,0.9056293594267109,3,6,0.4617784220800079,0.44385093734670295,5.0,4.0,True,True
2024-05-22,1,600519,贵州茅台,食品饮料,7,0.7883782668373509,3,4,0.6217851354535042,0.16659313138384668,10.5,6.0,False,False
2024-05-22,1,600887,伊利股份,食品饮料,8,0.5462520283319497,3,5,0.25114288179033023,0.2951091465416195,7.5,11.0,False,False
2024-05-22,1,601288,农业银行,银行,2,0.6975346687646095,2,0,0.6975346687646095,0.0,15.0,8.0,False,False
2024-05-22,1,601318,中国平安,非银金融,10,1.1940790647341797,1,9,0.2204387919128592,0.9736402728213205,2.0,1.0,True,True
2024-05-22,1,601398,工商银行,银行,3,0.7820036696447974,3,0,0.7820036696447974,0.0,14.0,7.0,False,False
2024-05-22,1,603501,韦尔股份,电子,4,0.5016521671985414,3,1,0.4259282079286096,0.0757239592699319,13.0,14.0,False,False
2024-06-20,1,000001,平安银行,银行,8,0.9231245608910597,2,6,0.4251447172206939,0.4979798436703658,5.5,3.0,False,True
2024-06-20,1,000568,泸州老窖,食品饮料,7,0.8731074620077987,3,4,0.7646581645492392,0.1084492974585595,9.0,5.0,False,True
2024-06-20,1,000725,京东方A,电子,6,0.5715700996986828,3,3,0.3062596470801174,0.2653104526185654,11.0,10.0,False,False
2024-06-20,1,000858,五粮液,食品饮料,10,1.181777544244768,3,7,0.8357265236464263,0.3460510205983417,1.0,2.0,True,True
2024-06-20,1,002415,海康威视,电子,8,0.5661245485139476,3,5,0.2894648642444211,0.27665968426952636,5.5,11.0,False,False
2024-06-20,1,002460,赣锋锂业,新能源,8,0.54970657034075,0,8,0.0,0.54970657034075,5.5,12.0,False,False
2024-06-20,1,002475,立讯精密,电子,6,0.4723586813189169,3,3,0.39979218071173783,0.07256650060717909,11.0,15.0,False,False
2024-06-20,1,600030,中信证券,非银金融,8,0.723870481159752,1,7,0.2226850143154937,0.5011854668442584,5.5,8.0,False,False
2024-06-20,1,600036,招商银行,银行,8,0.9018010817731478,3,5,0.46314615107133317,0.4386549307018147,5.5,4.0,False,True
2024-06-20,1,600519,贵州茅台,食品饮料,6,0.7591922511313659,3,3,0.612145646113835,0.1470466050175309,11.0,7.0,False,False
2024-06-20,1,600887,伊利股份,食品饮料,8,0.5276418583395043,3,5,0.24050492843718474,0.2871369299023196,5.5,14.0,False,False
2024-06-20,1,601288,农业银行,银行,3,0.6932717352706788,2,1,0.6895574494392849,0.0037142858313939,14.5,9.0,False,False
2024-06-20,1,601318,中国平安,非银金融,9,1.1982854918543984,1,8,0.2226850143154937,0.9756004775389047,2.0,1.0,True,True
2024-06-20,1,601398,工商银行,银行,3,0.7770155721070169,3,0,0.7770155721070169,0.0,14.5,6.0,False,False
2024-06-20,1,603501,韦尔股份,电子,4,0.5456781537574897,3,1,0.45783606593146753,0.0878420878260223,13.0,13.0,False,False
2024-07-18,1,000001,平安银行,银行,8,0.9124050167389474,2,6,0.4291404794484561,0.4832645372904914,6.0,3.0,False,True
2024-07-18,1,000568,泸州老窖,食品饮料,8,0.8870543117210319,3,5,0.7510495866142098,0.13600472510682202,6.0,4.0,False,True
2024-07-18,1,000725,京东方A,电子,6,0.5529404715470899,3,3,0.3376046004100478,0.21533587113704217,11.0,11.0,False,False
