window_id,window_start,network_date,edge_count,density,mean_abs_partial,median_abs_partial,total_abs_partial,same_edges,cross_edges,same_industry_ratio,cross_industry_ratio,mean_abs_partial_same,mean_abs_partial_cross,positive_edges,negative_edges,edge_count_change,common_edges,lost_edges,gained_edges,gross_edge_changes,jaccard,turnover,lost_same,gained_same,lost_cross,gained_cross,same_edge_changes,cross_edge_changes,cross_change_share,edge_count_z,density_z,mean_abs_partial_z,same_edges_z,cross_edges_z,same_industry_ratio_z,turnover_z,gross_edge_changes_z,high_turnover_z1,high_turnover_z1_5,high_gross_change_z1,z_same_edges,z_cross_edges,z_mean_abs_partial,regime
11,2023-11-03,2024-11-18,56,0.5333333333333333,0.1121972537283819,0.0687255538266721,6.283046208789386,17,39,0.3035714285714285,0.6964285714285714,0.207963582303521,0.0704529566571673,54,2,1.0,54.0,1.0,2.0,3.0,0.9473684210526316,0.0526315789473684,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.9722198833697424,0.9722198833697414,-0.4092058693140877,-1.8237155375534573,1.181169673699645,-1.3015757761154596,-0.8224397917294367,-0.7194340149292847,False,False,False,-1.8237155375534573,1.181169673699645,-0.4092058693140844,2
12,2023-12-01,2024-12-16,54,0.5142857142857142,0.1168829649542864,0.0737780832396741,6.311680107531466,17,37,0.3148148148148148,0.6851851851851852,0.208956600846916,0.0745788619765917,53,1,-2.0,54.0,2.0,0.0,2.0,0.9642857142857144,0.0357142857142857,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.6197191069432861,0.6197191069432842,0.1572854257236827,-1.8237155375534573,0.8389616373941405,-1.0795314188741958,-1.1196659560324975,-1.0368313744569102,False,False,False,-1.8237155375534573,0.8389616373941405,0.1572854257236844,2
13,2023-12-29,2025-01-14,57,0.5428571428571428,0.1111585194994075,0.0700694911167504,6.336035611466231,19,38,0.3333333333333333,0.6666666666666666,0.1915030245646656,0.0709862669667785,56,1,3.0,53.0,1.0,4.0,5.0,0.913793103448276,0.086206896551724,0.0,2.0,1.0,2.0,2.0,3.0,0.6,1.1484702715829709,1.148470271582969,-0.5347863565021633,0.8058277956631562,1.0100656555468928,-0.7138113010650572,-0.2325426533808376,-0.0846392958740334,False,False,False,0.8058277956631562,1.0100656555468928,-0.5347863565021684,3
14,2024-01-29,2025-02-19,57,0.5428571428571428,0.1109608409595199,0.0629754556775309,6.324767934692636,19,38,0.3333333333333333,0.6666666666666666,0.1925498746229013,0.0701663241278292,56,1,0.0,56.0,1.0,1.0,2.0,0.9655172413793104,0.0344827586206896,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.1484702715829709,1.148470271582969,-0.5586852198045019,0.8058277956631562,1.0100656555468928,-0.7138113010650572,-1.1413031097557091,-1.0368313744569102,False,False,False,0.8058277956631562,1.0100656555468928,-0.558685219804502,3
15,2024-03-05,2025-03-19,56,0.5333333333333333,0.1129040442317853,0.0656738709139877,6.322626476979979,19,37,0.3392857142857143,0.6607142857142857,0.1940646334001712,0.0712269849291006,55,1,-1.0,55.0,2.0,1.0,3.0,0.9482758620689656,0.0517241379310344,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.9722198833697424,0.9722198833697414,-0.3237565856749486,0.8058277956631562,0.8389616373941405,-0.596258406054976,-0.8383829576307513,-0.7194340149292847,False,False,False,0.8058277956631562,0.8389616373941405,-0.3237565856749504,3
16,2024-04-02,2025-04-17,54,0.5142857142857142,0.1180980508204767,0.0846585724216603,6.377294744305743,19,35,0.3518518518518518,0.6481481481481481,0.1961087506339689,0.075749385207438,53,1,-2.0,54.0,2.0,0.0,2.0,0.9642857142857144,0.0357142857142857,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.6197191069432861,0.6197191069432842,0.3041864046220058,0.8058277956631562,0.496753601088636,-0.3480911832559175,-1.1196659560324975,-1.0368313744569102,False,False,False,0.8058277956631562,0.49675360108863603,0.3041864046220059,3
17,2024-05-07,2025-05-20,55,0.5238095238095238,0.1160008993653259,0.0777649517519126,6.380049465092927,19,36,0.3454545454545454,0.6545454545454545,0.1971627157540827,0.0731654962712598,54,1,1.0,54.0,0.0,1.0,1.0,0.9818181818181818,0.0181818181818181,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7959694951565144,0.7959694951565138,0.0506458028984376,0.8058277956631562,0.6678576192413883,-0.4744308603172565,-1.4277003444920315,-1.354228733984536,False,False,False,0.8058277956631562,0.6678576192413883,0.05064580289843596,3
18,2024-06-04,2025-06-18,54,0.5142857142857142,0.1183633141220233,0.0749264812857272,6.391618962589263,19,35,0.3518518518518518,0.6481481481481481,0.1982214407358626,0.0750117596745106,53,1,-1.0,54.0,1.0,0.0,1.0,0.9818181818181818,0.0181818181818181,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6197191069432861,0.6197191069432842,0.3362561041776281,0.8058277956631562,0.496753601088636,-0.3480911832559175,-1.4277003444920315,-1.354228733984536,False,False,False,0.8058277956631562,0.49675360108863603,0.3362561041776214,3
19,2024-07-03,2025-07-16,54,0.5142857142857142,0.1184395364057196,0.0847355388724667,6.39573496590886,19,35,0.3518518518518518,0.6481481481481481,0.2010969621732123,0.0735683624176521,54,0,0.0,53.0,1.0,1.0,2.0,0.9636363636363636,0.0363636363636363,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.6197191069432861,0.6197191069432842,0.3454711962138387,0.8058277956631562,0.496753601088636,-0.3480911832559175,-1.10825727497844,-1.0368313744569102,False,False,False,0.8058277956631562,0.49675360108863603,0.34547119621383887,3
20,2024-07-31,2025-08-13,55,0.5238095238095238,0.1161122200850697,0.0796553282792604,6.386172104678836,19,36,0.3454545454545454,0.6545454545454545,0.2008551816731779,0.0713867681357904,55,0,1.0,53.0,1.0,2.0,3.0,0.9464285714285714,0.0535714285714286,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.7959694951565144,0.7959694951565138,0.0641042120175405,0.8058277956631562,0.6678576192413883,-0.4744308603172565,-0.8059272270459338,-0.7194340149292847,False,False,False,0.8058277956631562,0.6678576192413883,0.06410421201754059,3
21,2024-08-28,2025-09-10,54,0.5142857142857142,0.1176038967564644,0.0728625888825268,6.350610424849081,19,35,0.3518518518518518,0.6481481481481481,0.200179789061459,0.0727769837908959,54,0,-1.0,54.0,1.0,0.0,1.0,0.9818181818181818,0.0181818181818181,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6197191069432861,0.6197191069432842,0.2444443586071137,0.8058277956631562,0.496753601088636,-0.3480911832559175,-1.4277003444920315,-1.354228733984536,False,False,False,0.8058277956631562,0.49675360108863603,0.2444443586071104,3
22,2024-09-27,2025-10-16,54,0.5142857142857142,0.1152959198509528,0.070258724590038,6.225979671951452,19,35,0.3518518518518518,0.6481481481481481,0.1998091115875402,0.0694173300510911,53,1,0.0,51.0,3.0,3.0,6.0,0.8947368421052632,0.1052631578947368,0.0,0.0,3.0,3.0,0.0,6.0,1.0,0.6197191069432861,0.6197191069432842,-0.0345845364926193,0.8058277956631562,0.496753601088636,-0.3480911832559175,0.1022638305467474,0.2327580636535921,False,False,False,0.8058277956631562,0.49675360108863603,-0.034584536492617654,3
23,2024-11-01,2025-11-13,44,0.419047619047619,0.1310563982302642,0.1045287160386324,5.766481522131628,18,26,0.4090909090909091,0.5909090909090909,0.2165158699854618,0.071892148553589,44,0,-10.0,44.0,10.0,0.0,10.0,0.8148148148148148,0.1851851851851852,1.0,0.0,9.0,0.0,1.0,9.0,0.9,-1.1427847751889957,-1.142784775188997,1.8708196544767968,-0.5089438709451506,-1.0431825622861342,0.782316453608695,1.5064434051142888,1.5023475017640946,True,True,True,-0.5089438709451506,-1.0431825622861342,1.8708196544767906,4
24,2024-11-29,2025-12-11,42,0.4,0.1330505589740981,0.0961231477583055,5.588123476912123,19,23,0.4523809523809524,0.5476190476190477,0.2034578421181201,0.0748880207246886,42,0,-2.0,40.0,4.0,2.0,6.0,0.8695652173913043,0.1304347826086956,0.0,1.0,4.0,1.0,1.0,5.0,0.8333333333333334,-1.4952855516154522,-1.495285551615453,2.11190892520322,0.8058277956631562,-1.556494616744391,1.6372465991365523,0.5445133890266627,0.2327580636535921,False,False,False,0.8058277956631562,-1.556494616744391,2.1119089252032173,4
25,2024-12-27,2026-01-12,42,0.4,0.1299026249022782,0.0883235856268015,5.455910245895686,19,23,0.4523809523809524,0.5476190476190477,0.2005547669356247,0.0715378119182093,42,0,0.0,40.0,2.0,2.0,4.0,0.9090909090909092,0.0909090909090909,0.0,0.0,2.0,2.0,0.0,4.0,1.0,-1.4952855516154522,-1.495285551615453,1.731331214997757,0.8058277956631562,-1.556494616744391,1.6372465991365523,-0.149928066437666,-0.402036655401659,False,False,False,0.8058277956631562,-1.556494616744391,1.731331214997754,4
26,2025-01-27,2026-02-09,40,0.3809523809523809,0.1316071905445263,0.0865167064991612,5.264287621781054,18,22,0.45,0.55,0.2063456454350611,0.0704575456340887,40,0,-2.0,38.0,4.0,2.0,6.0,0.8636363636363636,0.1363636363636363,1.0,0.0,3.0,2.0,1.0,5.0,0.8333333333333334,-1.8477863280419085,-1.8477863280419105,1.9374091296621665,-0.5089438709451506,-1.7275986348971433,1.5902254411325203,0.6486796073463114,0.2327580636535921,False,False,False,-0.5089438709451506,-1.7275986348971433,1.9374091296621636,4
27,2025-03-04,2026-03-17,44,0.419047619047619,0.1219682029411485,0.0784135664232744,5.366600929410538,19,25,0.4318181818181818,0.5681818181818182,0.1970390091297685,0.0649143902377974,43,1,4.0,39.0,1.0,5.0,6.0,0.8666666666666667,0.1333333333333333,0.0,1.0,1.0,4.0,1.0,5.0,0.8333333333333334,-1.1427847751889957,-1.142784775188997,0.7720785518614799,0.8058277956631562,-1.2142865804388865,1.23115478001082,0.5954390957607125,0.2327580636535921,False,False,False,0.8058277956631562,-1.2142865804388865,0.7720785518614733,5
28,2025-04-01,2026-04-15,45,0.4285714285714285,0.1213822254450732,0.0755721360829693,5.462200145028297,19,26,0.4222222222222222,0.5777777777777777,0.1998278360050429,0.0640565869589416,44,1,1.0,42.0,2.0,3.0,5.0,0.8936170212765957,0.1063829787234043,0.0,0.0,2.0,3.0,0.0,5.0,1.0,-0.9665343869757675,-0.9665343869757692,0.7012352722373458,0.8058277956631562,-1.0431825622861342,1.0416452644188114,0.1219383757015607,-0.0846392958740334,False,False,False,0.8058277956631562,-1.0431825622861342,0.701235272237341,5
29,2025-04-30,2026-05-18,42,0.4,0.1180814569252365,0.0640454839033954,4.959421190859933,19,23,0.4523809523809524,0.5476190476190477,0.1868162250031955,0.0613005615564876,40,2,-3.0,39.0,6.0,3.0,9.0,0.8125,0.1875,0.0,0.0,6.0,3.0,0.0,9.0,1.0,-1.4952855516154522,-1.495285551615453,0.302180242323231,0.8058277956631562,-1.556494616744391,1.6372465991365523,1.547113240353287,1.184950142236469,True,True,True,0.8058277956631562,-1.556494616744391,0.30218024232323437,5
30,2025-06-03,2026-06-15,41,0.3904761904761905,0.1154338254438164,0.0707910245053045,4.7327868431964735,19,22,0.4634146341463415,0.5365853658536586,0.183036411234705,0.057049774078958,38,3,-1.0,39.0,3.0,2.0,5.0,0.8863636363636364,0.1136363636363636,0.0,0.0,3.0,2.0,0.0,5.0,1.0,-1.6715359398286804,-1.6715359398286818,-0.017912079713301,0.8058277956631562,-1.7275986348971433,1.855149526472312,0.2493757704543226,-0.0846392958740334,False,False,False,0.8058277956631562,-1.7275986348971433,-0.017912079713301055,5
31,2025-07-01,2026-07-14,40,0.3809523809523809,0.1238771787851918,0.0885756771628801,4.955087151407673,18,22,0.45,0.55,0.2009944446113374,0.0607812340183454,36,4,-1.0,39.0,2.0,1.0,3.0,0.9285714285714286,0.0714285714285714,1.0,0.0,1.0,1.0,1.0,2.0,0.6666666666666666,-1.8477863280419085,-1.8477863280419105,1.0028691716737614,-0.5089438709451506,-1.7275986348971433,1.5902254411325203,-0.492188498059372,-0.7194340149292847,False,False,False,-0.5089438709451506,-1.7275986348971433,1.0028691716737632,5
