model,n,alpha,edges_H1,loss_H0,loss_H1,loss_improvement,convergence_warning_H1
R3,181,0.04439426559183951,53,5.974692157645774,5.730546624710879,0.24414553293489494,False
R4,61,0.04439426559183951,75,7.740146411028067,6.368445421648385,1.3717009893796819,False
