stock,mean_return,std_return
000001,0.001932118216914451,0.01806266849705414
600036,0.00229458709901985,0.015607548724101573
601398,0.0024350208476063132,0.01264368109058102
601288,0.0028671785591371087,0.013185850240778726
600519,-0.0006365137237703564,0.013302600438066397
000858,0.0005024481451059322,0.018663361436818373
000568,-0.0009211243058647436,0.023491848670884902
600887,0.0002487343358017941,0.011488663793078703
002460,-0.003324978115585461,0.028880498017266013
002415,0.00012414662558542895,0.013832162467540696
000725,0.0007708812022195125,0.017259031703686922
603501,0.001283675632385913,0.02194228884197699
002475,0.0025031180433048245,0.026360831318923895
601318,0.00103564227111456,0.016295971201592693
600030,-0.00024038626695730236,0.015522772894555404
