stock,mean_return,std_return
000001,0.000485220155334757,0.011575991212194194
600036,0.000717410528066538,0.013017806651446903
601398,0.000980196563674587,0.011343222548797357
601288,0.0024342859572379512,0.013243090677798797
600519,0.00027075429569678103,0.012035598409306049
000858,-3.372827629962369e-05,0.013073401276726099
000568,0.0012110966464249106,0.01842284224231523
600887,0.00012259186553458516,0.013355021450821123
002460,0.0035575889985328796,0.027341674136995047
002415,0.0012966600569278616,0.015676221643343893
000725,-4.107722921280652e-05,0.0135856154760775
603501,0.0015977658507157866,0.02429683463736445
002475,0.002515140758546404,0.030578036246553492
601318,0.0012285944135991768,0.013913131663122275
600030,0.0006945633854453666,0.016763193697842984
