stock,mean_return,std_return
000001,0.00242194709512349,0.022841890498375636
600036,0.002365645650215257,0.023198188235180234
601398,0.0011141589857750378,0.017954645586340367
601288,0.00126516875657946,0.018785949854726876
600519,0.001029410119759058,0.025847722056060864
000858,0.00202886148671704,0.03268442675248279
000568,0.0013304533512682446,0.03544156123355719
600887,0.0027780866594310626,0.027565065147825685
002460,0.004212204780459125,0.04105490078282057
002415,0.0014433057046608386,0.025633432811802536
000725,0.001839419278879704,0.022336354810048826
603501,0.0005830188549114839,0.026705994643088933
002475,0.0010525183774174973,0.02787762057622352
601318,0.004017171456729501,0.028754861438385525
600030,0.006396808086871864,0.032511665132032644
