stock,mean_return,std_return
000001,-0.0009080850543504721,0.007713068531958344
600036,-0.0010038673138328097,0.010076453951472325
601398,-0.0016856665582727537,0.009093926542775993
601288,-0.003885712639892274,0.01287630379266551
600519,0.0009440592887571716,0.01572566316660419
000858,-0.0015570562348223354,0.016777209121592793
000568,-0.002411381775368184,0.01805997615965403
600887,-0.0005661961869491853,0.010765553055582747
002460,-0.0006694147270664502,0.0361260270100756
002415,0.0005826360397320574,0.013919024719051681
000725,0.0012295887482553984,0.016693701313134437
603501,-0.0009109053702117591,0.016189836411939152
002475,-0.0018235388636378032,0.021503535634284393
601318,0.002273558865740628,0.01962216501110776
600030,-0.00032288934386432604,0.012399185883711392
