stock_i,stock_j,precision,partial_corr,abs_partial_corr,sign
601398,601288,-0.8989915768624404,0.531578656064233,0.531578656064233,positive
000858,000568,-0.8145685337349204,0.48694661669405664,0.48694661669405664,positive
601318,600030,-0.5655248193529314,0.38753276639595846,0.38753276639595846,positive
000001,600036,-0.5115606734509983,0.33218445087747683,0.33218445087747683,positive
600519,000858,-0.3767879949224257,0.2416334279819496,0.2416334279819496,positive
002415,002475,-0.2507438509899741,0.2182281153597699,0.2182281153597699,positive
603501,002475,-0.24667906660137584,0.2141890304680869,0.2141890304680869,positive
000725,603501,-0.22563396555515297,0.20098320102987016,0.20098320102987016,positive
000001,600887,-0.27328732032979874,0.1939769881027247,0.1939769881027247,positive
000001,601318,-0.3047012843561972,0.19061456826373138,0.19061456826373138,positive
600887,601318,-0.2466675294880052,0.174213504174789,0.174213504174789,positive
600036,600519,-0.24007618269756845,0.16402206615965922,0.16402206615965922,positive
002415,600030,-0.19772648963453615,0.1590156743371114,0.1590156743371114,positive
600036,601398,-0.25566524820500774,0.1583610297681139,0.1583610297681139,positive
002460,002415,-0.16013495489741408,0.14595872713819522,0.14595872713819522,positive
600519,000568,-0.2137718359079153,0.13868486179109307,0.13868486179109307,positive
000001,601398,-0.21182155928864954,0.12703030209887523,0.12703030209887523,positive
000568,601318,-0.19236092470025626,0.11802213806412692,0.11802213806412692,positive
002415,603501,-0.13225614582521603,0.11312482719509279,0.11312482719509279,positive
601288,603501,0.15229156101533053,-0.10998544684859181,0.10998544684859181,negative
600519,601318,-0.15244093981174092,0.10033546654344976,0.10033546654344976,positive
600519,600887,-0.12279936841629516,0.09170603453441194,0.09170603453441194,positive
000568,600887,-0.10445107022328437,0.07271239347669287,0.07271239347669287,positive
600036,601318,-0.10692760446252689,0.06908934723574738,0.06908934723574738,positive
000858,600030,-0.10346844919697401,0.06908309719591899,0.06908309719591899,positive
000001,601288,-0.11067771008370816,0.06860845021278596,0.06860845021278596,positive
601398,000725,0.0907093097440271,-0.06615454270590947,0.06615454270590947,negative
002415,000725,-0.0708675132812947,0.06327293180520982,0.06327293180520982,positive
601288,600519,-0.07618617160438883,0.04968950228821967,0.04968950228821967,positive
601398,002460,0.06220274449798534,-0.046311678058620985,0.046311678058620985,negative
603501,600030,-0.047780333149423156,0.038336174285063286,0.038336174285063286,positive
600036,601288,-0.059021155944407225,0.03778893064905179,0.03778893064905179,positive
600036,000858,-0.05156865392400532,0.03246490592933143,0.03246490592933143,positive
600887,000725,0.03558364647658869,-0.030715091941282816,0.030715091941282816,negative
000001,000858,-0.0456481777211383,0.02782353786945034,0.02782353786945034,positive
002460,600030,-0.032200583031125586,0.02753120318720218,0.02753120318720218,positive
601398,600887,-0.03879761601250185,0.026268195383578687,0.026268195383578687,positive
600519,000725,0.03232716252479828,-0.026004707909787792,0.026004707909787792,negative
601398,600519,-0.0332180990220095,0.02095960035374813,0.02095960035374813,positive
601398,002475,0.008438718713316614,-0.005999208643501578,0.005999208643501578,negative
002460,601318,-0.0070401074281016916,0.0054677026907743904,0.0054677026907743904,positive
