regime,start_date,end_date,n_days,p_stocks,alpha,n_edges,n_possible_edges,density,mean_abs_partial_selected,median_abs_partial_selected,max_abs_partial_selected,n_positive_edges,n_negative_edges,n_iter,min_precision_eigenvalue,precision_condition_number,min_covariance_eigenvalue
R1,2024-01-16,2024-07-18,121,15,0.21691,49,105,0.4666666666666667,0.11639402899573544,0.08592141082416724,0.6714510674815446,47,2,19,0.26258220303338886,12.649126565637005,0.3012338929777445
R2,2024-08-15,2024-12-16,81,15,0.21691,61,105,0.580952380952381,0.11001261245840328,0.06527337127709139,0.6204446939252533,59,2,167,0.15704039186010482,24.568817618778457,0.2591978625149398
R3,2025-01-14,2025-10-16,181,15,0.21691,42,105,0.4,0.1328294310426921,0.1104854366170736,0.49874283086214605,41,1,77,0.27557906909596175,10.894675621263785,0.33320155133485374
R4,2025-11-13,2026-02-09,61,15,0.21691,35,105,0.3333333333333333,0.1405916633609132,0.11860211414417637,0.5083640525507872,33,2,19,0.31583970614925533,9.34130491094131,0.3389762495582425
R5,2026-03-17,2026-07-14,81,15,0.21691,41,105,0.3904761904761905,0.1312831488222743,0.10033546654344976,0.531578656064233,35,6,67,0.292559283778495,8.989149383294652,0.3802601694539085
