analysis_date,window,factor_name,family,tier,row_count,eligible_count,nonmissing_count,eligible_nonmissing_share,mean,std,q01,q25,median,q75,q99,iqr,unique_count,zero_share,varying,range_violation_count
2017-04-28,60,community_diversity_count,community_bridge,auxiliary,2696,2696,2696,1.0,3.5063056379821957,1.4199579971629743,1.0,2.0,3.0,4.0,7.0,2.0,10,0.002967359050445104,True,0
2017-05-31,60,community_diversity_count,community_bridge,auxiliary,2699,2699,2699,1.0,3.2363838458688403,1.2816120687446775,1.0,2.0,3.0,4.0,6.0,2.0,9,0.001852537977028529,True,0
2017-06-30,60,community_diversity_count,community_bridge,auxiliary,2750,2750,2750,1.0,3.0687272727272727,1.2930598728252083,1.0,2.0,3.0,4.0,6.0,2.0,8,0.0061818181818181816,True,0
2017-07-31,60,community_diversity_count,community_bridge,auxiliary,2783,2783,2783,1.0,3.9141214516708587,1.494807761300583,1.0,3.0,4.0,5.0,8.0,2.0,10,0.001437297879985627,True,0
2017-08-31,60,community_diversity_count,community_bridge,auxiliary,2834,2834,2834,1.0,3.7865208186309105,1.4508952648654303,1.0,3.0,4.0,5.0,7.0,2.0,10,0.004234297812279464,True,0
2017-09-29,60,community_diversity_count,community_bridge,auxiliary,2897,2897,2897,1.0,3.5540214014497757,1.4227060093042025,1.0,3.0,3.0,4.0,7.0,1.0,10,0.0037970314118053157,True,0
2017-10-31,60,community_diversity_count,community_bridge,auxiliary,2941,2941,2941,1.0,4.617817069024142,1.6149617509977432,1.0,3.0,5.0,6.0,8.0,3.0,12,0.00034002040122407346,True,0
2017-11-30,60,community_diversity_count,community_bridge,auxiliary,2959,2959,2959,1.0,4.748563703954039,1.6094654323550606,1.0,4.0,5.0,6.0,9.0,2.0,11,0.001013856032443393,True,0
2017-12-29,60,community_diversity_count,community_bridge,auxiliary,2995,2995,2995,1.0,4.3285475792988315,1.3574390576801263,1.0,3.0,4.0,5.0,7.0,2.0,9,0.0,True,0
2018-01-31,60,community_diversity_count,community_bridge,auxiliary,3026,3026,3026,1.0,4.822868473231989,1.555861940727033,1.0,4.0,5.0,6.0,8.0,2.0,11,0.00033046926635822867,True,0
2018-02-28,60,community_diversity_count,community_bridge,auxiliary,2961,2961,2961,1.0,3.6433637284701113,1.37121861574032,1.0,3.0,4.0,5.0,7.0,2.0,10,0.004390408645727794,True,0
2018-03-30,60,community_diversity_count,community_bridge,auxiliary,3008,3008,3008,1.0,3.3939494680851063,1.3046777900096245,1.0,2.0,3.0,4.0,7.0,2.0,9,0.0029920212765957447,True,0
2018-04-27,60,community_diversity_count,community_bridge,auxiliary,3025,3025,3025,1.0,3.0479338842975205,1.112223532259302,1.0,2.0,3.0,4.0,6.0,2.0,8,0.003305785123966942,True,0
2018-05-31,60,community_diversity_count,community_bridge,auxiliary,3097,3097,3097,1.0,4.259606070390701,1.4266340459739575,1.0,3.0,4.0,5.0,8.0,2.0,9,0.0,True,0
2018-06-29,60,community_diversity_count,community_bridge,auxiliary,3080,3080,3080,1.0,4.078246753246753,1.4263456317424459,1.0,3.0,4.0,5.0,7.0,2.0,11,0.000974025974025974,True,0
2018-07-31,60,community_diversity_count,community_bridge,auxiliary,3166,3166,3166,1.0,4.381869867340493,1.5310349484540398,1.0,3.0,4.0,5.0,8.0,2.0,11,0.0003158559696778269,True,0
2018-08-31,60,community_diversity_count,community_bridge,auxiliary,3263,3263,3263,1.0,4.517621820410665,1.550531701764081,1.0,3.0,4.0,6.0,8.0,3.0,10,0.0009193993257738277,True,0
2018-09-28,60,community_diversity_count,community_bridge,auxiliary,3334,3334,3334,1.0,5.044091181763648,1.7307098276668755,1.0,4.0,5.0,6.0,9.0,2.0,11,0.00029994001199760045,True,0
2018-10-31,60,community_diversity_count,community_bridge,auxiliary,3359,3359,3359,1.0,4.6939565346829415,1.5216398095245012,1.0,4.0,5.0,6.0,8.0,2.0,11,0.00029770765108663293,True,0
2018-11-30,60,community_diversity_count,community_bridge,auxiliary,3374,3374,3374,1.0,4.783343212803794,1.5385410113339466,2.0,4.0,5.0,6.0,8.269999999999982,2.0,10,0.0005927682276229994,True,0
2018-12-28,60,community_diversity_count,community_bridge,auxiliary,3426,3426,3426,1.0,4.857559836544075,1.4142640455354547,2.0,4.0,5.0,6.0,8.0,2.0,10,0.0002918855808523059,True,0
2019-01-31,60,community_diversity_count,community_bridge,auxiliary,3492,3492,3492,1.0,5.383161512027492,1.5590082884095493,2.0,4.0,5.0,6.0,9.0,2.0,10,0.0,True,0
2019-02-28,60,community_diversity_count,community_bridge,auxiliary,3522,3522,3522,1.0,5.397501419647927,1.6642939964652668,2.0,4.0,5.0,7.0,9.0,3.0,11,0.0,True,0
2019-03-29,60,community_diversity_count,community_bridge,auxiliary,3517,3517,3517,1.0,4.410577196474268,1.5090596024645584,1.0,3.0,4.0,5.0,8.0,2.0,11,0.0011373329542223485,True,0
2019-04-30,60,community_diversity_count,community_bridge,auxiliary,3515,3515,3515,1.0,4.664011379800853,1.4353985910160925,2.0,4.0,5.0,6.0,8.0,2.0,11,0.0008534850640113798,True,0
2019-05-31,60,community_diversity_count,community_bridge,auxiliary,3512,3512,3512,1.0,4.752847380410023,1.5866641994910078,1.0,4.0,5.0,6.0,8.0,2.0,10,0.0,True,0
2019-06-28,60,community_diversity_count,community_bridge,auxiliary,3528,3528,3528,1.0,4.823979591836735,1.4109720807781543,1.2700000000000031,4.0,5.0,6.0,8.0,2.0,10,0.0002834467120181406,True,0
2019-07-31,60,community_diversity_count,community_bridge,auxiliary,3548,3548,3548,1.0,6.099492671927846,1.733830036994451,2.0,5.0,6.0,7.0,10.0,2.0,12,0.0,True,0
2019-08-30,60,community_diversity_count,community_bridge,auxiliary,3566,3566,3566,1.0,6.826696578799775,2.000623744974633,2.0,5.0,7.0,8.0,12.0,3.0,14,0.0,True,0
2019-09-30,60,community_diversity_count,community_bridge,auxiliary,3588,3588,3588,1.0,6.447603121516165,1.9038444198329183,2.0,5.0,6.0,8.0,11.0,3.0,14,0.0002787068004459309,True,0
2019-10-31,60,community_diversity_count,community_bridge,auxiliary,3628,3628,3628,1.0,6.25606394707828,1.755218757522755,2.0,5.0,6.0,7.0,10.0,2.0,12,0.0,True,0
2019-11-29,60,community_diversity_count,community_bridge,auxiliary,3638,3638,3638,1.0,5.504947773501924,1.695109135359672,2.0,4.0,5.0,7.0,10.0,3.0,11,0.0,True,0
2019-12-31,60,community_diversity_count,community_bridge,auxiliary,3641,3641,3641,1.0,4.973633617138149,1.5871175999561065,2.0,4.0,5.0,6.0,9.0,2.0,11,0.00027464982147761604,True,0
