factor_name,window,family,tier,job_count,eligible_job_count,mean_eligible_nonmissing_share,median_eligible_nonmissing_share,min_eligible_nonmissing_share,varying_job_share,median_monthly_std,median_monthly_iqr,median_monthly_unique_count,total_range_violation_count
neighbor_jaccard_1m,120,dynamic_neighbor,core,135,134,1.0,1.0,1.0,1.0,0.22950817555013514,0.3489062560080788,1385.0,0
neighbor_jaccard_1m,252,dynamic_neighbor,core,129,128,1.0,1.0,1.0,1.0,0.2560044703530184,0.33027389277389285,1167.0,0
neighbor_retention_1m,60,dynamic_neighbor,core,138,137,1.0,1.0,1.0,1.0,0.2539370980418893,0.41269841269841273,1095.0,0
neighbor_retention_1m,120,dynamic_neighbor,core,135,134,1.0,1.0,1.0,1.0,0.27416276721408644,0.4024778719441283,1112.0,0
neighbor_retention_1m,252,dynamic_neighbor,core,129,128,1.0,1.0,1.0,1.0,0.25451757233031647,0.27310004666132254,938.0,0
neighbor_turnover_1m,60,dynamic_neighbor,auxiliary,138,137,1.0,1.0,1.0,1.0,0.17319264796431455,0.27130852340936373,1398.0,0
neighbor_turnover_1m,120,dynamic_neighbor,auxiliary,135,134,1.0,1.0,1.0,1.0,0.22950817555013514,0.3489062560080788,1385.0,0
neighbor_turnover_1m,252,dynamic_neighbor,auxiliary,129,128,1.0,1.0,1.0,1.0,0.2560044703530184,0.33027389277389274,1167.0,0
new_neighbor_count_1m,60,dynamic_neighbor,auxiliary,138,137,1.0,1.0,1.0,1.0,21.45131732995099,21.0,129.0,0
new_neighbor_count_1m,120,dynamic_neighbor,auxiliary,135,134,1.0,1.0,1.0,1.0,15.517678397294834,13.0,99.0,0
new_neighbor_count_1m,252,dynamic_neighbor,auxiliary,129,128,1.0,1.0,1.0,1.0,9.34129452937352,8.0,64.0,0
outside_community_degree_percentile,60,community,core,138,138,1.0,1.0,1.0,1.0,0.2880152110578079,0.49840950099552017,78.5,0
outside_community_degree_percentile,120,community,core,135,135,1.0,1.0,1.0,1.0,0.28743613989650635,0.49270973530731266,83.0,0
outside_community_degree_percentile,252,community,core,129,129,1.0,1.0,1.0,1.0,0.2844705659425294,0.5101463414634146,86.0,0
outside_community_degree_ratio,60,community,auxiliary,138,138,1.0,1.0,1.0,1.0,0.20269493012704176,0.3321021144502114,999.5,0
outside_community_degree_ratio,120,community,auxiliary,135,135,1.0,1.0,1.0,1.0,0.20196959635095726,0.33018867924528306,973.0,0
outside_community_degree_ratio,252,community,auxiliary,129,129,1.0,1.0,1.0,1.0,0.19452056402400644,0.30587323530643873,904.0,0
outside_community_strength_percentile,60,community,auxiliary,138,138,1.0,1.0,1.0,1.0,0.2886510585640262,0.4998755276981084,3617.5,0
outside_community_strength_percentile,120,community,auxiliary,135,135,1.0,1.0,1.0,1.0,0.28830911951219246,0.49987669543773117,3360.0,0
outside_community_strength_percentile,252,community,auxiliary,129,129,1.0,1.0,1.0,1.0,0.28575511833431155,0.49995493871665464,2747.0,0
participation_coefficient_percentile,60,community_bridge,core,138,138,1.0,1.0,1.0,1.0,0.28865379467513963,0.49987663617317746,2100.5,0
participation_coefficient_percentile,120,community_bridge,core,135,135,1.0,1.0,1.0,1.0,0.28837178633103266,0.49995011971268954,1893.0,0
participation_coefficient_percentile,252,community_bridge,core,129,129,1.0,1.0,1.0,1.0,0.28697126914217597,0.5008952551477172,1550.0,0
residual_degree_percentile,60,centrality,core,138,138,1.0,1.0,1.0,1.0,0.2886264651706427,0.5005089491605759,215.0,0
residual_degree_percentile,120,centrality,core,135,135,1.0,1.0,1.0,1.0,0.2886136377417171,0.5,234.0,0
residual_degree_percentile,252,centrality,core,129,129,1.0,1.0,1.0,1.0,0.2885120408601539,0.5004167556762695,241.0,0
residual_strength_percentile,60,centrality,auxiliary,138,138,1.0,1.0,1.0,1.0,0.28867510980711064,0.4998755380511284,3893.5,0
residual_strength_percentile,120,centrality,auxiliary,135,135,1.0,1.0,1.0,1.0,0.28867336476579974,0.49987587332725525,3945.0,0
residual_strength_percentile,252,centrality,auxiliary,129,129,1.0,1.0,1.0,1.0,0.28862524197368056,0.49988023191690445,3619.0,0
same_industry_degree_percentile,60,industry,auxiliary,138,138,1.0,1.0,1.0,1.0,0.28691923471242753,0.5015932270547695,85.5,0
same_industry_degree_percentile,120,industry,auxiliary,135,135,1.0,1.0,1.0,1.0,0.28679535585516575,0.5040856031128405,109.0,0
same_industry_degree_percentile,252,industry,auxiliary,129,129,1.0,1.0,1.0,1.0,0.2866659982293625,0.504043392504931,125.0,0
same_industry_strength_percentile,60,industry,auxiliary,138,138,1.0,1.0,1.0,1.0,0.2875485525888083,0.4999009606027026,3066.0,0
same_industry_strength_percentile,120,industry,auxiliary,135,135,1.0,1.0,1.0,1.0,0.2872717772829009,0.49990153603781023,3139.0,0
same_industry_strength_percentile,252,industry,auxiliary,129,129,1.0,1.0,1.0,1.0,0.28687588225386607,0.4999008330027766,2859.0,0
weighted_participation_coefficient_percentile,60,community_bridge,auxiliary,138,138,1.0,1.0,1.0,1.0,0.2886559721654354,0.4998783267183572,3617.5,0
weighted_participation_coefficient_percentile,120,community_bridge,auxiliary,135,135,1.0,1.0,1.0,1.0,0.28837670238399543,0.49988055422838035,3361.0,0
weighted_participation_coefficient_percentile,252,community_bridge,auxiliary,129,129,1.0,1.0,1.0,1.0,0.2869850754206251,0.4998766041461007,2794.0,0
within_community_degree_percentile,60,community,auxiliary,138,138,1.0,1.0,1.0,1.0,0.2885573847584757,0.5017440579324827,185.5,0
within_community_degree_percentile,120,community,auxiliary,135,135,1.0,1.0,1.0,1.0,0.28851710367043387,0.5029823118058412,207.0,0
within_community_degree_percentile,252,community,auxiliary,129,129,1.0,1.0,1.0,1.0,0.2884242275010049,0.5077181208053692,212.0,0
within_community_strength_percentile,60,community,auxiliary,138,138,1.0,1.0,1.0,1.0,0.2886751098046643,0.4998755276981084,3893.5,0
within_community_strength_percentile,120,community,auxiliary,135,135,1.0,1.0,1.0,1.0,0.28867336491050033,0.499875868917577,3944.0,0
within_community_strength_percentile,252,community,auxiliary,129,129,1.0,1.0,1.0,1.0,0.2886252421521034,0.4998802108289411,3618.0,0
