factor_a,factor_b,window,valid_month_count,mean_rho,median_rho,mean_abs_rho,median_abs_rho,p90_abs_rho,share_abs_rho_ge_090,median_pair_obs
cross_industry_degree_percentile,community_diversity_count,60,138,0.42005887713296214,0.4195201966747223,0.42005887713296214,0.4195201966747223,0.6150576657141463,0.0,4017.0
cross_industry_degree_percentile,community_diversity_count,120,135,0.5417250352216231,0.5162275103076552,0.5417250352216231,0.5162275103076552,0.7247066797979373,0.0,3971.0
cross_industry_degree_percentile,community_diversity_count,252,129,0.6612689905959426,0.6693870781229224,0.6612689905959426,0.6693870781229224,0.7556982652050285,0.0,3829.0
cross_industry_degree_percentile,cross_industry_degree_ratio,60,138,0.033161824981631824,0.018379060246698477,0.10117675943016526,0.08572697175040937,0.21982582165776401,0.0,3892.5
cross_industry_degree_percentile,cross_industry_degree_ratio,120,135,0.08105750583590268,0.04334458301516802,0.13205102422177886,0.09444731543250776,0.3208976862580299,0.0,3944.0
cross_industry_degree_percentile,cross_industry_degree_ratio,252,129,0.21612660718180818,0.18954601134002283,0.2238510369979978,0.18954601134002283,0.48267291997707457,0.0,3621.0
cross_industry_degree_percentile,cross_industry_strength_percentile,60,138,0.9989750814144501,0.9991528144505799,0.9989750814144501,0.9991528144505799,0.9994528163868415,1.0,4017.0
cross_industry_degree_percentile,cross_industry_strength_percentile,120,135,0.9987347684490323,0.9989723850232499,0.9987347684490323,0.9989723850232499,0.9992611602810292,1.0,3971.0
cross_industry_degree_percentile,cross_industry_strength_percentile,252,129,0.9985691797079073,0.9987638602616774,0.9985691797079073,0.9987638602616774,0.9991156580600664,1.0,3829.0
cross_industry_degree_percentile,cross_industry_strength_ratio,60,138,0.022456040234573565,0.00983614153814467,0.10033485919635378,0.08636919208595195,0.21235810002926345,0.0,3892.5
cross_industry_degree_percentile,cross_industry_strength_ratio,120,135,0.06582123468843522,0.026061197697476078,0.1304923664964817,0.09359363837028997,0.3117303986223968,0.0,3944.0
cross_industry_degree_percentile,cross_industry_strength_ratio,252,129,0.19745595197055696,0.17950435490655303,0.20990049532880814,0.17950435490655303,0.4707465920227654,0.0,3621.0
cross_industry_degree_percentile,delta_cross_industry_degree_percentile_1m,60,137,0.3769611500957561,0.37340645134775946,0.37788471316282585,0.37340645134775946,0.46040793752274584,0.0,3989.0
cross_industry_degree_percentile,delta_cross_industry_degree_percentile_1m,120,134,0.24300458609237371,0.2415727879602645,0.2450393925274437,0.2415727879602645,0.32002460780430025,0.0,3943.5
cross_industry_degree_percentile,delta_cross_industry_degree_percentile_1m,252,128,0.16024373438348083,0.15375057950425605,0.16604209412271426,0.15554966297140244,0.24255265181536956,0.0,3816.5
cross_industry_degree_percentile,delta_cross_industry_degree_ratio_1m,60,137,0.11112343635249188,0.10700520920211284,0.11112343635249188,0.10700520920211284,0.17420600281074372,0.0,3790.0
cross_industry_degree_percentile,delta_cross_industry_degree_ratio_1m,120,134,0.10269928563346994,0.09359364127211495,0.10345606550431571,0.09359364127211495,0.17243720793623366,0.0,3898.0
cross_industry_degree_percentile,delta_cross_industry_degree_ratio_1m,252,128,0.08616272316618213,0.08688439117352872,0.0901430342942256,0.08688439117352872,0.15273915802870225,0.0,3539.0
cross_industry_degree_percentile,delta_residual_degree_percentile_1m,60,137,0.34882212397017864,0.338471671773935,0.3489481474948308,0.338471671773935,0.4459234073618266,0.0,3989.0
cross_industry_degree_percentile,delta_residual_degree_percentile_1m,120,134,0.2169579229935323,0.20644067630191676,0.2171157093058043,0.20644067630191676,0.3102165086588311,0.0,3943.5
cross_industry_degree_percentile,delta_residual_degree_percentile_1m,252,128,0.1323864838058053,0.12389776978123543,0.1354860388374958,0.12401765885245875,0.2173246343877642,0.0,3816.5
cross_industry_degree_percentile,delta_residual_strength_percentile_1m,60,137,0.34704321715147984,0.33730899898444233,0.3471243601582882,0.33730899898444233,0.44562457267221817,0.0,3989.0
cross_industry_degree_percentile,delta_residual_strength_percentile_1m,120,134,0.21401221460158984,0.20515327980534545,0.21401221460158984,0.20515327980534545,0.3054910052298223,0.0,3943.5
cross_industry_degree_percentile,delta_residual_strength_percentile_1m,252,128,0.130497734225592,0.12271692532702627,0.13351989082310006,0.12271692532702627,0.21706953588978153,0.0,3816.5
cross_industry_degree_percentile,delta_same_industry_degree_percentile_1m,60,137,0.1423571699459372,0.14124999893904114,0.14305191678174425,0.14124999893904114,0.24057976795880626,0.0,3989.0
cross_industry_degree_percentile,delta_same_industry_degree_percentile_1m,120,134,0.07933513623585195,0.07619085759390197,0.08643157981379707,0.07619085759390197,0.1659508644268238,0.0,3943.5
cross_industry_degree_percentile,delta_same_industry_degree_percentile_1m,252,128,0.041950757786111466,0.032532863276559854,0.07633824804606412,0.056988288143840486,0.15704091564770817,0.0,3816.5
cross_industry_degree_percentile,external_community_count,60,138,0.41041164459889334,0.418466518694124,0.41041164459889334,0.418466518694124,0.5770644831862738,0.0,4017.0
cross_industry_degree_percentile,external_community_count,120,135,0.5248342305276219,0.5148499116258921,0.5248342305276219,0.5148499116258921,0.6699439467393877,0.0,3971.0
cross_industry_degree_percentile,external_community_count,252,129,0.6292494395163927,0.6403321752836503,0.6292494395163927,0.6403321752836503,0.7013556143139587,0.0,3829.0
cross_industry_degree_percentile,lost_neighbor_count_1m,60,137,0.45025963044525513,0.44819007465229127,0.45025963044525513,0.44819007465229127,0.5852313520760767,0.0,3989.0
cross_industry_degree_percentile,lost_neighbor_count_1m,120,134,0.563726427438619,0.5794784089629529,0.563726427438619,0.5794784089629529,0.6573478819991453,0.0,3943.5
cross_industry_degree_percentile,lost_neighbor_count_1m,252,128,0.6101427230224228,0.6226697738175069,0.6101427230224228,0.6226697738175069,0.6754973169165721,0.0,3816.5
cross_industry_degree_percentile,neighbor_jaccard_1m,60,137,0.406816601376272,0.4264352372450939,0.406816601376272,0.4264352372450939,0.5502716995714774,0.0,3989.0
cross_industry_degree_percentile,neighbor_jaccard_1m,120,134,0.4206474823712678,0.42763417519312863,0.4218531332699843,0.42763417519312863,0.5282107286113947,0.0,3939.5
cross_industry_degree_percentile,neighbor_jaccard_1m,252,128,0.3609103131847275,0.3763112401468441,0.3629525686910754,0.3763112401468441,0.47812512997339374,0.0,3691.0
cross_industry_degree_percentile,neighbor_retention_1m,60,137,0.4696618874340348,0.4834098666696937,0.4696618874340348,0.4834098666696937,0.5996761306652286,0.0,3850.0
cross_industry_degree_percentile,neighbor_retention_1m,120,134,0.4083122837779502,0.41507594635529105,0.4104024924406205,0.41507594635529105,0.5342502808663967,0.0,3922.0
cross_industry_degree_percentile,neighbor_retention_1m,252,128,0.24316025388296714,0.2502149379656293,0.25337041407129957,0.2502149379656293,0.3969198490542764,0.0,3619.0
cross_industry_degree_percentile,neighbor_turnover_1m,60,137,-0.406816601376272,-0.4264352372450939,0.406816601376272,0.4264352372450939,0.5502716995714774,0.0,3989.0
cross_industry_degree_percentile,neighbor_turnover_1m,120,134,-0.4206474823712678,-0.42763417519312863,0.4218531332699843,0.42763417519312863,0.5282107286113947,0.0,3939.5
