scope,portfolio_scope,factor_family,factor_name,method,window,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,execution_days,is_primary,rebalance_n,trade_rebalance_n,no_trade_rebalance_n,constant_no_trade_share,baseline_executable_share,capacity_status,solver_used,capacity_cny,capacity_yi_cny,gross_notional_at_capacity_cny,executable_share_at_capacity,step5_primary_capacity_cny,capacity_minus_primary_cny,capacity_ratio_to_primary,mean_coverage_capacity_cny,capacity_abs_difference_cny,capacity_relative_difference
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9916628923293803,PASS_EXACT,EXACT_PIECEWISE,853981268.7876098,8.539812687876099,1707962537.5752196,0.9499999999996642,853981268.7876098,0.0,1.0,853981268.7821571,0.005452752113342285,6.38509568379448e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,133,133,0,0.0,0.990580475177594,PASS_EXACT,EXACT_PIECEWISE,821981633.7975907,8.219816337975907,1643963267.5951815,0.950000000000257,821981633.7975907,0.0,1.0,821981633.7998565,0.0022658109664916992,2.7565226196323983e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,127,127,0,0.0,0.9896540641311803,PASS_EXACT,EXACT_PIECEWISE,703061540.2884057,7.030615402884057,1406123080.5768113,0.9499999999998823,703061540.2884057,0.0,1.0,703061540.284468,0.0039376020431518555,5.600650608136877e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9910433296544913,PASS_EXACT,EXACT_PIECEWISE,882423863.7806172,8.824238637806172,1764847727.5612345,0.9500000000002233,882423863.7806172,0.0,1.0,882423863.7801328,0.000484466552734375,5.490179636110636e-13
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,133,133,0,0.0,0.9893028787295023,PASS_EXACT,EXACT_PIECEWISE,794854430.8868127,7.948544308868127,1589708861.7736254,0.9500000000000548,794854430.8868127,0.0,1.0,794854430.886785,2.765655517578125e-05,3.479449079113268e-14
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,127,127,0,0.0,0.9889295914222918,PASS_EXACT,EXACT_PIECEWISE,656654198.2486796,6.566541982486797,1313308396.4973593,0.9500000000000045,656654198.2486796,0.0,1.0,656654198.2463477,0.002331972122192383,3.551294012008326e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9911921887514012,PASS_EXACT,EXACT_PIECEWISE,846375932.8400319,8.463759328400318,1692751865.6800637,0.9499999999998048,846375932.8400319,0.0,1.0,846375932.8340886,0.00594329833984375,7.022054986774759e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,133,133,0,0.0,0.98962293080241,PASS_EXACT,EXACT_PIECEWISE,770041141.6956035,7.700411416956035,1540082283.391207,0.9500000000003508,770041141.6956035,0.0,1.0,770041141.6959145,0.0003110170364379883,4.038966486297266e-13
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,127,127,0,0.0,0.9888642488158557,PASS_EXACT,EXACT_PIECEWISE,627156793.7558701,6.271567937558701,1254313587.5117402,0.9500000000000479,627156793.7558701,0.0,1.0,627156793.7534935,0.002376556396484375,3.789413461123232e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9901587634130157,PASS_EXACT,EXACT_PIECEWISE,892970722.531151,8.92970722531151,1785941445.062302,0.9499999999999931,892970722.531151,0.0,1.0,892970722.53019,0.0009610652923583984,1.0762562177125648e-12
