scope,portfolio_scope,factor_family,factor_name,method,window,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,execution_days,is_primary,rebalance_n,trade_rebalance_n,no_trade_rebalance_n,constant_no_trade_share,baseline_executable_share,capacity_status,solver_used,capacity_cny,capacity_yi_cny,gross_notional_at_capacity_cny,executable_share_at_capacity,step5_primary_capacity_cny,capacity_minus_primary_cny,capacity_ratio_to_primary
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,15,ADV60_P05_E97p5,ADV60,0.05,0.975,1,False,134,134,0,0.0,0.9891425935139062,PASS_EXACT,EXACT_PIECEWISE,627382738.0943325,6.273827380943325,1254765476.188665,0.975000000000249,875708754.4929624,-248326016.3986299,0.7164285327461283
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,16,ADV60_P10_E90,ADV60,0.1,0.9,1,False,134,134,0,0.0,0.9891425935139062,PASS_EXACT,EXACT_PIECEWISE,3196810820.609172,31.968108206091717,6393621641.218344,0.9000000000002435,875708754.4929624,2321102066.1162095,3.650541123641197
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,17,ADV60_P10_E95,ADV60,0.1,0.95,1,False,134,134,0,0.0,0.9891425935139062,PASS_EXACT,EXACT_PIECEWISE,1991128970.0816631,19.91128970081663,3982257940.1633263,0.9500000000002492,875708754.4929624,1115420215.5887008,2.273734229406593
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,18,ADV60_P10_E97p5,ADV60,0.1,0.975,1,False,134,134,0,0.0,0.9891425935139062,PASS_EXACT,EXACT_PIECEWISE,1254765476.188665,12.54765476188665,2509530952.37733,0.975000000000249,875708754.4929624,379056721.69570255,1.4328570654922566
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,1,ADV20_P01_E90,ADV20,0.01,0.9,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,282813043.15370095,2.8281304315370095,565626086.3074019,0.8999999999999008,850161392.2160816,-567348349.0623807,0.3326580643899901
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,2,ADV20_P01_E95,ADV20,0.01,0.95,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,170032278.44321632,1.7003227844321633,340064556.88643265,0.9499999999998997,850161392.2160816,-680129113.7728653,0.2
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,3,ADV20_P01_E97p5,ADV20,0.01,0.975,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,99053657.7507423,0.990536577507423,198107315.5014846,0.9749999999998998,850161392.2160816,-751107734.4653393,0.11651159257249157
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,4,ADV20_P05_E90,ADV20,0.05,0.9,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,1414065215.7685049,14.140652157685048,2828130431.5370097,0.8999999999999008,850161392.2160816,563903823.5524232,1.6632903219499509
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,850161392.2160816,8.501613922160816,1700322784.4321632,0.9499999999998998,850161392.2160816,0.0,1.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,6,ADV20_P05_E97p5,ADV20,0.05,0.975,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,495268288.7537115,4.952682887537115,990536577.507423,0.9749999999998998,850161392.2160816,-354893103.4623701,0.5825579628624579
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,7,ADV20_P10_E90,ADV20,0.1,0.9,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,2828130431.5370097,28.281304315370097,5656260863.074019,0.8999999999999008,850161392.2160816,1977969039.320928,3.3265806438999017
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,8,ADV20_P10_E95,ADV20,0.1,0.95,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,1700322784.4321632,17.003227844321632,3400645568.8643265,0.9499999999998998,850161392.2160816,850161392.2160816,2.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,9,ADV20_P10_E97p5,ADV20,0.1,0.975,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,990536577.507423,9.90536577507423,1981073155.014846,0.9749999999998998,850161392.2160816,140375185.29134142,1.1651159257249157
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,10,ADV60_P01_E90,ADV60,0.01,0.9,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,315667351.3886267,3.156673513886267,631334702.7772534,0.8999999999999131,850161392.2160816,-534494040.8274549,0.3713028541154865
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,11,ADV60_P01_E95,ADV60,0.01,0.95,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,193243194.05164483,1.9324319405164483,386486388.10328966,0.9499999999999137,850161392.2160816,-656918198.1644368,0.22730177566394252
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,12,ADV60_P01_E97p5,ADV60,0.01,0.975,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,114691092.08590104,1.1469109208590105,229382184.17180207,0.9749999999999134,850161392.2160816,-735470300.1301806,0.13490508171270912
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,13,ADV60_P05_E90,ADV60,0.05,0.9,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,1578336756.9431334,15.783367569431334,3156673513.8862667,0.8999999999999131,850161392.2160816,728175364.7270517,1.8565142705774327
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,14,ADV60_P05_E95,ADV60,0.05,0.95,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,966215970.2582241,9.662159702582242,1932431940.5164483,0.9499999999999137,850161392.2160816,116054578.04214251,1.1365088783197126
