scope,portfolio_scope,factor_family,factor_name,method,window,ADV20_P01_E90,ADV20_P01_E95,ADV20_P01_E97p5,ADV20_P05_E90,ADV20_P05_E95,ADV20_P05_E97p5,ADV20_P10_E90,ADV20_P10_E95,ADV20_P10_E97p5,ADV60_P01_E90,ADV60_P01_E95,ADV60_P01_E97p5,ADV60_P05_E90,ADV60_P05_E95,ADV60_P05_E97p5,ADV60_P10_E90,ADV60_P10_E95,ADV60_P10_E97p5
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,2.7746441742671393,1.7354629936215817,1.122072296048398,13.873220871335697,8.67731496810791,5.6103614802419886,27.746441742671394,17.35462993621582,11.220722960483977,3.136263452279567,1.991170675138096,1.3029451369133387,15.681317261397838,9.955853375690479,6.514725684566693,31.362634522795677,19.911706751380958,13.029451369133387
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,2.66765514511059,1.6674211312984037,1.0668241903732778,13.33827572555295,8.33710565649202,5.33412095186639,26.6765514511059,16.67421131298404,10.66824190373278,3.0362257052829675,1.927819552370187,1.2492580543964809,15.18112852641484,9.639097761850936,6.246290271982404,30.36225705282968,19.27819552370187,12.492580543964808
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,2.2917868591586457,1.416690368150527,0.8979343917621403,11.458934295793227,7.083451840752635,4.4896719588107015,22.917868591586455,14.16690368150527,8.979343917621403,2.5908376821867938,1.633429244860228,1.0542818077409448,12.95418841093397,8.16714622430114,5.271409038704724,25.90837682186794,16.33429244860228,10.542818077409448
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,2.7193432382706977,1.7079625375752197,1.1076753282971297,13.596716191353488,8.539812687876099,5.538376641485648,27.193432382706977,17.079625375752197,11.076753282971296,3.0714745889330084,1.9585711681219455,1.2870043279377372,15.357372944665041,9.792855840609729,6.435021639688686,30.714745889330082,19.585711681219458,12.870043279377372
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,2.6270479079619613,1.6439632675951812,1.054324111280927,13.135239539809808,8.219816337975907,5.271620556404636,26.270479079619616,16.439632675951813,10.543241112809271,2.9831147269326395,1.8959249895634835,1.2315256327694657,14.9155736346632,9.479624947817417,6.1576281638473285,29.8311472693264,18.959249895634834,12.315256327694657
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,2.268182161756965,1.4061230805768112,0.8908717440386363,11.340910808784825,7.030615402884057,4.4543587201931825,22.68182161756965,14.061230805768114,8.908717440386365,2.565923647513077,1.6226251731549495,1.0472008670581765,12.829618237565384,8.113125865774748,5.2360043352908825,25.65923647513077,16.226251731549496,10.472008670581765
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,2.8081229922084434,1.7648477275612342,1.1350475204484183,14.040614961042216,8.824238637806172,5.675237602242092,28.081229922084432,17.648477275612343,11.350475204484184,3.3090022961608927,2.1093916077153763,1.3704274640629739,16.545011480804465,10.546958038576882,6.85213732031487,33.09002296160893,21.093916077153764,13.70427464062974
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,120,2.5414965895448587,1.5897088617736252,1.0004538934699527,12.707482947724293,7.948544308868127,5.0022694673497625,25.414965895448585,15.897088617736253,10.004538934699525,2.949701185252073,1.872420519950536,1.1954944059044406,14.748505926260364,9.36210259975268,5.977472029522203,29.49701185252073,18.72420519950536,11.954944059044406
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,252,2.094395683676283,1.313308396497359,0.8368822552852895,10.471978418381417,6.566541982486797,4.184411276426447,20.943956836762833,13.133083964973594,8.368822552852894,2.3873046333730303,1.5248164850263077,0.9952285184924263,11.93652316686515,7.624082425131539,4.976142592462132,23.8730463337303,15.248164850263079,9.952285184924264
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,2.677139343259837,1.6927518656800637,1.0984809766458128,13.385696716299186,8.463759328400318,5.492404883229064,26.771393432598373,16.927518656800636,10.984809766458127,3.142475044018915,2.012317270112966,1.3192331669201434,15.712375220094575,10.06158635056483,6.596165834600717,31.42475044018915,20.12317270112966,13.192331669201433
