scope,portfolio_scope,factor_family,window,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,is_primary,factor_n,mean_capacity_yi_cny,median_capacity_yi_cny,mean_capacity_ratio_to_primary
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,120,13,ADV60_P05_E90,ADV60,0.05,0.9,False,4,14.73471834662296,14.832039780461782,1.8303111079553884
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,120,14,ADV60_P05_E95,ADV60,0.05,0.95,False,4,9.38253397371853,9.420863773785047,1.1656110398137813
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,120,15,ADV60_P05_E97p5,ADV60,0.05,0.975,False,4,6.060804458338649,6.067550096684766,0.7528980452695818
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,120,16,ADV60_P10_E90,ADV60,0.1,0.9,False,4,29.46943669324592,29.664079560923565,3.660622215910777
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,120,17,ADV60_P10_E95,ADV60,0.1,0.95,False,4,18.76506794743706,18.841727547570095,2.3312220796275627
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,120,18,ADV60_P10_E97p5,ADV60,0.1,0.975,False,4,12.121608916677298,12.135100193369531,1.5057960905391636
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,1,ADV20_P01_E90,ADV20,0.01,0.9,False,4,2.1615755786862345,2.1812889227166243,0.3206798815167492
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,2,ADV20_P01_E95,ADV20,0.01,0.95,False,4,1.3476088581841092,1.3597157385370853,0.19999999999999998
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,3,ADV20_P01_E97p5,ADV20,0.01,0.975,False,4,0.8573620801464267,0.8638769996619629,0.1272710071499206
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,4,ADV20_P05_E90,ADV20,0.05,0.9,False,4,10.807877893431172,10.90644461358312,1.6033994075837459
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,5,ADV20_P05_E95,ADV20,0.05,0.95,True,4,6.738044290920548,6.798578692685426,1.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,6,ADV20_P05_E97p5,ADV20,0.05,0.975,False,4,4.286810400732134,4.319384998309815,0.6363550357496031
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,7,ADV20_P10_E90,ADV20,0.1,0.9,False,4,21.615755786862344,21.81288922716624,3.2067988151674918
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,8,ADV20_P10_E95,ADV20,0.1,0.95,False,4,13.476088581841095,13.597157385370853,2.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,9,ADV20_P10_E97p5,ADV20,0.1,0.975,False,4,8.573620801464267,8.63876999661963,1.2727100714992061
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,10,ADV60_P01_E90,ADV60,0.01,0.9,False,4,2.452341332444961,2.4766141404430537,0.3638701936331498
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,11,ADV60_P01_E95,ADV60,0.01,0.95,False,4,1.559769791410413,1.5737208290906286,0.23152825696168344
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,12,ADV60_P01_E97p5,ADV60,0.01,0.975,False,4,1.01288195893042,1.0212146927753014,0.15039794409447207
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,13,ADV60_P05_E90,ADV60,0.05,0.9,False,4,12.261706662224803,12.383070702215267,1.8193509681657491
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,14,ADV60_P05_E95,ADV60,0.05,0.95,False,4,7.798848957052066,7.868604145453144,1.1576412848084172
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,15,ADV60_P05_E97p5,ADV60,0.05,0.975,False,4,5.0644097946521,5.106073463876507,0.7519897204723605
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,16,ADV60_P10_E90,ADV60,0.1,0.9,False,4,24.523413324449606,24.766141404430535,3.6387019363314983
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,17,ADV60_P10_E95,ADV60,0.1,0.95,False,4,15.597697914104131,15.737208290906288,2.3152825696168344
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,252,18,ADV60_P10_E97p5,ADV60,0.1,0.975,False,4,10.1288195893042,10.212146927753015,1.503979440944721
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,1,ADV20_P01_E90,ADV20,0.01,0.9,False,5,2.912146556676485,2.8558553414924694,0.32439064596707495
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,2,ADV20_P01_E95,ADV20,0.01,0.95,False,5,1.79555529399595,1.7630417473642117,0.19999999999999998
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,3,ADV20_P01_E97p5,ADV20,0.01,0.975,False,5,1.117062540887642,1.1036030509562964,0.12442725233195598
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,4,ADV20_P05_E90,ADV20,0.05,0.9,False,5,14.560732783382424,14.279276707462346,1.6219532298353747
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,True,5,8.97777646997975,8.81520873682106,1.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,6,ADV20_P05_E97p5,ADV20,0.05,0.975,False,5,5.585312704438211,5.518015254781482,0.6221362616597799
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,7,ADV20_P10_E90,ADV20,0.1,0.9,False,5,29.121465566764847,28.558553414924692,3.2439064596707494
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,8,ADV20_P10_E95,ADV20,0.1,0.95,False,5,17.9555529399595,17.63041747364212,2.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,9,ADV20_P10_E97p5,ADV20,0.1,0.975,False,5,11.170625408876422,11.036030509562964,1.2442725233195597
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,10,ADV60_P01_E90,ADV60,0.01,0.9,False,5,3.2824257864213777,3.2027048695689135,0.3655868707075553
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,11,ADV60_P01_E95,ADV60,0.01,0.95,False,5,2.053025742819698,2.006282066101492,0.22862537170948521
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,12,ADV60_P01_E97p5,ADV60,0.01,0.975,False,5,1.296592674826213,1.2735665900299893,0.14439088123154387
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,13,ADV60_P05_E90,ADV60,0.05,0.9,False,5,16.41212893210689,16.01352434784457,1.8279343535377766
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,14,ADV60_P05_E95,ADV60,0.05,0.95,False,5,10.265128714098491,10.031410330507459,1.1431268585474261
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,15,ADV60_P05_E97p5,ADV60,0.05,0.975,False,5,6.4829633741310655,6.367832950149946,0.7219544061577193
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,16,ADV60_P10_E90,ADV60,0.1,0.9,False,5,32.82425786421378,32.02704869568914,3.655868707075553
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,17,ADV60_P10_E95,ADV60,0.1,0.95,False,5,20.530257428196983,20.062820661014918,2.2862537170948523
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,60,18,ADV60_P10_E97p5,ADV60,0.1,0.975,False,5,12.965926748262131,12.735665900299892,1.4439088123154387
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,1,ADV20_P01_E90,ADV20,0.01,0.9,False,5,2.847707746879705,2.853298374365872,0.33005512685642174
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,2,ADV20_P01_E95,ADV20,0.01,0.95,False,5,1.725766732172114,1.7377340936967034,0.2
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,3,ADV20_P01_E97p5,ADV20,0.01,0.975,False,5,1.019650118403532,1.0157278333019684,0.11813868623434834
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,4,ADV20_P05_E90,ADV20,0.05,0.9,False,5,14.238538734398526,14.26649187182936,1.6502756342821088
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,True,5,8.62883366086057,8.688670468483517,1.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,6,ADV20_P05_E97p5,ADV20,0.05,0.975,False,5,5.098250592017661,5.078639166509841,0.5906934311717417
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,7,ADV20_P10_E90,ADV20,0.1,0.9,False,5,28.477077468797052,28.53298374365872,3.3005512685642175
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,8,ADV20_P10_E95,ADV20,0.1,0.95,False,5,17.25766732172114,17.377340936967034,2.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,9,ADV20_P10_E97p5,ADV20,0.1,0.975,False,5,10.196501184035322,10.157278333019683,1.1813868623434833
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,10,ADV60_P01_E90,ADV60,0.01,0.9,False,5,3.196737926310335,3.196765587869026,0.3704802599747095
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,11,ADV60_P01_E95,ADV60,0.01,0.95,False,5,1.971125288822946,1.9817493625783578,0.22841823492124913
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,12,ADV60_P01_E97p5,ADV60,0.01,0.975,False,5,1.1872306990522983,1.1993724707777995,0.1375489792491665
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,13,ADV60_P05_E90,ADV60,0.05,0.9,False,5,15.983689631551675,15.983827939345131,1.8524012998735475
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,14,ADV60_P05_E95,ADV60,0.05,0.95,False,5,9.85562644411473,9.908746812891788,1.1420911746062459
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,15,ADV60_P05_E97p5,ADV60,0.05,0.975,False,5,5.9361534952614905,5.9968623538889965,0.6877448962458325
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,16,ADV60_P10_E90,ADV60,0.1,0.9,False,5,31.96737926310335,31.967655878690262,3.704802599747095
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,17,ADV60_P10_E95,ADV60,0.1,0.95,False,5,19.71125288822946,19.817493625783577,2.2841823492124917
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,120,18,ADV60_P10_E97p5,ADV60,0.1,0.975,False,5,11.872306990522981,11.993724707777993,1.375489792491665
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,1,ADV20_P01_E90,ADV20,0.01,0.9,False,5,2.5240669424947164,2.5781238102783353,0.33397391365672097
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,2,ADV20_P01_E95,ADV20,0.01,0.95,False,5,1.5111773217078541,1.53907727111492,0.2
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,3,ADV20_P01_E97p5,ADV20,0.01,0.975,False,5,0.8878901359153624,0.8972409896657935,0.11752178028456302
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,4,ADV20_P05_E90,ADV20,0.05,0.9,False,5,12.620334712473582,12.890619051391678,1.6698695682836049
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,True,5,7.555886608539271,7.695386355574601,1.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,6,ADV20_P05_E97p5,ADV20,0.05,0.975,False,5,4.4394506795768125,4.486204948328967,0.5876089014228152
