scope,portfolio_scope,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,is_primary,specification_n,zero_capacity_n,infinite_capacity_n,mean_capacity_yi_cny_finite,median_capacity_yi_cny_finite,p10_capacity_yi_cny_finite,p90_capacity_yi_cny_finite,mean_capacity_ratio_to_primary
PORTFOLIO_LEG,Q1,7,ADV20_P10_E90,ADV20,0.1,0.9,False,27,0,0,26.30133365182123,27.077157206375375,23.04263271976517,28.78093140329961,3.2588210521594734
PORTFOLIO_LEG,Q1,8,ADV20_P10_E95,ADV20,0.1,0.95,False,27,0,0,16.149969099698964,16.648017278617896,14.01258025251273,17.821173907864342,2.0
PORTFOLIO_LEG,Q1,9,ADV20_P10_E97p5,ADV20,0.1,0.975,False,27,0,0,9.8700666858603,9.724237100452136,8.109726865098109,11.287043084049579,1.2204024421819684
PORTFOLIO_LEG,Q1,10,ADV60_P01_E90,ADV60,0.01,0.9,False,27,0,0,2.954839041157862,3.0701778659260435,2.6015658834429907,3.273058578290233,0.36605720517652723
PORTFOLIO_LEG,Q1,11,ADV60_P01_E95,ADV60,0.01,0.95,False,27,0,0,1.8483013761812823,1.8924037501152413,1.6094066630956967,2.043688601957521,0.22891790231885178
PORTFOLIO_LEG,Q1,12,ADV60_P01_E97p5,ADV60,0.01,0.975,False,27,0,0,1.150399135408294,1.1230858461978834,0.9556263572476603,1.3105455048461672,0.14231519578568366
PORTFOLIO_LEG,Q1,13,ADV60_P05_E90,ADV60,0.05,0.9,False,27,0,0,14.774195205789308,15.350889329630217,13.007829417214953,16.365292891451162,1.8302860258826366
PORTFOLIO_LEG,Q1,14,ADV60_P05_E95,ADV60,0.05,0.95,False,27,0,0,9.241506880906412,9.462018750576206,8.047033315478485,10.218443009787606,1.1445895115942588
PORTFOLIO_LEG,Q1,15,ADV60_P05_E97p5,ADV60,0.05,0.975,False,27,0,0,5.751995677041471,5.615429230989417,4.778131786238302,6.552727524230836,0.7115759789284183
PORTFOLIO_LEG,Q1,16,ADV60_P10_E90,ADV60,0.1,0.9,False,27,0,0,29.548390411578616,30.701778659260434,26.015658834429907,32.730585782902324,3.660572051765273
PORTFOLIO_LEG,Q1,17,ADV60_P10_E95,ADV60,0.1,0.95,False,27,0,0,18.483013761812824,18.924037501152412,16.09406663095697,20.436886019575212,2.2891790231885176
PORTFOLIO_LEG,Q1,18,ADV60_P10_E97p5,ADV60,0.1,0.975,False,27,0,0,11.503991354082942,11.230858461978833,9.556263572476604,13.105455048461671,1.4231519578568366
PORTFOLIO_LEG,Q5,1,ADV20_P01_E90,ADV20,0.01,0.9,False,27,0,0,2.6662616187530777,2.7098863814727663,2.207393828219884,2.943943530132446,0.32406540741929607
PORTFOLIO_LEG,Q5,2,ADV20_P01_E95,ADV20,0.01,0.95,False,27,0,0,1.6449935751622604,1.670914793862636,1.378573947453796,1.82517849417607,0.20000000000000004
PORTFOLIO_LEG,Q5,3,ADV20_P01_E97p5,ADV20,0.01,0.975,False,27,0,0,1.0267592194606758,1.0483454186566574,0.8708663525742083,1.157041832883834,0.12482318260517597
PORTFOLIO_LEG,Q5,4,ADV20_P05_E90,ADV20,0.05,0.9,False,27,0,0,13.33130809376539,13.549431907363834,11.036969141099421,14.719717650662231,1.6203270370964804
PORTFOLIO_LEG,Q5,5,ADV20_P05_E95,ADV20,0.05,0.95,True,27,0,0,8.224967875811304,8.354573969313181,6.892869737268979,9.12589247088035,1.0
PORTFOLIO_LEG,Q5,6,ADV20_P05_E97p5,ADV20,0.05,0.975,False,27,0,0,5.133796097303377,5.241727093283287,4.354331762871042,5.785209164419171,0.62411591302588
PORTFOLIO_LEG,Q5,7,ADV20_P10_E90,ADV20,0.1,0.9,False,27,0,0,26.66261618753078,27.098863814727668,22.073938282198842,29.439435301324462,3.240654074192961
PORTFOLIO_LEG,Q5,8,ADV20_P10_E95,ADV20,0.1,0.95,False,27,0,0,16.449935751622608,16.709147938626362,13.785739474537959,18.2517849417607,2.0
PORTFOLIO_LEG,Q5,9,ADV20_P10_E97p5,ADV20,0.1,0.975,False,27,0,0,10.267592194606754,10.483454186566574,8.708663525742084,11.570418328838342,1.24823182605176
PORTFOLIO_LEG,Q5,10,ADV60_P01_E90,ADV60,0.01,0.9,False,27,0,0,3.045179250306387,3.1210660951602103,2.5239643286389124,3.3316265093459663,0.3702626530436916
PORTFOLIO_LEG,Q5,11,ADV60_P01_E95,ADV60,0.01,0.95,False,27,0,0,1.9109110102903386,1.9882456186447317,1.604534758960606,2.0973883152928363,0.23244439931305022
PORTFOLIO_LEG,Q5,12,ADV60_P01_E97p5,ADV60,0.01,0.975,False,27,0,0,1.2106183510044017,1.228225675323292,1.0308310610987683,1.3599956187704711,0.1472738868669542
PORTFOLIO_LEG,Q5,13,ADV60_P05_E90,ADV60,0.05,0.9,False,27,0,0,15.225896251531928,15.60533047580105,12.619821643194562,16.65813254672983,1.8513132652184585
PORTFOLIO_LEG,Q5,14,ADV60_P05_E95,ADV60,0.05,0.95,False,27,0,0,9.554555051451691,9.941228093223657,8.02267379480303,10.486941576464185,1.162221996565251
PORTFOLIO_LEG,Q5,15,ADV60_P05_E97p5,ADV60,0.05,0.975,False,27,0,0,6.0530917550220105,6.141128376616462,5.154155305493842,6.799978093852356,0.7363694343347711
PORTFOLIO_LEG,Q5,16,ADV60_P10_E90,ADV60,0.1,0.9,False,27,0,0,30.451792503063857,31.2106609516021,25.239643286389125,33.31626509345966,3.702626530436917
PORTFOLIO_LEG,Q5,17,ADV60_P10_E95,ADV60,0.1,0.95,False,27,0,0,19.109110102903383,19.882456186447314,16.04534758960606,20.97388315292837,2.324443993130502
PORTFOLIO_LEG,Q5,18,ADV60_P10_E97p5,ADV60,0.1,0.975,False,27,0,0,12.106183510044021,12.282256753232923,10.308310610987684,13.599956187704713,1.4727388686695422
