regime_type,sample_scope,factor_name,window,regime,date_n,mean_capacity_yi,median_capacity_yi,p10_capacity_yi,p25_capacity_yi,p75_capacity_yi,p90_capacity_yi,zero_capacity_share
NETWORK,NATIVE,cross_industry_degree_percentile,60,HIGH,34,16.555116344466732,15.884466801056519,5.333716666661123,9.19825015725789,23.215412928377688,29.978824538485796,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,60,LOW,33,11.752458709590421,8.934207056086057,6.550728665782712,7.505582204176577,12.50803866993772,14.666972284465345,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,60,MEDIUM,35,15.503968858488241,13.108736216651288,4.868139977244391,8.175212553743082,22.811282368138617,30.506435753010845,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,120,HIGH,42,16.61136886775613,14.999836414531844,5.46777550276719,9.301784307270026,22.88914726135511,28.538870200928265,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,120,LOW,19,10.305812472356779,9.740704886362934,7.070371086332056,7.911413058542195,12.046212962581095,14.574407692115123,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,120,MEDIUM,38,16.05373204068067,13.18963117049753,5.563817081232655,7.333874711656774,24.793715955106336,32.8481560028029,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,252,HIGH,47,18.802819928627603,16.15714297634865,8.520111010441992,10.458709103231275,25.58006627411195,33.8022056051302,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,252,LOW,28,9.690971637640004,8.69568460396593,6.21689524409565,7.050249171381442,12.325004086677636,13.580417724490129,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,252,MEDIUM,18,18.832482301207772,13.94353984126882,7.120947588852798,9.550957777155489,27.77324078393199,38.572472966359236,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,60,HIGH,34,17.611338723807684,15.753381464007003,5.718801734709143,10.017337128455875,24.895373253536146,31.379521896282732,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,60,LOW,33,13.24323738467863,11.426931205543324,7.618465812557825,8.729999459911161,13.91946259344521,17.30059771950468,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,60,MEDIUM,35,17.232735224382658,13.955507962517068,5.400675709597636,8.588821446066744,24.634123017142635,33.78970837919711,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,120,HIGH,42,16.616823315436207,14.309356282870374,6.722332012399182,8.90771300420028,22.44309239919614,28.37896574597296,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,120,LOW,19,10.957442579213302,11.347302487715965,7.243810082655741,8.239074576922107,13.145666000520393,14.3961332198831,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,120,MEDIUM,38,16.36547242491606,11.977016930384336,6.16621488958722,8.05676388810137,23.778879759051595,34.24682597375228,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,252,HIGH,47,16.68838437837953,14.188856067905956,7.452595269568594,9.042183502561727,23.578586535226904,30.496842804913314,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,252,LOW,28,9.25474934962572,8.868690123441187,5.913668129194635,7.07803820517303,11.795319961018617,13.608066336002794,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,252,MEDIUM,18,17.125772182171694,11.781722069050819,5.890028614272292,8.990636136993281,25.519675508778842,37.49913420820925,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,60,HIGH,34,16.444579126317265,15.4587202178686,5.141795960023873,9.210109575647692,23.798459222649928,27.75909423697522,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,60,LOW,33,11.654962920519957,9.51594803042344,6.660702309836766,7.296538572067368,12.701696883272257,14.533215888656594,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,60,MEDIUM,35,15.661362944773627,13.032854519944069,4.739277956366942,8.00891183639266,22.12739271804346,31.983032075190803,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,120,HIGH,42,16.116595843135052,14.229042637778626,5.25620745487021,9.209196331464556,22.286416337560812,26.44615938112097,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,120,LOW,19,9.677218913052954,9.036454262953372,6.6244381122076295,7.580692252529888,11.454799472940575,12.94280879239155,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,120,MEDIUM,38,15.50374121987353,12.245822214471763,5.310425705172506,7.274913528982516,22.197657940743497,31.526279314730026,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,252,HIGH,47,17.452595040870584,14.676061535771769,7.759017150915668,9.396363940848083,23.97383391870867,30.765388470473088,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,252,LOW,28,8.569692635195976,7.580912319961137,5.976266314605475,6.66305575350869,10.280526373794626,12.889054201751073,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,252,MEDIUM,18,17.16180473365031,13.38723199478509,5.833053304412426,9.894142497326087,25.099382171330745,34.855668136822715,0.0
NETWORK,NATIVE,delta_degree_percentile,60,HIGH,34,17.243927917044555,15.762390262096037,5.368322470096632,9.469148836315131,24.53369257443803,30.22203140803703,0.0
NETWORK,NATIVE,delta_degree_percentile,60,LOW,33,11.503530448397308,9.598865239309486,6.411059010473174,7.442570179185043,12.568564250437735,14.795975054733965,0.0
NETWORK,NATIVE,delta_degree_percentile,60,MEDIUM,35,15.945926435586024,13.821227600510323,4.7198917127864455,8.059411879983491,22.483974059635152,32.337627435163185,0.0
NETWORK,NATIVE,delta_degree_percentile,120,HIGH,42,17.623482571667118,15.581963072310383,5.746565146634225,9.85240160859246,24.14766598458957,29.799755208079333,0.0
NETWORK,NATIVE,delta_degree_percentile,120,LOW,19,10.246898262011351,9.370146135873489,6.912291775765596,8.01017626664978,11.471619381483364,13.471193620672809,0.0
NETWORK,NATIVE,delta_degree_percentile,120,MEDIUM,38,15.977945592260971,12.674112750362847,5.719982740123216,7.79198502636835,22.468019837530896,31.816200271298257,0.0
NETWORK,NATIVE,delta_degree_percentile,252,HIGH,47,19.191938190579453,16.18109483962234,8.788416471444242,10.495207876899052,26.772552360552417,33.617149441631824,0.0
NETWORK,NATIVE,delta_degree_percentile,252,LOW,28,9.655019109590883,8.478441076553484,6.619338672437647,7.359408935113543,11.793858062252168,14.589166811410019,0.0
NETWORK,NATIVE,delta_degree_percentile,252,MEDIUM,18,18.612352424144735,14.346282020094435,7.481673671023475,10.502610214028175,25.72184062816679,37.69122787531714,0.0
NETWORK,NATIVE,delta_residual_degree_percentile_1m,60,HIGH,34,16.26813550184965,15.31866155092537,5.221241403615838,9.134373326460466,23.452432439271764,27.337611273403844,0.0
NETWORK,NATIVE,delta_residual_degree_percentile_1m,60,LOW,33,11.432340462550256,9.157989777086385,6.565125246602922,7.193479559361551,12.373885307901338,14.61499931331327,0.0
NETWORK,NATIVE,delta_residual_degree_percentile_1m,60,MEDIUM,35,15.459384266310641,12.858180877655306,4.671755990951971,7.902757810030536,21.792470626787,31.33674157967589,0.0
NETWORK,NATIVE,delta_residual_degree_percentile_1m,120,HIGH,42,15.906445441115185,14.312161720250064,5.27782929147754,8.96121055985621,22.197368323800667,25.677820865659815,0.0
NETWORK,NATIVE,delta_residual_degree_percentile_1m,120,LOW,19,9.613086359236474,9.072217110331177,6.520342632118963,7.441360389875099,11.450416081256506,13.280618370400799,0.0
NETWORK,NATIVE,delta_residual_degree_percentile_1m,120,MEDIUM,38,15.467453960589282,12.208111418161229,5.258063105559996,7.228368748126234,22.416007083034692,32.301534478329565,0.0
NETWORK,NATIVE,delta_residual_degree_percentile_1m,252,HIGH,47,17.133856319604007,13.982806541835508,7.581206070909803,9.30830239503235,23.68299558219703,30.379323170305923,0.0
NETWORK,NATIVE,delta_residual_degree_percentile_1m,252,LOW,28,8.426722676555196,7.6363832286957365,5.831876007819638,6.548091226625182,10.354047893545559,12.50194391703327,0.0
