regime_type,sample_scope,factor_name,window,low_n,high_n,mean_high_minus_low_yi,median_high_minus_low_yi,zero_share_high_minus_low,hac_se_yi,hac_t,p_nominal,small_sample,q_bh
NETWORK,NATIVE,cross_industry_degree_percentile,60,33,34,4.802657634876308,6.950259744970461,0.0,2.802476771557952,1.7137189801599733,0.08658034935465332,False,0.09740289302398498
NETWORK,NATIVE,cross_industry_degree_ratio,60,33,34,4.368101339129051,4.326450258463678,0.0,2.9327936003671233,1.489399505843936,0.13638219862858997,False,0.13638219862858997
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,60,33,34,4.789616205797309,5.94277218744516,0.0,2.773820692186847,1.726721636798099,0.084217667891923,False,0.09740289302398498
NETWORK,NATIVE,delta_degree_percentile,60,33,34,5.740397468647245,6.163525022786551,0.0,2.8283071807553557,2.0296230578158623,0.042394869292357154,False,0.06024534057334964
NETWORK,NATIVE,delta_residual_degree_percentile_1m,60,33,34,4.835795039299391,6.160671773838985,0.0,2.7300706902620213,1.771307628241403,0.07650955963604147,False,0.09637238060411844
NETWORK,NATIVE,neighbor_jaccard_1m,60,33,34,4.64340946949023,5.735298506507942,0.0,2.6393424184546754,1.7593054379844082,0.07852564345520763,False,0.09637238060411844
NETWORK,NATIVE,neighbor_retention_1m,60,33,34,4.253344137385104,3.636020753764411,0.0,2.5741381620390893,1.6523371589409332,0.09846583824681493,False,0.10225298587169243
NETWORK,NATIVE,outside_community_degree_percentile,60,33,34,4.708333170760092,6.021353859187059,0.0,2.636094092022705,1.7861020913511225,0.07408272961443849,False,0.09637238060411844
NETWORK,NATIVE,residual_degree_percentile,60,33,34,4.635488883360722,6.846151882757175,0.0,2.7606692082698614,1.679117827472647,0.09312908244795573,False,0.10057940904379219
NETWORK,NATIVE,cross_industry_degree_percentile,120,19,42,6.305556395399352,5.2591315281689095,0.0,2.282525177806202,2.762535308136139,0.0057354358014388524,False,0.009109221566991118
NETWORK,NATIVE,cross_industry_degree_ratio,120,19,42,5.659380736222904,2.962053795154409,0.0,2.377672476546413,2.3802188030721525,0.01730236092773156,False,0.02595354139159734
NETWORK,NATIVE,delta_degree_percentile,120,19,42,7.376584309655771,6.211816936436895,0.0,2.471864254850204,2.984219014123328,0.0028430319150888894,False,0.007522663994778176
NETWORK,NATIVE,outside_community_degree_percentile,120,19,42,6.292607557013254,5.137558244609584,0.0,2.2680191527626747,2.7744948931970996,0.005528750207741475,False,0.009109221566991118
NETWORK,NATIVE,residual_degree_percentile,120,19,42,6.5725810957972435,3.9443644478555058,0.0,2.260194767262687,2.907971114258118,0.0036378193797148906,False,0.00755547101940785
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,120,19,42,6.439376930082098,5.192588374825254,0.0,2.191027389162053,2.938976008211748,0.003292985635441034,False,0.007522663994778176
NETWORK,NATIVE,delta_residual_degree_percentile_1m,120,19,42,6.293359081878714,5.239944609918886,0.0,2.144783467827743,2.934263144173098,0.003343406219901412,False,0.007522663994778176
NETWORK,NATIVE,neighbor_jaccard_1m,120,19,42,5.906145637113541,4.381914578555783,0.0,2.08280408743667,2.8356702739057424,0.0045729630991094205,False,0.008819285976853882
NETWORK,NATIVE,neighbor_retention_1m,120,19,42,5.666003743952183,3.790968482977286,0.0,2.0310535884399257,2.7896869763561,0.0052759022870959744,False,0.009109221566991118
NETWORK,NATIVE,cross_industry_degree_percentile,252,28,47,9.111848290987602,7.461458372382719,0.0,2.5095860090940616,3.6308172973425603,0.00028252513610863234,False,0.0009535223343666341
NETWORK,NATIVE,cross_industry_degree_ratio,252,28,47,7.433635028753812,5.320165944464769,0.0,2.2272796762620954,3.337540008100473,0.0008452355227283056,False,0.0025357065681849166
