metric,regime_type,sample_scope,factor_name,method,window,total_date_n,estimate_type,regime,estimate,hac_se,hac_t,regime_date_n
IC,MARKET,NATIVE,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,MEDIUM,0.024610061043907977,0.010184707144501244,2.4163739511346702,34
IC,MARKET,NATIVE,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,HIGH,0.014209674611687567,0.012107320530589334,1.1736432165801345,33
IC,MARKET,NATIVE,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.010467420686725931,0.01805141567166805,-0.5798670241223626,66
IC,MARKET,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,LOW,0.011832509218032444,0.007515079047580587,1.5745022963985742,33
IC,MARKET,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,MEDIUM,0.01726173457305966,0.009619871173134556,1.7943831328289053,34
IC,MARKET,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,HIGH,0.008720058368704414,0.010774835047047722,0.8092985489456461,33
IC,MARKET,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.0031124508493280308,0.014147846762078595,-0.21999466785790595,66
IC,MARKET,NATIVE,cross_industry_degree_ratio,RAW_COMMON,60,100,REGIME_MEAN,LOW,0.008219468742557856,0.01146485838396945,0.7169271932787755,33
IC,MARKET,NATIVE,cross_industry_degree_ratio,RAW_COMMON,60,100,REGIME_MEAN,MEDIUM,0.004159788658971578,0.010450559746697868,0.39804457940982285,34
IC,MARKET,NATIVE,cross_industry_degree_ratio,RAW_COMMON,60,100,REGIME_MEAN,HIGH,0.021218784917284905,0.011095120106269781,1.9124430122477274,33
IC,MARKET,NATIVE,cross_industry_degree_ratio,RAW_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,0.01299931617472705,0.015847653734988344,0.8202675545609156,66
IC,MARKET,NATIVE,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,LOW,-0.0031742439556769245,0.005232080825110865,-0.6066886314986665,33
IC,MARKET,NATIVE,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,MEDIUM,0.004715937448766179,0.005269777511886078,0.8949025719073144,34
IC,MARKET,NATIVE,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,HIGH,-0.0031949731075377346,0.005941446145355882,-0.5377433421718512,33
IC,MARKET,NATIVE,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-2.0729151860810098e-05,0.008167027356864056,-0.0025381513927938645,66
IC,MARKET,NATIVE,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,LOW,-0.0038057598474482766,0.004667309072201414,-0.8154077196463072,33
IC,MARKET,NATIVE,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,MEDIUM,0.004448190678175697,0.005512822278433818,0.8068808413391152,34
IC,MARKET,NATIVE,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,HIGH,-0.00671312820387921,0.0052239066676935545,-1.2850781284810306,33
IC,MARKET,NATIVE,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.0029073683564309334,0.007138034403042927,-0.40730657661043623,66
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,RAW_COMMON,60,100,REGIME_MEAN,LOW,0.02638776953151194,0.008455587103315685,3.1207495362639595,33
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,RAW_COMMON,60,100,REGIME_MEAN,MEDIUM,-0.0006091140644655258,0.0079629038436411,-0.07649396205530515,34
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,RAW_COMMON,60,100,REGIME_MEAN,HIGH,0.02064802585025484,0.010924983333621035,1.8899823660793766,33
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,RAW_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.005739743681257101,0.014035934210864874,-0.4089320735640173,66
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,LOW,0.016918304581394407,0.005124565374429069,3.3014125775064946,33
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,MEDIUM,0.002764475486635133,0.005092295965511134,0.5428740798567571,34
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,HIGH,0.017209200414261588,0.007905770784227115,2.176789700075272,33
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,0.0002908958328671808,0.009349884006750445,0.03111223975154765,66
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,LOW,0.007241777770142302,0.004656008635100768,1.5553617567518905,33
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,MEDIUM,-0.002619051985969441,0.004941028933031085,-0.5300620622682284,34
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,HIGH,0.0081286829619308,0.006111721765053383,1.3300152190190222,33
IC,MARKET,NATIVE,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,0.0008869051917884986,0.006857324873867753,0.129336907336615,66
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,RAW_COMMON,60,100,REGIME_MEAN,LOW,0.02247433529620177,0.007546294227702471,2.9781949415248627,33
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,RAW_COMMON,60,100,REGIME_MEAN,MEDIUM,0.006172900911859012,0.008185177965462675,0.7541559802249312,34
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,RAW_COMMON,60,100,REGIME_MEAN,HIGH,0.024758156382811078,0.00998282323547664,2.480075605749116,33
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,RAW_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,0.0022838210866093084,0.013322029524797753,0.1714319190149055,66
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,LOW,0.013314811358489612,0.004519121703894758,2.946327235890634,33
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,MEDIUM,0.0049407596355861986,0.004409904737778699,1.1203778606054187,34
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,HIGH,0.020267943091949257,0.007640753209542305,2.652610617842916,33
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,0.006953131733459645,0.008968045226967753,0.7753230004406005,66
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,LOW,0.0056059857252893745,0.004015708467373613,1.3960141207550976,33
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,MEDIUM,0.0002139718513577112,0.004449057283036163,0.048093750596011814,34
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,HIGH,0.010264222104298545,0.005476450719870249,1.8742471409551422,33
IC,MARKET,NATIVE,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,0.004658236379009171,0.005848783486213852,0.796445344572779,66
IC,MARKET,NATIVE,neighbor_jaccard_1m,RAW_COMMON,60,100,REGIME_MEAN,LOW,-0.004202362492675664,0.012676935413696551,-0.33149671868922687,33
IC,MARKET,NATIVE,neighbor_jaccard_1m,RAW_COMMON,60,100,REGIME_MEAN,MEDIUM,0.02445303815801714,0.012355344800300134,1.979146559910099,34
IC,MARKET,NATIVE,neighbor_jaccard_1m,RAW_COMMON,60,100,REGIME_MEAN,HIGH,-0.008046235910414876,0.01087497461408407,-0.7398854890193745,33
IC,MARKET,NATIVE,neighbor_jaccard_1m,RAW_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.0038438734177392124,0.017942656818810354,-0.21423100584019705,66
IC,MARKET,NATIVE,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,LOW,0.010509230804578943,0.007951643883912386,1.3216425380720356,33
IC,MARKET,NATIVE,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,MEDIUM,0.012754513965886205,0.009164617566467068,1.3917126244912184,34
IC,MARKET,NATIVE,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,HIGH,0.012697431982942875,0.007336407871071829,1.730742375026624,33
IC,MARKET,NATIVE,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,0.002188201178363932,0.010885469385943316,0.20102037870683023,66
