year,window,analysis_month_count,eligible_stock_count,ew_factor_vol,vw_factor_vol,ew_r2_mean,ew_r2_median,vw_r2_mean,vw_r2_median,pc1_evr,pc1_5_evr,pc1_corr_ew,pc1_corr_vw,pc1_positive_loading_share
2015,60,9,1868.111111111111,0.037693628974463766,0.02778742535255799,0.5580600510813944,0.5781049209253584,0.47715719003714313,0.4833961233090448,0.5437123224945295,0.6578141549792776,0.9970400882411938,0.9116640091686619,0.9988421845989998
2015,120,6,1629.8333333333333,0.04414720736461509,0.03154783286355108,0.637998396512034,0.6613708243461595,0.533496049833738,0.5407018445730302,0.6076648833714305,0.7017297188767907,0.9938922819531144,0.9103335879176052,1.0
2016,60,12,2342.0833333333335,0.02039916721065593,0.015375584961177633,0.48099654269319575,0.48819737025185633,0.45912272934243564,0.46243345858279,0.4794629922220788,0.571274564922328,0.998470838316122,0.9700369265414212,0.9979931602247096
2016,120,12,2186.0833333333335,0.023969282576041747,0.017825899892786604,0.5213790720946394,0.5310024148484591,0.49375554176942654,0.4980478728879096,0.5163871897705231,0.585779502753446,0.9992094344820126,0.9701677628156852,0.99964910034944
2016,252,12,1768.3333333333333,0.03211227791326913,0.023577896481510152,0.6002763206134454,0.6162655829928103,0.5406057504314222,0.5462267430410092,0.582109710843372,0.6485706583215584,0.9974712621220202,0.9479673606955042,1.0
2017,60,12,2777.75,0.011368426271618123,0.006641615708513665,0.3240282718107411,0.31443027579029986,0.2524223161056643,0.24489175378419706,0.32476831676453194,0.44357674791783724,0.9967556616012954,0.8644318554365288,0.9822522487934863
2017,120,12,2628.4166666666665,0.011260991205640987,0.006735554508617043,0.31109404130754686,0.3016513483050842,0.24594776692097345,0.23806614470579002,0.30982177777132547,0.3980861825966749,0.9981593209417454,0.8772794083396352,0.9895336039882463
2017,252,12,2269.5,0.012490497210747223,0.008199176172834255,0.3359492002780251,0.332141293653875,0.2834968350063026,0.2772661663766624,0.33210217877156284,0.3984533384750944,0.9991362357510495,0.9037395431376037,0.9955626851018607
2018,60,12,3176.5833333333335,0.016585768278723715,0.013038670375610443,0.42687280243106906,0.4305548675610515,0.34595234039645556,0.34720444507786813,0.42745812033405756,0.5346737697378621,0.9981623099965565,0.8803916706174948,0.9953110809849868
2018,120,12,3052.25,0.015569011409314314,0.011829298726778492,0.3892592887318127,0.3901254739668185,0.3004487768842367,0.29875044681490853,0.38827297284127754,0.47277931794823624,0.9985571755761437,0.8577824121278095,0.9962266713074031
2018,252,12,2721.9166666666665,0.014018069866236332,0.009956651227527107,0.3492385762875032,0.3482188183155102,0.2513749258401427,0.24816173944522638,0.34710519787353783,0.41977553509407967,0.9989260831464962,0.8325349894805596,0.9963082423863633
2019,60,12,3557.9166666666665,0.01495637922773395,0.01182599458264797,0.3787928607379953,0.3721104382580958,0.33886198229696696,0.3296477814470003,0.38010761662574905,0.4802338390501673,0.9971197688460011,0.939295054970692,0.9978500509948102
2019,120,12,3534.5833333333335,0.01615653271424264,0.013114337439498637,0.39042537286412854,0.3867871554682402,0.3493112208999006,0.34421261949175225,0.3903344470219154,0.4632631027336589,0.9983844290431293,0.9419971764056382,0.9997451891785288
2019,252,12,3346.3333333333335,0.016956021425116072,0.013852774805850683,0.3974566169557077,0.3962062752479802,0.3485554099089925,0.34428486228426264,0.39625524690756886,0.4577533475391058,0.9991760191092546,0.9331155075745691,1.0
2020,60,12,3790.8333333333335,0.01493300901708969,0.01317209635393368,0.3244507199796742,0.3138371441694343,0.2964663497368811,0.28776645586459537,0.3273707332737845,0.4572184343028003,0.9944171463626459,0.9426315617307334,0.9911151588785344
2020,120,12,3743.1666666666665,0.01526547189124367,0.013518759870169839,0.3251115865017236,0.3202532495810939,0.2988068710266479,0.29333430838669544,0.3270367646894728,0.42785442821593384,0.9957698671220084,0.9508295853806783,0.9938752363519622
2020,252,12,3633.1666666666665,0.015503906315074471,0.013276181639387421,0.33333035723469295,0.33295244366262994,0.304746718934837,0.301864889750393,0.334039947132499,0.41253778830220983,0.9974880398553103,0.9516348551713428,0.9999329693618302
2021,60,12,4241.333333333333,0.010308083027861162,0.009677422651167918,0.17763164102965368,0.15371841283094223,0.10506821864313985,0.0843374195510732,0.1834011042085589,0.3379296071606606,0.9785781272693933,0.6741738562171277,0.9736181507791889
2021,120,12,4150.666666666667,0.010575053857658764,0.009943079129432781,0.17085495510487891,0.1551008074587551,0.1000131316528653,0.08739845688250188,0.17463436611646344,0.29452764048183405,0.9843220897860604,0.6863383527651364,0.9929842416040416
2021,252,12,3921.9166666666665,0.012082982396756531,0.01122999311586006,0.2005413484565585,0.19133742646510457,0.13853509228018324,0.13095654579110627,0.20205089420927613,0.2965353972755562,0.9932103963944102,0.7743698943100599,0.9994253642884825
2022,60,12,4643.916666666667,0.014967529758032906,0.011536426588193219,0.3155811941018811,0.29883067068352503,0.2625000605611667,0.2527512644424133,0.3182141861609305,0.47644856614517384,0.9937196694898206,0.884104295673731,0.9953099035263562
2022,120,12,4578.333333333333,0.014777624632149938,0.011428272767174745,0.28447427276764836,0.27164817206860065,0.2338901785725939,0.22544206736502215,0.2860900928721492,0.41408740584015424,0.9947838243072359,0.8831104248121292,0.9985767395391295
2022,252,12,4372.833333333333,0.013612361679189883,0.01104951598179337,0.23162293613475063,0.22349508814412242,0.17980061118822888,0.17407040969140966,0.2327131405299725,0.34205876249454775,0.9954459589278586,0.8492805564119926,0.999800931586423
2023,60,12,4937.666666666667,0.009323669818225837,0.0077440550236007695,0.22974245948009042,0.20440968538441762,0.17455749309720903,0.15532171334214293,0.2332889340536216,0.41188134582386576,0.9898935964695932,0.8344634860095739,0.9825144404689201
2023,120,12,4882.916666666667,0.009769957656936527,0.008139976054214711,0.2101698017393365,0.19013483059786263,0.1602556514666816,0.14376616566095424,0.21255573711644046,0.36375736756041516,0.9922663737824591,0.8434638976267008,0.9947532475695072
2023,252,12,4726.583333333333,0.011509122605305401,0.00926160898267981,0.22508383115369604,0.2114534621035166,0.17842310133545022,0.1642313534207969,0.22603827010369384,0.3523930745202253,0.9963286760339679,0.8708563044489454,0.9992345796329936
