analysis_date,window,window_start,required_valid_days,current_pit_universe_count,eligible_stock_count,eligible_stock_ratio,ew_factor_mean,ew_factor_std,vw_factor_mean,vw_factor_std,ew_vw_factor_corr,ew_mean_contributor_count,vw_mean_contributor_count,ew_regression_stock_count,ew_beta_mean,ew_beta_q10,ew_beta_q25,ew_beta_median,ew_beta_q75,ew_beta_q90,ew_r2_mean,ew_r2_q10,ew_r2_q25,ew_r2_median,ew_r2_q75,ew_r2_q90,ew_share_r2_gt_0_3,ew_share_r2_gt_0_5,ew_share_r2_gt_0_7,vw_regression_stock_count,vw_beta_mean,vw_beta_q10,vw_beta_q25,vw_beta_median,vw_beta_q75,vw_beta_q90,vw_r2_mean,vw_r2_q10,vw_r2_q25,vw_r2_median,vw_r2_q75,vw_r2_q90,vw_share_r2_gt_0_3,vw_share_r2_gt_0_5,vw_share_r2_gt_0_7,pca_stock_count,pca_pc1_evr,pca_pc1_2_evr,pca_pc1_3_evr,pca_pc1_5_evr,pca_pc1_corr_ew_factor,pca_pc1_corr_vw_factor,pca_pc1_loading_mean,pca_pc1_loading_q10,pca_pc1_loading_q25,pca_pc1_loading_median,pca_pc1_loading_q75,pca_pc1_loading_q90,pca_pc1_loading_positive_share
2015-04-30,60,2015-01-29,54,2695,1993,0.7395176252319109,0.0066404482456102485,0.01586104424494048,0.004548721516446789,0.014213593881584753,0.8074958879933988,1977.85,1977.85,1993,1.000057796966527,0.5621802913449129,0.7852187886464279,0.9935417766688127,1.2065532534406718,1.4396944191684835,0.29577856208500475,0.09070839793416996,0.1820270738207365,0.2874233639891255,0.40604175751248434,0.5024144248008361,0.4721525338685399,0.10386352232814852,0.0030105368790767687,1993,0.9007015359554288,0.5209504441000249,0.7266025557649397,0.9121054809121953,1.085939146240966,1.2493781062893246,0.20493593099499646,0.057129268264111244,0.1125669639872277,0.18950311918947732,0.27934501476625273,0.37122330368380246,0.20572002007024587,0.020572002007024585,0.0005017561465127947,1993,0.2942432247252613,0.34147057951489385,0.3759449672618373,0.4371975760582822,0.9982046626135498,0.8044825283972207,0.02135084754364833,0.012106531573350166,0.017414860011785452,0.022037802262033522,0.026246287532955583,0.029375761024369708,0.9939789262418465
2015-05-29,60,2015-03-05,54,2736,1914,0.6995614035087719,0.008591881927133196,0.02159744265572859,0.005406085487066994,0.019003707966810498,0.8846683951892036,1895.9833333333333,1895.9833333333333,1914,1.0007927694468286,0.6786480734853793,0.8529005970318775,1.0076754225130529,1.1676877776060524,1.3066620744807762,0.35816467852421896,0.16451741669399186,0.2550721100364768,0.3617135347836932,0.460014239734411,0.5478326516268804,0.6509926854754441,0.17136886102403343,0.0041797283176593526,1914,1.0053399132563274,0.6618001339621823,0.8546939156604485,1.0278598544993707,1.1794820987179457,1.3132743533088138,0.2942207169806272,0.1026660566357029,0.18944689239185777,0.29102090553130977,0.3953645441254698,0.4828520568081713,0.46917450365726227,0.08359456635318704,0.001567398119122257,1914,0.35341499880753213,0.4068795126560381,0.436695474626243,0.48427770098834655,0.9986936920880588,0.8926814392336717,0.022265134623932845,0.015132082419782226,0.01919266861981587,0.02283714805750064,0.025962503866851797,0.02845637885802505,1.0
2015-06-30,60,2015-04-03,54,2779,1802,0.6484346887369558,0.002583919960952245,0.03389887057111719,0.0012449315256962828,0.028193295483609892,0.9357934607644087,1783.9,1783.9,1802,1.000080495678134,0.7537931876903348,0.9105313623645259,1.0292262682348792,1.1231252959815792,1.2044551981127303,0.5117484740115784,0.3124142354123222,0.4194143146669383,0.5292226714067612,0.6139827742834502,0.687304011295736,0.9100998890122086,0.5832408435072142,0.08435072142064373,1802,1.1246226233161813,0.8783506040600805,1.0197775775322555,1.1571458138493629,1.2564700849724946,1.3372841130575976,0.4556530724466782,0.2664246275560318,0.35750722731149887,0.46313374221679976,0.5562669848035195,0.6383952668246164,0.8540510543840177,0.4051054384017758,0.0244173140954495,1802,0.5063615674788057,0.5488310975208129,0.573201059506444,0.6118822019804396,0.9996298097239211,0.9397454162513585,0.02325444211274238,0.01820206937770597,0.02117867900946395,0.02397662361991028,0.025895469574021904,0.02741307059715335,1.0
2015-07-31,60,2015-05-08,54,2783,1572,0.5648580668343515,-0.0010110811517590544,0.050626531982735784,-0.0025993733646428522,0.03596831526095725,0.8999473825905121,1528.9,1528.9,1572,1.0035013167801792,0.7772912560774936,0.9336490524302782,1.0478952946399476,1.1229019352291632,1.1802077502309263,0.6562406350290502,0.46514008708701055,0.5815276934549996,0.6842608260884029,0.7586078131108188,0.8132342529814731,0.9720101781170484,0.8689567430025446,0.45165394402035625,1572,1.257646465776707,1.047673718431038,1.1871201954286894,1.2922886870338819,1.3730360531569652,1.4375882213270708,0.5378989788922083,0.3740057412310907,0.4560285426814213,0.5447511172466322,0.6273538290005697,0.7009651114688016,0.9637404580152672,0.638676844783715,0.10241730279898219,1572,0.6216694342971613,0.6716795072479206,0.6987157778611637,0.7409242868412218,0.9940973140000867,0.9019719506521445,0.024991453822702844,0.020963090095994057,0.023347955439771098,0.025508840128038238,0.027384175579446068,0.02863573511078291,1.0
2015-08-31,60,2015-06-08,54,2783,1645,0.5910887531440892,-0.009690632156122037,0.05592709016477232,-0.008794322038998634,0.040456911464809404,0.9133515755126371,1598.6833333333334,1598.6833333333334,1645,1.0028517497849412,0.7757938063796591,0.9224128738648735,1.0510999653195738,1.127320773370075,1.1789131050422412,0.6974514733076603,0.49340775791229186,0.6279100699729887,0.7336349849832208,0.801521568082461,0.8547655773175579,0.9726443768996961,0.8917933130699088,0.6060790273556231,1645,1.2533812071165042,1.0528857482863805,1.192085281075061,1.2938485815554908,1.3659072941643708,1.4278147363280604,0.5876033280197581,0.4282240952332264,0.5180284297066385,0.5991884904695053,0.6744081365672331,0.7350313701271469,0.9720364741641337,0.79209726443769,0.17203647416413373,1645,0.6625745117356296,0.7130239387113679,0.7411602701628482,0.776054443926865,0.9932145171431747,0.9153778810433196,0.02444492412705056,0.020595776499135444,0.022980933364712148,0.025164302750039235,0.02666631817391971,0.0277327968549895,1.0
2015-09-30,60,2015-07-07,54,2783,1769,0.6356449874236435,-0.0016279222319634577,0.054094171986961787,-0.004280863340795028,0.03706547074592559,0.9183019188256162,1718.3333333333333,1718.3333333333333,1769,1.0041081345237826,0.7567414628231487,0.9279256869637905,1.0442789405591015,1.136459739348075,1.1955480056970047,0.7161587039619369,0.5153182175133404,0.6558394486445038,0.7496050214604637,0.8245017081651698,0.8719765747469215,0.9745618993781797,0.9095534200113058,0.6455624646693047,1769,1.337460139068079,1.1114098546594915,1.2572351224027043,1.3762543764212405,1.4708849115286722,1.535079763522811,0.6090308852629677,0.4521522743146161,0.5511778043157451,0.6257235205472638,0.6944020076044163,0.7435614159839294,0.9728660260033918,0.8417184850197852,0.22611644997173544,1769,0.6782976075366031,0.7317629502068937,0.7568002598820076,0.7928081514798665,0.9918312995583303,0.9154701954263321,0.023560048479740536,0.01998936418893243,0.022417802855481738,0.024159690627950512,0.025628317796797907,0.026617588370060664,1.0
2015-10-30,60,2015-07-30,54,2783,1962,0.7049946101329501,-0.0010268067590793544,0.04587774039655347,-0.0023554996835098937,0.03262342712133035,0.9412455867653512,1948.25,1948.25,1962,1.0003388317461395,0.7155648794238245,0.8969313784884896,1.0417747431895439,1.1467479544336017,1.2237347791376358,0.6901275968502891,0.4772667165414677,0.6174877554130461,0.7252627980291245,0.7987684962971754,0.8475706371951061,0.9734964322120285,0.8873598369011213,0.5728848114169215,1962,1.3241064902469082,1.042142737849339,1.2209870950953503,1.3660253670911469,1.4751014703123744,1.556910460262159,0.6197887878877721,0.4524494619450203,0.5585585557064154,0.6380933000573372,0.7082141099102126,0.7649832346500893,0.9704383282364933,0.8470948012232415,0.27370030581039756,1962,0.6859725405621636,0.7276693678227756,0.7500749532005381,0.7807197274864413,0.9998273659655839,0.9449987631100455,0.022381166081894662,0.01869867495607352,0.021343791327295282,0.023139815751139745,0.024312106164455397,0.02507301707790448,1.0
2015-11-30,60,2015-08-28,54,2783,2037,0.7319439453826806,0.004821469442157497,0.037205579204986634,0.002394892323329863,0.024194781786808475,0.9333325188517974,2022.7,2022.7,2037,1.000125617013517,0.6799982649276132,0.8832409531056294,1.0417667208582324,1.1606721330637007,1.2660988861858298,0.6332264398905654,0.42327514518428594,0.5523534841856484,0.660974492874276,0.7463727623857036,0.8090383259347053,0.960726558664703,0.8311242022582229,0.38438880706921946,2037,1.4353770177931675,1.0573349395781106,1.2832341097431261,1.4770970997445836,1.625929054153821,1.7607338770826615,0.5596819259889771,0.39032812782529125,0.48070404230229774,0.5738012908960486,0.6516753053061815,0.7155265120468957,0.96759941089838,0.7025036818851251,0.13451153657339224,2037,0.6287038353168934,0.666303496141865,0.6894420222675474,0.7208616414723031,0.9997185181769987,0.936558018651309,0.021886185995825296,0.01801194856794368,0.020633429720190572,0.022661558464973103,0.02409825690257861,0.02509701884526769,0.9960726558664703
2015-12-31,60,2015-10-09,54,2811,2119,0.7538242618285308,0.005081430192236095,0.024154189562377634,0.002507492886174549,0.018367324461185715,0.9448927408184271,2103.483333333333,2103.483333333333,2119,1.0000230654076159,0.6705805300686928,0.8580748325505057,1.0198058369668301,1.1648255400960446,1.3028203572257158,0.46364389607224576,0.26161398710472317,0.3627074681238692,0.4708465947131568,0.5718505066732811,0.6536520486433401,0.8489853704577631,0.44077394997640396,0.04719207173194903,2119,1.24206585990082,0.8730801446490577,1.0767717405642254,1.2587909433981386,1.4318146811340364,1.5874853464524796,0.4256010838603028,0.22039828705755501,0.3185668590854319,0.4253496236270291,0.5341920301485809,0.6252092745721799,0.7791411042944786,0.33364794714487966,0.034922133081642284,2119,0.46217318199071544,0.5101348714189724,0.5344264938765073,0.575601664579733,0.9981436149010402,0.9536898897525562,0.02133896799387092,0.0158827126180336,0.019025789923979845,0.02191836415480821,0.024261151456913627,0.025949649774302214,0.9995280792826805
2016-01-29,60,2015-11-06,54,2812,2199,0.7820056899004267,-0.004317777483837266,0.0332685263786489,-0.004566922802668137,0.0263192480651157,0.977047530085603,2184.9666666666667,2184.9666666666667,2199,1.0002845226102046,0.7411510150540056,0.8899641830296774,1.0200234446226455,1.135155996389913,1.2313253481596123,0.6181881249395216,0.42842793954531183,0.5279141888819805,0.6350108721619558,0.7223463339031184,0.7829103617362341,0.9822646657571623,0.7976352887676217,0.31923601637107774,2199,1.2351548972349218,0.9628009680365727,1.1257306286125717,1.2617026823676338,1.3782059056081928,1.4755970490244923,0.5984583894457371,0.40726296576274046,0.5011399797857576,0.6080692671944068,0.7024072275242776,0.7791692934258311,0.9718053660754888,0.7526148249204184,0.25602546612096405,2199,0.6157175411797857,0.6555269739608647,0.6761680931502502,0.706820768367282,0.9992361453782432,0.9825369217828372,0.021168409424702928,0.0177318676333375,0.01960691013754745,0.021567083511702518,0.023115187927718647,0.024097284894547183,1.0
