network_date,regime,feature,current_value,n_history,history_mean,history_sd,history_median,history_mad,history_min,history_max,expanding_z,robust_z,historical_percentile,range_break,break_direction,support_excursion_sd,moderate_ood,extreme_ood
2024-11-18,2,edge_count,56.0,10,52.5,1.6499158227686108,52.0,1.0,51.0,55.0,2.121320343559643,2.697963037906381,1.0,True,AboveHistoricalMax,0.6060915267313265,True,False
2024-11-18,2,same_edge_ratio,0.2678571428571428,10,0.2990038292369036,0.014674144292143724,0.2952069716775599,0.006712626995645898,0.2745098039215686,0.3269230769230769,-2.122555548021713,-2.748135241925948,0.0,True,BelowHistoricalMin,0.4533593872310168,True,False
2024-11-18,2,same_cross_strength_ratio,3.198455445940806,10,3.188426968455351,0.16163027145449077,3.1898759163753088,0.15752317321210185,2.9112525204615327,3.356675513331226,0.062045787557060306,0.03673626739852667,0.5,False,InsideHistoricalRange,0.0,False,False
2024-11-18,2,mean_abs_partial,0.1073376538674909,10,0.10448466591442004,0.0024309117878899165,0.10515900593619995,0.001327965128160545,0.1004374208533249,0.1079670429455548,1.1736287459230736,1.1065636187631085,0.9,False,InsideHistoricalRange,0.0,False,False
2024-12-16,2,edge_count,54.0,11,52.81818181818182,1.8877596148970779,52.0,1.0,51.0,56.0,0.6260427294301524,1.3489815189531904,0.7272727272727273,False,InsideHistoricalRange,0.0,False,False
2024-12-16,2,same_edge_ratio,0.2777777777777778,11,0.29617231229328894,0.016792552809437047,0.2941176470588235,0.0077691453940066935,0.2678571428571428,0.3269230769230769,-1.0953983426018363,-1.4185718354071135,0.18181818181818182,False,InsideHistoricalRange,0.0,False,False
2024-12-16,2,same_cross_strength_ratio,3.27786075647752,11,3.189338648226756,0.15336574893198487,3.198455445940806,0.14456781731263613,2.9112525204615327,3.356675513331226,0.5771960745291452,0.37047075349114955,0.6363636363636364,False,InsideHistoricalRange,0.0,False,False
2024-12-16,2,mean_abs_partial,0.1056058312163131,11,0.1047440284556083,0.002461373013978149,0.1052998305559866,0.0013117951698097957,0.1004374208533249,0.1079670429455548,0.3501309049098278,0.15733753449777424,0.6363636363636364,False,InsideHistoricalRange,0.0,False,False
2025-01-14,3,edge_count,57.0,12,52.916666666666664,1.8319554050414562,52.5,1.5,51.0,56.0,2.2289479984590193,2.0234722784297854,1.0,True,AboveHistoricalMax,0.5458648159491473,True,False
2025-01-14,3,same_edge_ratio,0.2807017543859649,12,0.29463943441699636,0.01686863852785055,0.2941176470588235,0.011371203713046146,0.2678571428571428,0.3269230769230769,-0.8262480702292601,-0.7957728896889875,0.25,False,InsideHistoricalRange,0.0,False,False
2025-01-14,3,same_cross_strength_ratio,3.252161437864791,12,3.1967154905809867,0.14844456555361496,3.211905578660769,0.1358738163294304,2.9112525204615327,3.356675513331226,0.37351281319745316,0.1998339767102184,0.5833333333333334,False,InsideHistoricalRange,0.0,False,False
2025-01-14,3,mean_abs_partial,0.1075000222699143,12,0.1048158453523337,0.0023599765626319638,0.10539673965277155,0.0012707176567413464,0.1004374208533249,0.1079670429455548,1.1373743960351357,1.1164121961353208,0.9166666666666666,False,InsideHistoricalRange,0.0,False,False
2025-02-19,3,edge_count,57.0,13,53.23076923076923,2.0878156908535677,53.0,2.0,51.0,57.0,1.805346509149848,1.3489815189531904,1.0,False,InsideHistoricalRange,0.0,False,False
2025-02-19,3,same_edge_ratio,0.2631578947368421,13,0.2935673051838401,0.01660666671867027,0.2941176470588235,0.013415892672858587,0.2678571428571428,0.3269230769230769,-1.831156785534199,-1.556517137253683,0.0,True,BelowHistoricalMin,0.2829735912636525,False,False
2025-02-19,3,same_cross_strength_ratio,3.261339042806275,13,3.200980563448972,0.14295437836690386,3.225355711380732,0.12717981534622425,2.9112525204615327,3.356675513331226,0.4222219707212341,0.19083550699960192,0.6153846153846154,False,InsideHistoricalRange,0.0,False,False
2025-02-19,3,mean_abs_partial,0.1070707805401622,13,0.1050223204998399,0.002378987407802183,0.1054936487495565,0.0014234583372427917,0.1004374208533249,0.1079670429455548,0.8610638432150273,0.747307308832659,0.7692307692307693,False,InsideHistoricalRange,0.0,False,False
2025-03-19,3,edge_count,56.0,14,53.5,2.2446517632945957,53.5,2.0,51.0,57.0,1.1137585085049522,0.8431134493457441,0.8571428571428571,False,InsideHistoricalRange,0.0,False,False
2025-03-19,3,same_edge_ratio,0.2857142857142857,14,0.29139520443762595,0.017905857431556656,0.2925133689839572,0.013273602902085846,0.2631578947368421,0.3269230769230769,-0.31726594188828977,-0.3454916402226176,0.35714285714285715,False,InsideHistoricalRange,0.0,False,False
2025-03-19,3,same_cross_strength_ratio,3.4186067942766747,14,3.205291883403065,0.13829021124629653,3.2387585746227616,0.10902082036743765,2.9112525204615327,3.356675513331226,1.5425163426331994,1.1126861993520003,1.0,True,AboveHistoricalMax,0.44783560880638384,False,False
2025-03-19,3,mean_abs_partial,0.1032060900546195,14,0.10516863907414864,0.0023503098620909378,0.10554973998293479,0.0015002950639242466,0.1004374208533249,0.1079670429455548,-0.835017140158348,-1.0536395527169873,0.21428571428571427,False,InsideHistoricalRange,0.0,False,False
2025-04-17,3,edge_count,54.0,15,53.666666666666664,2.2572634084745395,54.0,2.0,51.0,57.0,0.14767143793758772,0.0,0.6,False,InsideHistoricalRange,0.0,False,False
2025-04-17,3,same_edge_ratio,0.2777777777777778,15,0.2910164765227366,0.017316750375015674,0.2909090909090909,0.010977701543739282,0.2631578947368421,0.3269230769230769,-0.7645024879529008,-0.8068127313878004,0.26666666666666666,False,InsideHistoricalRange,0.0,False,False
2025-04-17,3,same_cross_strength_ratio,3.2050652182465056,15,3.2195128774613058,0.1441933409315517,3.252161437864791,0.10037408886216515,2.9112525204615327,3.4186067942766747,-0.10019643848642397,-0.3164757488601999,0.4,False,InsideHistoricalRange,0.0,False,False
2025-04-17,3,mean_abs_partial,0.1048103026360118,15,0.10503780247284669,0.0023208104993175513,0.1054936487495565,0.0015771317906057014,0.1004374208533249,0.1079670429455548,-0.09802602879545008,-0.2922461152933345,0.3333333333333333,False,InsideHistoricalRange,0.0,False,False
2025-05-20,3,edge_count,55.0,16,53.6875,2.1823152842795195,54.0,2.0,51.0,57.0,0.6014254720455369,0.3372453797382976,0.75,False,InsideHistoricalRange,0.0,False,False
2025-05-20,3,same_edge_ratio,0.2727272727272727,16,0.29018905785117666,0.017053810928234416,0.28968531468531467,0.011907536907536875,0.2631578947368421,0.3269230769230769,-1.023922758226086,-0.9605716688793952,0.125,False,InsideHistoricalRange,0.0,False,False
2025-05-20,3,same_cross_strength_ratio,3.4560469526671445,16,3.2186098987603797,0.13935081937189453,3.2387585746227616,0.10902082036743765,2.9112525204615327,3.4186067942766747,1.7038798550089693,1.344321228171271,1.0,True,AboveHistoricalMax,0.26867555253156283,False,False
2025-05-20,3,mean_abs_partial,0.1013574358275216,16,0.10502358373304452,0.002242837200915707,0.10539673965277155,0.0015002950639242466,0.1004374208533249,0.1079670429455548,-1.6346027718936078,-1.8159581874003399,0.0625,False,InsideHistoricalRange,0.0,False,False
2025-06-18,3,edge_count,54.0,17,53.76470588235294,2.1368613597021766,54.0,2.0,51.0,57.0,0.11011201853537747,0.0,0.5882352941176471,False,InsideHistoricalRange,0.0,False,False
2025-06-18,3,same_edge_ratio,0.2592592592592592,17,0.28916189402035875,0.01704674608475933,0.2884615384615384,0.01068376068376059,0.2631578947368421,0.3269230769230769,-1.7541549931241163,-1.8436080759027087,0.0,True,BelowHistoricalMin,0.2287026191507881,False,False
2025-06-18,3,same_cross_strength_ratio,3.4452811426261483,17,3.232576784284307,0.14670119744551022,3.252161437864791,0.10037408886216515,2.9112525204615327,3.4560469526671445,1.4499156247231497,1.2977199375951955,0.9411764705882353,False,InsideHistoricalRange,0.0,False,False
2025-06-18,3,mean_abs_partial,0.1018050588425186,17,0.10480792797389611,0.0023466038651984017,0.1052998305559866,0.001770949984175596,0.1004374208533249,0.1079670429455548,-1.279665978528346,-1.3310320722082174,0.17647058823529413,False,InsideHistoricalRange,0.0,False,False
2025-07-16,3,edge_count,54.0,18,53.77777777777778,2.0738017250381584,54.0,2.0,51.0,57.0,0.10715692804148501,0.0,0.6111111111111112,False,InsideHistoricalRange,0.0,False,False
2025-07-16,3,same_edge_ratio,0.2962962962962963,18,0.287500636533631,0.01797703833331659,0.28708791208791207,0.010944121238238874,0.2592592592592592,0.3269230769230769,0.4892719033904714,0.5675165619112623,0.7777777777777778,False,InsideHistoricalRange,0.0,False,False
2025-07-16,3,same_cross_strength_ratio,3.4445816385472634,18,3.244393693081076,0.15089331980800186,3.256750240335533,0.09794941039832783,2.9112525204615327,3.4560469526671445,1.3266852748743838,1.293428331198445,0.8888888888888888,False,InsideHistoricalRange,0.0,False,False
2025-07-16,3,mean_abs_partial,0.1035285263807728,18,0.1046411019110418,0.002384028491099378,0.10515900593619995,0.0019323452427713467,0.1004374208533249,0.1079670429455548,-0.4666787894619261,-0.5691236582930091,0.3333333333333333,False,InsideHistoricalRange,0.0,False,False
2025-08-13,3,edge_count,55.0,19,53.78947368421053,2.016017729430998,54.0,2.0,51.0,57.0,0.6004542014276493,0.3372453797382976,0.7894736842105263,False,InsideHistoricalRange,0.0,False,False
2025-08-13,3,same_edge_ratio,0.2545454545454545,19,0.287963565994824,0.017586687332032152,0.2884615384615384,0.01068376068376059,0.2592592592592592,0.3269230769230769,-1.9001936418407899,-2.141201574629352,0.0,True,BelowHistoricalMin,0.268032553533775,False,False
2025-08-13,3,same_cross_strength_ratio,3.186964630434855,19,3.2549299007371912,0.1536654897120237,3.261339042806275,0.09533647052495109,2.9112525204615327,3.4560469526671445,-0.44229364986052633,-0.526187445473928,0.2631578947368421,False,InsideHistoricalRange,0.0,False,False
2025-08-13,3,mean_abs_partial,0.1089444476084889,19,0.10458254530418554,0.0023308765286306197,0.1050181813164133,0.0018120912617937968,0.1004374208533249,0.1079670429455548,1.8713570842235734,1.4614221640404197,1.0,True,AboveHistoricalMax,0.41932923126919935,False,False
