network_feature,left_out_date,left_out_regime,n_post_after_deletion,pre_full_slope,post_full_slope,post_loo_slope,post_loo_spearman,delta_loo_slope_vs_pre
same_edge_ratio,2025-11-13,4,8,2.8838481342287126,1.1689966355981445,1.217954308026066,0.43114545428877316,-1.6658938262026466
same_edge_ratio,2025-12-11,4,8,2.8838481342287126,1.1689966355981445,1.6407564140342477,0.5476190476190477,-1.243091720194465
same_edge_ratio,2026-01-12,4,8,2.8838481342287126,1.1689966355981445,0.9607710154402609,0.04761904761904763,-1.9230771187884517
same_edge_ratio,2026-02-09,4,8,2.8838481342287126,1.1689966355981445,1.2500615106344015,0.31138282809744733,-1.633786623594311
same_edge_ratio,2026-03-17,5,8,2.8838481342287126,1.1689966355981445,1.2894287246025267,0.31138282809744733,-1.594419409626186
same_edge_ratio,2026-04-15,5,8,2.8838481342287126,1.1689966355981445,1.2980478798030295,0.3353353533357125,-1.585800254425683
same_edge_ratio,2026-05-18,5,8,2.8838481342287126,1.1689966355981445,1.292788637018138,0.31138282809744733,-1.5910594972105745
same_edge_ratio,2026-06-15,5,8,2.8838481342287126,1.1689966355981445,1.150928245771331,0.21557272714438658,-1.7329198884573815
same_edge_ratio,2026-07-14,5,8,2.8838481342287126,1.1689966355981445,0.16982582531935467,-0.03592878785739777,-2.714022308909358
edge_count,2025-11-13,4,8,-1.9477651858255218,-1.8392618968152485,-1.4289867450260552,-0.39282289291218914,0.5187784407994667
edge_count,2025-12-11,4,8,-1.9477651858255218,-1.8392618968152485,-1.9280172337352135,-0.5455447255899809,0.01974795209030833
edge_count,2026-01-12,4,8,-1.9477651858255218,-1.8392618968152485,-1.771907431276155,-0.47280542884465016,0.17585775454936692
edge_count,2026-02-09,4,8,-1.9477651858255218,-1.8392618968152485,-2.013729374676195,-0.2946171696841418,-0.06596418885067323
edge_count,2026-03-17,5,8,-1.9477651858255218,-1.8392618968152485,-2.1960843874787135,-0.5155800469472482,-0.24831920165319166
edge_count,2026-04-15,5,8,-1.9477651858255218,-1.8392618968152485,-2.4820341055486956,-0.4818120558297158,-0.5342689197231738
edge_count,2026-05-18,5,8,-1.9477651858255218,-1.8392618968152485,-1.8546739443244127,-0.44855899659620657,0.09309124150110915
edge_count,2026-06-15,5,8,-1.9477651858255218,-1.8392618968152485,-2.2708015199552225,-0.5806452980511959,-0.3230363341297007
edge_count,2026-07-14,5,8,-1.9477651858255218,-1.8392618968152485,-0.6191663983656106,-0.22096287726310634,1.3285987874599112
same_cross_strength_ratio,2025-11-13,4,8,-0.2619790556004863,-0.4891768403200264,-0.28913903571036825,-0.023809523809523815,-0.027159980109881965
same_cross_strength_ratio,2025-12-11,4,8,-0.2619790556004863,-0.4891768403200264,-0.251792376450841,-0.023809523809523815,0.010186679149645272
same_cross_strength_ratio,2026-01-12,4,8,-0.2619790556004863,-0.4891768403200264,-0.5733490081368567,-0.3571428571428572,-0.31136995253637045
same_cross_strength_ratio,2026-02-09,4,8,-0.2619790556004863,-0.4891768403200264,-0.52146378747796,-0.3571428571428572,-0.2594847318774737
same_cross_strength_ratio,2026-03-17,5,8,-0.2619790556004863,-0.4891768403200264,-0.5325140870515189,-0.3333333333333334,-0.27053503145103264
same_cross_strength_ratio,2026-04-15,5,8,-0.2619790556004863,-0.4891768403200264,-0.5402243222859258,-0.3571428571428572,-0.2782452666854395
same_cross_strength_ratio,2026-05-18,5,8,-0.2619790556004863,-0.4891768403200264,-0.6406341341315286,-0.4523809523809524,-0.3786550785310423
same_cross_strength_ratio,2026-06-15,5,8,-0.2619790556004863,-0.4891768403200264,-0.867823186543358,-0.5000000000000001,-0.6058441309428717
same_cross_strength_ratio,2026-07-14,5,8,-0.2619790556004863,-0.4891768403200264,-0.17023914122801864,-0.2380952380952381,0.09173991437246765
