network_date,regime,joint_max_abs_z,same_ratio_abs_z,edge_count_abs_z,n_range_breaks,max_support_excursion_sd,actual,baseline_prediction,baseline_absolute_error,same_ratio_prediction,same_ratio_absolute_error,same_ratio_excess_absolute_error,same_ratio_excess_squared_error,same_ratio_network_win,event_selection
2025-11-13,4,5.233638845891122,4.213677056635095,5.233638845891122,3,3.7141953099872462,0.0467786745227221,0.0678798674946522,0.0211011929719301,0.1945786030851821,0.14779992856246,0.12669873559052988,0.0213995585382296,0,Top OOD
2025-12-11,4,4.142234278367914,3.7706800394038287,4.142234278367914,2,0.7244972502088368,0.0422075936479499,0.0666224680486695,0.0244148744007196,0.136574039207203,0.0943664455592531,0.0699515711585335,0.0083089399554845,0,Top OOD
2026-01-12,4,3.070474512135437,2.903481337215026,3.070474512135437,0,0.0,0.1266959853706926,0.0661271664712638,0.0605688188994287,0.0984185397044041,0.0282774456662884,-0.0322913732331403,-0.0028689678894619998,1,Top OOD
2026-02-09,4,3.035653317505139,1.56145456121335,3.035653317505139,1,0.4849286449688719,0.1023554228515839,0.0553094571103298,0.047045965741254,0.0811789527515709,0.0211764701000129,-0.025869495641241098,-0.0017648800066304999,1,Top OOD
2026-07-14,5,2.5662261617848072,2.5662261617848072,1.9984755256507256,1,0.5069757974373356,0.1615517573212368,0.0693256300480626,0.0922261272731742,0.1121151802562935,0.0494365770649432,-0.042789550208231,-0.006061683399909699,1,Top OOD
2026-04-15,5,2.1766658962466616,2.1766658962466616,1.3790618772959369,0,0.0,0.0793825956712282,0.0658550743962119,0.0135275212750162,0.1038020491172545,0.0244194534460263,0.0108919321710101,0.0004133158747566001,0,Top OOD
2026-06-15,5,1.962701652792941,0.3657890767122023,1.962701652792941,0,0.0,0.0602437747289335,0.0678381234904923,0.0075943487615588,0.0734813548268998,0.0132375800979663,0.0056432313364075,0.00011755939373781006,0,Top OOD
2026-05-18,5,1.9142324086394824,0.8150437735106023,1.9142324086394824,0,0.0,0.0819018118736077,0.0675012797657853,0.0144005321078223,0.0809573993215121,0.0009444125520955,-0.0134561195557268,-0.00020648340991984441,1,Top OOD
2025-08-13,3,1.9001936418407896,1.9001936418407896,0.6004542014276493,1,0.268032553533775,0.0612164176248017,0.076191147731504,0.0149747301067023,0.0134270511449546,0.047789366479847,0.032814636373144704,0.0020595810067765997,0,Top OOD
2025-06-18,3,1.7541549931241165,1.7541549931241165,0.1101120185353774,1,0.2287026191507881,0.0326000005874204,0.0810516003757367,0.0484515997883163,0.0180958427273476,0.0145041578600727,-0.0339474419282436,-0.0021371869268172,1,Top OOD
2025-11-13,4,5.233638845891122,4.213677056635095,5.233638845891122,3,3.7141953099872462,0.0467786745227221,0.0678798674946522,0.0211011929719301,0.1945786030851821,0.14779992856246,0.12669873559052988,0.0213995585382296,0,Top Forecast Failure
2025-12-11,4,4.142234278367914,3.7706800394038287,4.142234278367914,2,0.7244972502088368,0.0422075936479499,0.0666224680486695,0.0244148744007196,0.136574039207203,0.0943664455592531,0.0699515711585335,0.0083089399554845,0,Top Forecast Failure
2025-07-16,3,1.3266852748743838,0.4892719033904714,0.107156928041485,0,0.0,0.0173597402228559,0.0782137864181618,0.0608540461953059,0.0963090456235857,0.0789493054007298,0.018095259205423896,0.0025297778849173004,0,Top Forecast Failure
2025-08-13,3,1.9001936418407896,1.9001936418407896,0.6004542014276493,1,0.268032553533775,0.0612164176248017,0.076191147731504,0.0149747301067023,0.0134270511449546,0.047789366479847,0.032814636373144704,0.0020595810067765997,0,Top Forecast Failure
2026-04-15,5,2.1766658962466616,2.1766658962466616,1.3790618772959369,0,0.0,0.0793825956712282,0.0658550743962119,0.0135275212750162,0.1038020491172545,0.0244194534460263,0.0108919321710101,0.0004133158747566001,0,Top Forecast Failure
2026-06-15,5,1.962701652792941,0.3657890767122023,1.962701652792941,0,0.0,0.0602437747289335,0.0678381234904923,0.0075943487615588,0.0734813548268998,0.0132375800979663,0.0056432313364075,0.00011755939373781006,0,Top Forecast Failure
2025-09-10,3,1.4473725919840252,1.4473725919840252,0.0757258637364519,0,0.0,0.0456373036408741,0.0675843237778618,0.0219470201369877,0.0228856027963355,0.0227517008445386,0.0008046807075508984,3.5968198426000015e-05,0,Top Forecast Failure
2026-05-18,5,1.9142324086394824,0.8150437735106023,1.9142324086394824,0,0.0,0.0819018118736077,0.0675012797657853,0.0144005321078223,0.0809573993215121,0.0009444125520955,-0.0134561195557268,-0.00020648340991984441,1,Top Forecast Failure
2025-10-16,3,0.377683608507163,0.377683608507163,0.0739827936030808,0,0.0,0.0453304948408948,0.0690643429557807,0.0237338481148859,0.0586584972799416,0.0133280024390468,-0.010405845675839102,-0.00038565989732520004,1,Top Forecast Failure
2026-03-17,5,1.700011971464107,1.2086881276538717,1.700011971464107,0,0.0,0.0915510389868639,0.0631437408812541,0.0284072981056097,0.083692179833164,0.0078588591536998,-0.0205484389519099,-0.0007452129184632085,1,Top Forecast Failure
