network_date,regime,future_relative_volatility_20,same_edge_ratio,edge_count,same_cross_strength_ratio,current_relative_volatility_20,joint_max_abs_z,n_range_breaks,max_support_excursion_sd,joint_moderate_ood,joint_extreme_ood,period,post_indicator,future_relative_volatility_pp,current_relative_volatility_pp,same_edge_ratio_pre_z,edge_count_pre_z,same_cross_strength_ratio_pre_z,current_relative_volatility_pre_z
2024-01-16,1,0.2524995442029621,0.3269230769230769,52,3.3430232632534422,0.011104600320608504,,0,,False,False,Pre-R4,0,25.249954420296213,1.1104600320608504,2.254471809588243,-0.9888442059056972,0.5912333201148562,-1.0777317428085809
2024-02-21,1,0.0682448876042687,0.2941176470588235,51,3.356675513331226,0.25249954420296217,,0,,False,False,Pre-R4,0,6.82448876042687,25.249954420296216,0.5038094179693421,-1.5194435359038752,0.6855686812611506,3.885169092775532
2024-03-20,1,0.0831126172152798,0.2884615384615384,52,3.154396121369885,0.0682448876042687,,0,,False,False,Pre-R4,0,8.311261721527979,6.82448876042687,0.20197107458677155,-0.9888442059056972,-0.7121569232659807,0.09703014302362538
2024-04-19,1,0.0606255952565293,0.2745098039215686,51,3.225355711380732,0.08311261721527982,,0,,False,False,Pre-R4,0,6.06255952565293,8.311261721527982,-0.542563505756895,-1.5194435359038752,-0.22183492415761902,0.4026996260832485
2024-05-22,1,0.0415449283729673,0.3090909090909091,55,3.065107126981,0.06062559525652941,,0,,False,False,Pre-R4,0,4.15449283729673,6.062559525652941,1.3028578324511983,0.6029537840888369,-1.329132841819638,-0.05961685111384871
2024-06-20,1,0.1027586968226419,0.3137254901960784,51,3.095223196082995,0.04154492837296729,,0,,False,False,Pre-R4,0,10.27586968226419,4.154492837296729,1.5501823416955822,-1.5194435359038752,-1.1210345255086445,-0.45190119682940505
2024-07-18,1,0.0861008932670821,0.2941176470588235,51,2.9112525204615327,0.10275869682264199,,0,,False,False,Pre-R4,0,8.610089326708211,10.275869682264199,0.5038094179693421,-1.5194435359038752,-2.392249162377916,0.806608437639998
2024-08-15,2,0.051776755794044,0.3018867924528302,53,3.0279769168292385,0.0861008932670822,,0,,False,False,Pre-R4,0,5.1776755794044,8.61008932670822,0.918410010389174,-0.4582448759075191,-1.5856980061074022,0.46413636322416313
2024-09-12,2,0.0746533065096167,0.2962962962962963,54,3.3525355267269563,0.05177675579404399,1.414213562373095,0,0.0,False,False,Pre-R4,0,7.46533065096167,5.177675579404399,0.6200730761611478,0.07235445409065892,0.6569618853682054,-0.24154242111966226
2024-10-21,2,0.0452356684394986,0.2909090909090909,55,3.352723788136496,0.07465330650961677,1.875146501543374,0,0.0,False,False,Pre-R4,0,4.52356684394986,7.465330650961677,0.3325847577232321,0.6029537840888369,0.6582627484462819,0.22878247813311786
2024-11-18,2,0.0461200600978302,0.2678571428571428,56,3.198455445940806,0.04523566843949861,2.122555548021713,2,0.6060915267313265,True,False,Pre-R4,0,4.61200600978302,4.523566843949861,-0.8975828905925847,1.133553114087015,-0.40771243451293315,-0.37602232105212735
2024-12-16,2,0.0684799145323629,0.2777777777777778,54,3.27786075647752,0.04612006009783018,1.0953983426018363,0,0.0,False,False,Pre-R4,0,6.847991453236291,4.612006009783018,-0.3681680184691864,0.07235445409065892,0.14096844986408086,-0.3578398851256463
2025-01-14,3,0.060558526055721,0.2807017543859649,57,3.252161437864791,0.06847991453236302,2.2289479984590197,1,0.5458648159491473,True,False,Pre-R4,0,6.0558526055721,6.847991453236302,-0.212129950895977,1.6641524440851931,-0.03661066630597877,0.10186212218219699
2025-02-19,3,0.0224465335018872,0.2631578947368421,57,3.261339042806275,0.060558526055721096,1.831156785534199,1,0.2829735912636525,True,False,Pre-R4,0,2.24465335018872,6.05585260557211,-1.1483583563352424,1.6641524440851931,0.026805449841919342,-0.060995744090562264
2025-03-19,3,0.0919847086168523,0.2857142857142857,56,3.4186067942766747,0.0224465335018873,1.5425163426331994,1,0.4478356088063838,True,False,Pre-R4,0,9.19847086168523,2.24465335018873,0.0553638792295274,1.133553114087015,1.1135061802781558,-0.8445500168071421
2025-04-17,3,0.0366550005157115,0.2777777777777778,54,3.2050652182465056,0.09198470861685243,0.7645024879529008,0,0.0,False,False,Pre-R4,0,3.66550005157115,9.198470861685243,-0.3681680184691864,0.07235445409065892,-0.3620397245932981,0.5851032386945483
2025-05-20,3,0.0368420504009548,0.2727272727272727,55,3.4560469526671445,0.036655000515711494,1.703879855008969,1,0.2686755525315628,True,False,Pre-R4,0,3.6842050400954798,3.6655000515711493,-0.6376883170047343,0.6029537840888369,1.3722130485977535,-0.5524344833117772
2025-06-18,3,0.0326000005874204,0.2592592592592592,54,3.4452811426261483,0.036842050400954895,1.7541549931241165,1,0.2287026191507881,True,False,Pre-R4,0,3.26000005874204,3.6842050400954895,-1.3564091130995266,0.07235445409065892,1.297822631453077,-0.5485888765362567
2025-07-16,3,0.0173597402228559,0.2962962962962963,54,3.4445816385472634,0.03260000058742049,1.3266852748743838,0,0.0,False,False,Pre-R4,0,1.73597402228559,3.2600000587420492,0.6200730761611478,0.07235445409065892,1.2929891446996888,-0.6358022714217753
2025-08-13,3,0.0612164176248017,0.2545454545454545,55,3.186964630434855,0.017359740222855996,1.9001936418407896,1,0.268032553533775,True,False,Pre-R4,0,6.12164176248017,1.7359740222855997,-1.6079613917327007,0.6029537840888369,-0.4871125498377538,-0.9491307102091201
2025-09-10,3,0.0456373036408741,0.2592592592592592,54,3.353269290815703,0.061216417624801706,1.4473725919840252,0,0.0,False,False,Pre-R4,0,4.5637303640874105,6.121641762480171,-1.3564091130995266,0.07235445409065892,0.6620321045565247,-0.047469981846324144
2025-10-16,3,0.0453304948408948,0.2777777777777778,54,3.280212414178752,0.045637303640874205,0.377683608507163,0,0.0,False,False,Pre-R4,0,4.53304948408948,4.56373036408742,-0.3681680184691864,0.07235445409065892,0.1572181140054638,-0.36776499948420593
2025-11-13,4,0.0467786745227221,0.3636363636363636,44,3.9846334060099946,0.04533049484089491,5.233638845891122,3,3.7141953099872462,True,True,Post-R4,1,4.67786745227221,4.53304948408949,4.2136770566350945,-5.233638845891122,5.02468012831237,-0.37407276063815914
2025-12-11,4,0.0422075936479499,0.3809523809523809,42,3.982835001016988,0.04677867452272211,4.142234278367914,2,0.7244972502088368,True,True,Post-R4,1,4.22075936479499,4.677867452272211,5.137746651614108,-6.294837505887478,5.01225337202414,-0.34429926150257284
2026-01-12,4,0.1266959853706926,0.3809523809523809,42,3.6220109289035887,0.04220759364794999,3.070474512135437,0,0.0,True,True,Post-R4,1,12.669598537069259,4.220759364794999,5.137746651614108,-6.294837505887478,2.519003617649613,-0.4382772907358002
2026-02-09,4,0.1023554228515839,0.35,40,3.606091908192432,0.12669598537069268,3.035653317505139,1,0.4849286449688719,True,True,Post-R4,1,10.23554228515839,12.669598537069268,3.4859722505891213,-7.356036165883833,2.4090051515120754,1.2987413192410162
2026-03-17,5,0.0915510389868639,0.3409090909090909,44,3.73427496960456,0.1023554228515839,1.700011971464107,0,0.0,False,False,Post-R4,1,9.15510389868639,10.23554228515839,3.000835713225138,-5.233638845891122,3.2947342673908,0.7983174241840205
2026-04-15,5,0.0793825956712282,0.3777777777777777,45,3.238208556623135,0.0915510389868639,2.1766658962466616,0,0.0,True,False,Post-R4,1,7.93825956712282,9.15510389868639,4.9683338925346225,-4.703039515892944,-0.13302335164822315,0.5761873130565762
2026-05-18,5,0.0819018118736077,0.3333333333333333,42,3.0148512489914983,0.0793825956712283,1.9142324086394824,0,0.0,False,False,Post-R4,1,8.190181187360771,7.938259567122829,2.596555265421819,-6.294837505887478,-1.6763947490402367,0.3260131522905664
2026-06-15,5,0.0602437747289335,0.3170731707317073,41,2.9577058637714533,0.08190181187360782,1.962701652792941,0,0.0,False,False,Post-R4,1,6.02437747289335,8.190181187360782,1.7288313774537207,-6.825436835885656,-2.0712622999466994,0.3778063671554961
2026-07-14,5,0.1615517573212368,0.4,40,3.1045286585661214,0.06024377472893355,2.5662261617848072,1,0.5069757974373356,True,False,Post-R4,1,16.15517573212368,6.024377472893355,6.1542232060910305,-7.356036165883833,-1.0567349295462536,-0.06746679769919299
