group_type,group,n,mean_joint_abs_z,mean_baseline_AE,mean_same_ratio_AE,median_same_ratio_AE,mean_same_ratio_excess_AE,mean_same_ratio_excess_SE,same_ratio_network_win_rate,mean_edge_count_AE,mean_edge_count_excess_SE,edge_count_network_win_rate
Joint OOD Group,Low OOD,10,1.4851418486188876,0.030349951619127218,0.021926150354841488,0.013282791268506549,-0.00842380126428573,-0.00020805449559986307,0.6,0.02913323119257507,-1.5520583738945643e-05,0.6
Joint OOD Group,Moderate OOD,2,2.3714460290157344,0.0528768242740952,0.03692801525548475,0.03692801525548475,-0.015948809018610448,-0.0028241837625765497,0.5,0.035361448273559394,-0.0021593394942778115,1.0
Joint OOD Group,Extreme OOD,4,3.8705002384749028,0.0382827130033331,0.0729050724720036,0.06132194561277075,0.03462235946867049,0.006268662649405399,0.5,0.07511401202088858,0.0071227308652181505,0.5
Historical Support,Inside Historical Range,9,1.637814489399678,0.02953363532073026,0.02209783547889089,0.0133280024390468,-0.007435799841839367,-0.0002483939197026145,0.5555555555555556,0.026856842926897377,-0.00015184529273373055,0.6666666666666666
Historical Support,Range Break,7,2.905140156217551,0.042368756980888954,0.0551224720910544,0.047789366479847,0.01275371511016544,0.0027973261991133427,0.5714285714285714,0.060114238602049626,0.003626235181361585,0.5714285714285714
