network_feature,period,n,mean_feature_raw,sd_feature_raw,min_feature_raw,max_feature_raw,mean_future_relative_volatility_pp,median_future_relative_volatility_pp,spearman_rho,slope_pp_per_pre_sd,intercept_pp,r2,pre_spearman,post_spearman,delta_spearman_post_minus_pre,pre_slope_pp_per_pre_sd,post_slope_pp_per_pre_sd,delta_slope_post_minus_pre
same_edge_ratio,Pre-R4,22,0.2846768293401885,0.01873886708328559,0.2545454545454545,0.3269230769230769,6.508107473286623,5.61676409248825,0.413579311568339,2.8838481342287126,6.508107473286628,0.36991947952595106,0.413579311568339,0.2761530448893886,-0.13742626667895042,2.8838481342287126,1.1689966355981445,-1.714851498630568
same_edge_ratio,Post-R4,9,0.3605149442547816,0.026979568987817257,0.3170731707317073,0.4,8.807429499720207,8.190181187360771,0.2761530448893886,1.1689966355981445,4.0763803497776525,0.1919884972280912,0.413579311568339,0.2761530448893886,-0.13742626667895042,2.8838481342287126,1.1689966355981445,-1.714851498630568
edge_count,Pre-R4,22,53.86363636363637,1.8846612565519707,51.0,57.0,6.508107473286623,5.61676409248825,-0.4511714127218183,-1.9477651858255218,6.5081074732866195,0.16874683139253754,-0.4511714127218183,-0.44459061923690013,0.00658079348491819,-1.9477651858255218,-1.8392618968152485,0.10850328901027328
edge_count,Post-R4,9,42.22222222222222,1.7873008824606014,40.0,45.0,8.807429499720207,8.190181187360771,-0.44459061923690013,-1.8392618968152485,-2.553556131470753,0.20619646489139942,-0.4511714127218183,-0.44459061923690013,0.00658079348491819,-1.9477651858255218,-1.8392618968152485,0.10850328901027328
same_cross_strength_ratio,Pre-R4,22,3.257459747701634,0.1447203881120678,2.9112525204615327,3.4560469526671445,6.508107473286623,5.61676409248825,-0.29870129870129875,-0.2619790556004863,6.508107473286623,0.0030527804591861107,-0.29870129870129875,-0.3,-0.0012987012987012436,-0.2619790556004863,-0.4891768403200264,-0.2271977847195401
same_cross_strength_ratio,Post-R4,9,3.4716822824088633,0.40252230402715805,2.9577058637714533,3.9846334060099946,8.807429499720207,8.190181187360771,-0.3,-0.4891768403200264,9.531534126721905,0.1254635498687059,-0.29870129870129875,-0.3,-0.0012987012987012436,-0.2619790556004863,-0.4891768403200264,-0.2271977847195401
