subset,n,rho_ood_vs_network_AE,rho_ood_vs_excess_SE,mean_network_AE,mean_excess_SE,network_win_rate
Full OOS Sample,16,0.5205882352941177,0.1176470588235294,0.036546113996712426,0.001084108632279367,0.5625
Exclude Top 1 OOD Date,15,0.41785714285714276,-0.07142857142857141,0.02912919302566259,-0.00027025469478398197,0.6
Exclude Top 2 OOD Dates,14,0.2835164835164835,-0.3186813186813187,0.02446938927326326,-0.0008830543126603021,0.6428571428571429
Exclude R4,16,0.5205882352941177,0.1176470588235294,0.036546113996712426,0.001084108632279367,0.5625
