network_feature,model,n,intercept,coef_current_relative_volatility,coef_network_feature_pre,coef_post_level,coef_feature_x_post,pre_network_slope_pp_per_pre_sd,post_network_slope_pp_per_pre_sd,delta_network_slope,r2
same_edge_ratio,UnadjustedInteraction,31,6.508107473286631,,2.8838481342287112,-2.4317271235089795,-1.714851498630567,2.8838481342287112,1.1689966355981443,-1.714851498630567,0.37035814290114355
same_edge_ratio,ConditionalInteraction,31,6.508107473286628,-0.7028219610253772,2.9505544980159577,-1.6735777105854772,-1.9273467904081023,2.9505544980159577,1.0232077076078554,-1.9273467904081023,0.38852135892489215
edge_count,UnadjustedInteraction,31,6.508107473286621,,-1.9477651858255234,-9.061663604757378,0.10850328901027417,-1.9477651858255234,-1.8392618968152492,0.10850328901027417,0.22082005296652862
edge_count,ConditionalInteraction,31,6.508107473286612,-1.5592766265474327,-2.5813351669784415,-9.215516929852669,0.6567787169974009,-2.5813351669784415,-1.9245564499810406,0.6567787169974009,0.30014569846957107
same_cross_strength_ratio,UnadjustedInteraction,31,6.508107473286623,,-0.26197905560049956,3.023426653435285,-0.22719778471952568,-0.26197905560049956,-0.48917684032002523,-0.22719778471952568,0.08016695064309898
same_cross_strength_ratio,ConditionalInteraction,31,6.508107473286625,-0.7309715100426737,-0.37314522963571983,3.2589848575470954,-0.157036595258353,-0.37314522963571983,-0.5301818248940728,-0.157036595258353,0.10000461940223637
