regime,n_network_dates,n_scored_dates,mean_joint_max_abs_z,median_joint_max_abs_z,max_joint_max_abs_z,mean_joint_max_abs_robust_z,max_joint_max_abs_robust_z,n_dates_with_range_break,n_moderate_ood_dates,n_extreme_ood_dates,max_support_excursion_sd
2,5,4,1.6268284886350046,1.6446800319582344,2.122555548021713,2.390658288286456,3.3724537973829762,1,1,0,0.6060915267313265
3,10,10,1.4877093579918765,1.6231980988210843,2.2289479984590193,1.4314903332494597,2.141201574629352,6,6,0,0.5458648159491473
4,4,4,3.8705002384749028,3.6063543952516754,5.233638845891122,6.239039525158506,8.093889113719143,3,4,4,3.7141953099872462
5,5,5,2.0639676181855995,1.962701652792941,2.5662261617848072,3.733681070791552,4.384189936597869,1,2,0,0.5069757974373356
