network_date,actual,baseline_prediction,baseline_absolute_error,baseline_squared_error,baseline_train_size,same_ratio_prediction,same_ratio_absolute_error,same_ratio_squared_error,same_ratio_train_size,edge_count_prediction,edge_count_absolute_error,edge_count_squared_error,edge_count_train_size,regime,joint_max_abs_z,n_range_breaks,max_support_excursion_sd,same_edge_ratio_expanding_z,edge_count_expanding_z,same_cross_strength_ratio_expanding_z,same_ratio_abs_z,edge_count_abs_z,same_ratio_excess_absolute_error,same_ratio_excess_squared_error,same_ratio_network_win,same_ratio_error_ratio,edge_count_excess_absolute_error,edge_count_excess_squared_error,edge_count_network_win,ood_group,support_group
2025-04-17,0.0366550005157115,0.0714242848056686,0.0347692842899571,0.0012089031300358,15,0.045768760225338,0.0091137597096265,8.306061604481211e-05,15,0.0622197213079643,0.0255647207922528,0.0006535549491858,15,3,0.7645024879529008,0,0.0,-0.7645024879529008,0.1476714379375877,-0.1001964384864239,0.7645024879529008,0.1476714379375877,-0.025655524580330595,-0.0011258425139909877,1,0.2621210040839649,-0.009204563497704297,-0.0005553481808499999,1,Low OOD,Inside Historical Range
2025-05-20,0.0368420504009548,0.085208858985081,0.0483668085841262,0.0023393481726135,16,0.0476264094117467,0.0107843590107919,0.0001163023992736,16,0.074248369396073,0.0374063189951182,0.0013992327007645,16,3,1.703879855008969,1,0.2686755525315628,-1.023922758226086,0.6014254720455369,1.703879855008969,1.023922758226086,0.6014254720455369,-0.0375824495733343,-0.0022230457733399002,1,0.22297024191313536,-0.010960489589008006,-0.000940115471849,1,Low OOD,Range Break
2025-06-18,0.0326000005874204,0.0810516003757367,0.0484515997883163,0.0023475575220471,17,0.0180958427273476,0.0145041578600727,0.0002103705952299,17,0.0855475949168225,0.0529475943294021,0.0028034477452709,17,3,1.7541549931241165,1,0.2287026191507881,-1.7541549931241165,0.1101120185353774,1.4499156247231495,1.7541549931241165,0.1101120185353774,-0.0339474419282436,-0.0021371869268172,1,0.29935353885406496,0.004495994541085804,0.0004558902232237997,0,Low OOD,Range Break
2025-07-16,0.0173597402228559,0.0782137864181618,0.0608540461953059,0.0037032149383404,18,0.0963090456235857,0.0789493054007298,0.0062329928232577,18,0.0832610718259543,0.0659013316030984,0.0043429855070615,18,3,1.3266852748743838,0,0.0,0.4892719033904714,0.107156928041485,1.3266852748743838,0.4892719033904714,0.107156928041485,0.018095259205423896,0.0025297778849173004,0,1.297355070623428,0.0050472854077925,0.0006397705687211002,0,Low OOD,Inside Historical Range
2025-08-13,0.0612164176248017,0.076191147731504,0.0149747301067023,0.0002242425417685,19,0.0134270511449546,0.047789366479847,0.0022838235485451,19,0.0697983722896549,0.0085819546648532,7.364994586959577e-05,19,3,1.9001936418407896,1,0.268032553533775,-1.9001936418407896,0.6004542014276493,-0.4422936498605263,1.9001936418407896,0.6004542014276493,0.032814636373144704,0.0020595810067765997,0,3.1913340765498264,-0.0063927754418491006,-0.00015059259589890423,1,Low OOD,Range Break
2025-09-10,0.0456373036408741,0.0675843237778618,0.0219470201369877,0.0004816716928933,20,0.0228856027963355,0.0227517008445386,0.0005176398913193,20,0.0661848885607694,0.0205475849198953,0.0004222032460403,20,3,1.4473725919840252,0,0.0,-1.4473725919840252,0.0757258637364519,0.6767300484799709,1.4473725919840252,0.0757258637364519,0.0008046807075508984,3.5968198426000015e-05,0,1.0366646907640136,-0.0013994352170924006,-5.946844685299999e-05,1,Low OOD,Inside Historical Range
2025-10-16,0.0453304948408948,0.0690643429557807,0.0237338481148859,0.0005632955463404,21,0.0586584972799416,0.0133280024390468,0.0001776356490152,21,0.0712662023440402,0.0259357075031454,0.0006726609236887,21,3,0.377683608507163,0,0.0,-0.377683608507163,0.0739827936030808,0.1608345108680661,0.377683608507163,0.0739827936030808,-0.010405845675839102,-0.00038565989732520004,1,0.5615609560645118,0.002201859388259498,0.00010936537734830001,0,Low OOD,Inside Historical Range
2025-11-13,0.0467786745227221,0.0678798674946522,0.0211011929719301,0.0004452603448386,22,0.1945786030851821,0.14779992856246,0.0218448188830682,22,0.2131332529866786,0.1663545784639565,0.0276738457759206,22,4,5.233638845891122,3,3.7141953099872462,4.213677056635095,-5.233638845891122,5.02468012831237,4.213677056635095,5.233638845891122,0.12669873559052988,0.0213995585382296,0,7.004339932442056,0.14525338549202638,0.027228585431082,0,Extreme OOD,Range Break
2025-12-11,0.0422075936479499,0.0666224680486695,0.0244148744007196,0.0005960860920029,23,0.136574039207203,0.0943664455592531,0.0089050260474874,23,0.1165418029320975,0.0743342092841476,0.0055255746698994,23,4,4.142234278367914,2,0.7244972502088368,3.7706800394038287,-4.142234278367914,3.346284309649741,3.7706800394038287,4.142234278367914,0.0699515711585335,0.0083089399554845,0,3.865121073594654,0.04991933488342801,0.0049294885778965,0,Extreme OOD,Range Break
2026-01-12,0.1266959853706926,0.0661271664712638,0.0605688188994287,0.0036685818228718,24,0.0984185397044041,0.0282774456662884,0.0007996139334098,24,0.0821718042691656,0.0445241811015269,0.0019824027027615,24,4,3.070474512135437,0,0.0,2.903481337215026,-3.070474512135437,1.2292838289629258,2.903481337215026,3.070474512135437,-0.0322913732331403,-0.0028689678894619998,1,0.46686473633858916,-0.0160446377979018,-0.0016861791201103,1,Extreme OOD,Inside Historical Range
