network_date,regime,edge_count,same_edge_ratio,same_cross_strength_ratio,mean_abs_partial,edge_count_expanding_z,mean_abs_partial_expanding_z,same_cross_strength_ratio_expanding_z,same_edge_ratio_expanding_z,edge_count_robust_z,mean_abs_partial_robust_z,same_cross_strength_ratio_robust_z,same_edge_ratio_robust_z,edge_count_historical_percentile,mean_abs_partial_historical_percentile,same_cross_strength_ratio_historical_percentile,same_edge_ratio_historical_percentile,edge_count_range_break,mean_abs_partial_range_break,same_cross_strength_ratio_range_break,same_edge_ratio_range_break,edge_count_support_excursion_sd,mean_abs_partial_support_excursion_sd,same_cross_strength_ratio_support_excursion_sd,same_edge_ratio_support_excursion_sd,joint_max_abs_z,joint_max_abs_robust_z,n_range_breaks,max_support_excursion_sd,joint_moderate_ood,joint_extreme_ood,ood_severity_rank
2024-01-16,1,52,0.3269230769230769,3.3430232632534422,0.1040701904123137,,,,,,,,,,,,,False,False,False,False,,,,,,,0,,False,False,
2024-02-21,1,51,0.2941176470588235,3.356675513331226,0.1018070420933587,,,,,,,,,,,,,False,False,False,False,,,,,,,0,,False,False,
2024-03-20,1,52,0.2884615384615384,3.154396121369885,0.1054936487495565,,,,,,,,,,,,,False,False,False,False,,,,,,,0,,False,False,
2024-04-19,1,51,0.2745098039215686,3.225355711380732,0.1017793600889711,,,,,,,,,,,,,False,False,False,False,,,,,,,0,,False,False,
2024-05-22,1,55,0.3090909090909091,3.065107126981,0.1079670429455548,,,,,,,,,,,,,False,False,False,False,,,,,,,0,,False,False,
2024-06-20,1,51,0.3137254901960784,3.095223196082995,0.1050181813164133,,,,,,,,,,,,,False,False,False,False,,,,,,,0,,False,False,
2024-07-18,1,51,0.2941176470588235,2.9112525204615327,0.1066116257257964,,,,,,,,,,,,,False,False,False,False,,,,,,,0,,False,False,
2024-08-15,2,53,0.3018867924528302,3.0279769168292385,0.1063623164029246,,,,,,,,,,,,,False,False,False,False,,,,,,,0,,False,False,
2024-09-12,2,54,0.2962962962962963,3.3525355267269563,0.1004374208533249,1.414213562373095,-1.995413405843808,1.3254306436589312,-0.2495703862107224,3.3724537973829762,-2.5576333039291113,1.5563880001310186,-0.11155256556295827,0.875,0.0,0.875,0.5,False,True,False,False,0.0,0.6015659566429422,0.0,0.0,1.414213562373095,3.3724537973829762,0,0.0,False,False,19.0
2024-10-21,2,55,0.2909090909090909,3.3527237881364957,0.1052998305559866,1.875146501543374,0.35374721320925245,1.140042068395473,-0.5890418776623851,2.023472278429786,0.11921960275937585,1.0581476055690762,-0.4637820759376218,1.0,0.5555555555555556,0.8888888888888888,0.2222222222222222,False,False,False,False,0.0,0.0,0.0,0.0,1.875146501543374,2.023472278429786,0,0.0,False,False,12.0
2024-11-18,2,56,0.2678571428571428,3.198455445940806,0.1073376538674909,2.121320343559643,1.1736287459230736,0.062045787557060306,-2.122555548021713,2.697963037906381,1.1065636187631085,0.03673626739852667,-2.748135241925948,1.0,0.9,0.5,0.0,True,False,False,True,0.6060915267313265,0.0,0.0,0.4533593872310168,2.122555548021713,2.748135241925948,2,0.6060915267313265,True,False,8.0
2024-12-16,2,54,0.2777777777777778,3.27786075647752,0.1056058312163131,0.6260427294301524,0.3501309049098278,0.5771960745291452,-1.0953983426018363,1.3489815189531904,0.15733753449777424,0.37047075349114955,-1.4185718354071135,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.18181818181818182,False,False,False,False,0.0,0.0,0.0,0.0,1.0953983426018363,1.4185718354071135,0,0.0,False,False,21.0
2025-01-14,3,57,0.2807017543859649,3.252161437864791,0.1075000222699143,2.2289479984590193,1.1373743960351357,0.37351281319745316,-0.8262480702292601,2.0234722784297854,1.1164121961353208,0.1998339767102184,-0.7957728896889875,1.0,0.9166666666666666,0.5833333333333334,0.25,True,False,False,False,0.5458648159491473,0.0,0.0,0.0,2.2289479984590193,2.0234722784297854,1,0.5458648159491473,True,False,6.0
2025-02-19,3,57,0.2631578947368421,3.261339042806275,0.1070707805401622,1.805346509149848,0.8610638432150273,0.4222219707212341,-1.831156785534199,1.3489815189531904,0.747307308832659,0.19083550699960192,-1.556517137253683,1.0,0.7692307692307693,0.6153846153846154,0.0,False,False,False,True,0.0,0.0,0.0,0.2829735912636525,1.831156785534199,1.556517137253683,1,0.2829735912636525,True,False,13.0
2025-03-19,3,56,0.2857142857142857,3.4186067942766747,0.1032060900546195,1.1137585085049522,-0.835017140158348,1.5425163426331994,-0.31726594188828977,0.8431134493457441,-1.0536395527169873,1.1126861993520003,-0.3454916402226176,0.8571428571428571,0.21428571428571427,1.0,0.35714285714285715,False,False,True,False,0.0,0.0,0.44783560880638384,0.0,1.5425163426331994,1.1126861993520003,1,0.44783560880638384,True,False,17.0
2025-04-17,3,54,0.2777777777777778,3.2050652182465056,0.1048103026360118,0.14767143793758772,-0.09802602879545008,-0.10019643848642397,-0.7645024879529008,0.0,-0.2922461152933345,-0.3164757488601999,-0.8068127313878004,0.6,0.3333333333333333,0.4,0.26666666666666666,False,False,False,False,0.0,0.0,0.0,0.0,0.7645024879529008,0.8068127313878004,0,0.0,False,False,22.0
2025-05-20,3,55,0.2727272727272727,3.4560469526671445,0.1013574358275216,0.6014254720455369,-1.6346027718936078,1.7038798550089693,-1.023922758226086,0.3372453797382976,-1.8159581874003399,1.344321228171271,-0.9605716688793952,0.75,0.0625,1.0,0.125,False,False,True,False,0.0,0.0,0.26867555253156283,0.0,1.7038798550089693,1.344321228171271,1,0.26867555253156283,True,False,15.0
2025-06-18,3,54,0.2592592592592592,3.4452811426261483,0.1018050588425186,0.11011201853537747,-1.279665978528346,1.4499156247231497,-1.7541549931241163,0.0,-1.3310320722082174,1.2977199375951955,-1.8436080759027087,0.5882352941176471,0.17647058823529413,0.9411764705882353,0.0,False,False,False,True,0.0,0.0,0.0,0.2287026191507881,1.7541549931241163,1.8436080759027087,1,0.2287026191507881,True,False,14.0
