日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,002475,30.7,30.59,31.19,30.03,425836,1343981752.12,3.76,-0.75,-0.23,0.6
2023-01-04,002475,30.27,27.44,30.29,27.44,1820306,5267043589.41,9.32,-10.3,-3.15,2.56
2023-01-05,002475,28.13,28.47,28.49,27.44,1475814,4280210207.26,3.83,3.75,1.03,2.08
2023-01-06,002475,27.82,27.92,28.26,27.44,911004,2621224435.66,2.88,-1.93,-0.55,1.28
2023-01-09,002475,27.9,28.16,28.35,27.9,574215,1669552658.05,1.61,0.86,0.24,0.81
2023-01-10,002475,28.22,28.72,28.98,27.78,611756,1797812205.79,4.26,1.99,0.56,0.86
2023-01-11,002475,28.73,28.43,29.17,28.43,397905,1177362625.45,2.58,-1.01,-0.29,0.56
2023-01-12,002475,28.56,28.53,28.78,28.2,293879,863995293.72,2.04,0.35,0.1,0.41
2023-01-13,002475,28.5,28.31,28.65,28.01,361666,1055345418.38,2.24,-0.77,-0.22,0.51
2023-01-16,002475,28.13,28.85,29.25,28.1,705386,2097452009.61,4.06,1.91,0.54,0.99
2023-01-17,002475,28.86,30.11,30.37,28.74,750353,2320152767.99,5.65,4.37,1.26,1.06
2023-01-18,002475,30.06,29.87,30.23,29.79,337018,1041884365.95,1.46,-0.8,-0.24,0.47
2023-01-19,002475,29.87,30.07,30.16,29.59,280394,865731785.15,1.91,0.67,0.2,0.39
2023-01-20,002475,30.14,30.16,30.5,29.97,305868,951760938.88,1.76,0.3,0.09,0.43
2023-01-30,002475,31.1,31.71,32.36,30.97,966296,3156136459.82,4.61,5.14,1.55,1.36
2023-01-31,002475,31.73,31.55,32.05,31.28,357127,1162534725.25,2.43,-0.5,-0.16,0.5
2023-02-01,002475,31.56,32.18,32.28,31.33,489896,1605961375.34,3.01,2.0,0.63,0.69
2023-02-02,002475,32.2,31.7,32.55,31.68,395146,1298848209.99,2.7,-1.49,-0.48,0.56
2023-02-03,002475,31.58,31.85,32.14,30.96,483323,1568488778.76,3.72,0.47,0.15,0.68
2023-02-06,002475,31.35,30.99,31.63,30.72,569379,1820977251.46,2.86,-2.7,-0.86,0.8
2023-02-07,002475,31.16,30.81,31.3,30.67,352354,1120617697.82,2.03,-0.58,-0.18,0.5
2023-02-08,002475,30.88,30.68,31.22,30.52,336209,1064595804.87,2.27,-0.42,-0.13,0.47
2023-02-09,002475,30.55,31.51,31.55,30.5,443298,1427874206.55,3.42,2.71,0.83,0.62
2023-02-10,002475,31.37,31.2,31.62,31.05,300568,967718329.63,1.81,-0.98,-0.31,0.42
2023-02-13,002475,30.84,32.03,32.09,30.8,550977,1799988142.15,4.13,2.66,0.83,0.78
2023-02-14,002475,32.03,32.05,32.17,31.76,326355,1073433695.95,1.28,0.06,0.02,0.46
2023-02-15,002475,32.1,32.3,32.67,31.95,352092,1169086275.32,2.25,0.78,0.25,0.5
2023-02-16,002475,32.28,32.1,33.07,31.84,568233,1902036708.1,3.81,-0.62,-0.2,0.8
2023-02-17,002475,32.1,30.82,32.45,30.75,462611,1496019421.36,5.3,-3.99,-1.28,0.65
2023-02-20,002475,30.67,30.37,30.82,29.4,722956,2243960416.89,4.61,-1.46,-0.45,1.02
2023-02-21,002475,30.34,30.53,30.87,30.21,345133,1083399604.46,2.17,0.53,0.16,0.49
2023-02-22,002475,30.18,29.83,30.27,29.43,502283,1541871538.73,2.75,-2.29,-0.7,0.71
2023-02-23,002475,29.85,30.78,31.37,29.75,724184,2291784242.9,5.43,3.18,0.95,1.02
2023-02-24,002475,30.85,30.07,30.85,29.92,436739,1359347215.65,3.02,-2.31,-0.71,0.61
2023-02-27,002475,30.06,29.07,30.23,28.87,786452,2371225006.29,4.52,-3.33,-1.0,1.11
2023-02-28,002475,29.05,29.01,29.57,28.82,459716,1380752212.83,2.58,-0.21,-0.06,0.65
2023-03-01,002475,29.09,29.97,30.0,29.02,610366,1868432208.41,3.38,3.31,0.96,0.86
2023-03-02,002475,29.87,29.58,30.02,29.53,318177,974643529.02,1.63,-1.3,-0.39,0.45
2023-03-03,002475,29.72,29.32,29.85,29.07,386984,1169336592.2,2.64,-0.88,-0.26,0.54
2023-03-06,002475,29.32,29.08,29.39,28.87,350003,1049562871.45,1.77,-0.82,-0.24,0.49
2023-03-07,002475,28.99,28.4,29.04,28.27,408459,1207538295.14,2.65,-2.34,-0.68,0.57
2023-03-08,002475,28.18,28.2,28.32,28.02,347282,1010086199.86,1.06,-0.7,-0.2,0.49
2023-03-09,002475,28.27,28.35,28.49,28.0,303626,887301114.47,1.74,0.53,0.15,0.43
2023-03-10,002475,28.07,27.87,28.27,27.82,346353,1000956367.85,1.59,-1.69,-0.48,0.49
2023-03-13,002475,27.75,27.87,28.0,27.5,341557,979840338.28,1.79,0.0,0.0,0.48
2023-03-14,002475,27.87,27.4,27.91,26.87,564230,1591612181.62,3.73,-1.69,-0.47,0.79
2023-03-15,002475,27.57,27.81,28.35,27.5,460083,1328237466.49,3.1,1.5,0.41,0.65
2023-03-16,002475,27.52,26.79,27.72,26.75,529271,1482057452.14,3.49,-3.67,-1.02,0.74
2023-03-17,002475,27.08,26.66,27.39,26.57,447194,1246831834.72,3.06,-0.49,-0.13,0.63
2023-03-20,002475,26.67,26.97,27.36,26.27,659259,1837050925.45,4.09,1.16,0.31,0.93
2023-03-21,002475,27.07,27.31,27.31,26.78,364743,1023531145.67,1.97,1.26,0.34,0.51
2023-03-22,002475,27.32,27.93,28.03,27.18,497796,1429756583.74,3.11,2.27,0.62,0.7
2023-03-23,002475,27.87,28.4,28.92,27.72,770091,2264227048.93,4.3,1.68,0.47,1.08
2023-03-24,002475,28.95,30.37,30.58,28.9,1789399,5549377089.12,5.92,6.94,1.97,2.52
2023-03-27,002475,30.37,30.07,30.97,29.57,1025544,3196310534.19,4.61,-0.99,-0.3,1.44
2023-03-28,002475,29.96,28.84,30.05,28.7,818462,2467551589.88,4.49,-4.09,-1.23,1.15
2023-03-29,002475,29.23,29.27,29.72,29.07,521265,1579515101.97,2.25,1.49,0.43,0.73
2023-03-30,002475,29.81,29.52,30.06,28.92,482366,1463980198.99,3.89,0.85,0.25,0.68
2023-03-31,002475,29.07,29.38,29.61,28.87,414670,1255259237.58,2.51,-0.47,-0.14,0.58
2023-04-03,002475,29.38,29.65,29.79,29.26,516530,1573829487.9,1.8,0.92,0.27,0.73
2023-04-04,002475,29.67,29.84,30.14,29.52,669319,2057747172.31,2.09,0.64,0.19,0.94
2023-04-06,002475,29.47,30.37,31.02,29.34,836330,2603834023.23,5.63,1.78,0.53,1.17
2023-04-07,002475,30.2,30.17,30.72,29.97,468841,1461850645.35,2.47,-0.66,-0.2,0.66
2023-04-10,002475,30.17,29.8,31.03,29.58,620843,1939299568.19,4.81,-1.23,-0.37,0.87
2023-04-11,002475,29.28,29.53,29.92,29.15,438224,1334579505.0,2.58,-0.91,-0.27,0.62
2023-04-12,002475,30.13,31.09,31.17,30.13,1206194,3838895426.35,3.52,5.28,1.56,1.69
2023-04-13,002475,30.83,29.6,31.04,29.5,754106,2338427016.19,4.95,-4.79,-1.49,1.06
2023-04-14,002475,29.68,29.64,29.82,29.24,417883,1271956855.93,1.96,0.14,0.04,0.59
2023-04-17,002475,29.47,28.76,29.47,28.55,728515,2165731387.01,3.1,-2.97,-0.88,1.02
2023-04-18,002475,28.37,28.6,28.82,28.16,412440,1213885093.92,2.29,-0.56,-0.16,0.58
2023-04-19,002475,28.57,27.94,28.64,27.79,550958,1598894250.24,2.97,-2.31,-0.66,0.77
2023-04-20,002475,27.99,27.69,28.26,27.46,505491,1449773835.05,2.86,-0.89,-0.25,0.71
2023-04-21,002475,27.96,26.79,28.32,26.69,757593,2130821182.61,5.89,-3.25,-0.9,1.06
2023-04-24,002475,26.79,26.07,26.91,25.9,822201,2243541318.32,3.77,-2.69,-0.72,1.16
2023-04-25,002475,25.97,25.09,26.12,24.83,820436,2143373764.4,4.95,-3.76,-0.98,1.15
2023-04-26,002475,25.12,25.71,26.35,25.1,726717,1928541083.84,4.98,2.47,0.62,1.02
2023-04-27,002475,25.44,24.22,25.45,24.07,1401279,3557987821.46,5.37,-5.8,-1.49,1.97
2023-04-28,002475,25.27,25.17,25.81,24.85,1072721,2807247070.89,3.96,3.92,0.95,1.51
2023-05-04,002475,25.12,24.69,25.14,24.56,589504,1511944170.03,2.3,-1.91,-0.48,0.83
2023-05-05,002475,24.69,24.91,24.98,24.45,534810,1372848061.57,2.15,0.89,0.22,0.75
2023-05-08,002475,25.07,24.67,25.11,24.53,506523,1299730136.73,2.33,-0.96,-0.24,0.71
2023-05-09,002475,24.68,25.46,25.95,24.34,970378,2553638576.38,6.53,3.2,0.79,1.36
2023-05-10,002475,25.22,25.67,25.72,24.97,652148,1714785501.05,2.95,0.82,0.21,0.92
