日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,603501,75.86,76.35,76.37,74.14,86370,662547175.0,2.94,0.53,0.4,0.73
2023-01-04,603501,75.86,76.75,77.36,75.86,97391,757396540.0,1.96,0.52,0.4,0.83
2023-01-05,603501,77.09,78.36,79.16,76.66,102599,814306009.0,3.26,2.1,1.61,0.87
2023-01-06,603501,78.66,80.43,82.25,77.99,137589,1121836924.0,5.44,2.64,2.07,1.17
2023-01-09,603501,80.74,81.88,83.26,80.67,118637,988836352.0,3.22,1.8,1.45,1.01
2023-01-10,603501,82.2,84.35,86.44,81.9,164567,1408525831.0,5.54,3.02,2.47,1.39
2023-01-11,603501,84.35,82.36,85.86,82.36,112286,952647661.0,4.15,-2.36,-1.99,0.95
2023-01-12,603501,82.83,82.61,83.45,81.86,62240,520889966.0,1.93,0.3,0.25,0.53
2023-01-13,603501,82.18,83.23,83.36,81.96,59345,497417398.0,1.69,0.75,0.62,0.5
2023-01-16,603501,80.19,90.11,91.67,79.87,480754,4269724613.0,14.18,8.27,6.88,4.08
2023-01-17,603501,89.85,91.86,94.03,89.63,258463,2418863174.0,4.88,1.94,1.75,2.19
2023-01-18,603501,91.86,92.04,93.36,90.62,141831,1320340199.0,2.98,0.2,0.18,1.2
2023-01-19,603501,92.04,96.31,96.95,91.58,229012,2199542493.0,5.83,4.64,4.27,1.94
2023-01-20,603501,96.39,95.44,96.84,94.88,139096,1344006608.0,2.04,-0.9,-0.87,1.18
2023-01-30,603501,99.74,95.16,99.74,94.21,180227,1750413103.0,5.79,-0.29,-0.28,1.53
2023-01-31,603501,95.16,93.02,96.36,92.89,146301,1389282772.0,3.65,-2.25,-2.14,1.24
2023-02-01,603501,92.17,93.68,94.74,92.17,102801,971083330.0,2.76,0.71,0.66,0.87
2023-02-02,603501,93.86,93.96,95.81,93.54,118062,1129521249.0,2.42,0.3,0.28,1.0
2023-02-03,603501,93.25,92.93,94.78,91.56,113577,1066115089.0,3.43,-1.1,-1.03,0.96
2023-02-06,603501,92.93,91.23,93.34,90.68,97045,899398300.0,2.86,-1.83,-1.7,0.82
2023-02-07,603501,92.44,91.5,92.56,90.56,78222,724725569.0,2.19,0.3,0.27,0.66
2023-02-08,603501,91.76,90.56,92.86,90.45,75699,699034730.0,2.63,-1.03,-0.94,0.64
2023-02-09,603501,89.89,93.86,93.86,89.27,151349,1414364984.0,5.07,3.64,3.3,1.28
2023-02-10,603501,93.76,92.86,94.36,92.28,105353,994188090.0,2.22,-1.07,-1.0,0.89
2023-02-13,603501,92.39,93.26,94.33,91.91,92494,872497068.0,2.61,0.43,0.4,0.78
2023-02-14,603501,93.26,92.73,94.7,92.0,86659,815500566.0,2.9,-0.57,-0.53,0.73
2023-02-15,603501,92.79,93.33,93.86,91.98,75785,713673971.0,2.03,0.65,0.6,0.64
2023-02-16,603501,93.31,90.45,94.77,89.31,147143,1378477786.0,5.85,-3.09,-2.88,1.25
2023-02-17,603501,90.24,86.74,90.85,86.65,146494,1310605693.0,4.64,-4.1,-3.71,1.24
2023-02-20,603501,86.65,88.45,88.84,85.94,83552,741432106.0,3.34,1.97,1.71,0.71
2023-02-21,603501,88.45,88.09,89.31,87.36,71083,636096445.0,2.2,-0.41,-0.36,0.6
2023-02-22,603501,87.72,87.27,88.28,86.97,51310,454733223.0,1.49,-0.93,-0.82,0.43
2023-02-23,603501,87.06,86.9,88.15,86.66,67193,593604890.0,1.71,-0.42,-0.37,0.57
2023-02-24,603501,87.76,85.92,88.21,85.87,61180,536806532.0,2.69,-1.13,-0.98,0.52
2023-02-27,603501,85.36,84.31,85.92,83.56,93728,802106734.0,2.75,-1.87,-1.61,0.79
2023-02-28,603501,84.67,84.81,85.13,83.09,75410,643389347.0,2.42,0.59,0.5,0.64
2023-03-01,603501,84.82,85.4,85.83,84.41,104704,902423110.0,1.67,0.7,0.59,0.89
2023-03-02,603501,86.06,84.97,87.18,84.88,101522,885073606.0,2.69,-0.5,-0.43,0.86
2023-03-03,603501,86.0,85.46,87.58,84.36,125595,1093039198.0,3.79,0.58,0.49,1.06
2023-03-06,603501,85.47,84.86,85.85,83.7,86151,739337998.0,2.52,-0.7,-0.6,0.73
2023-03-07,603501,84.66,82.32,85.16,82.32,93443,790755632.0,3.35,-2.99,-2.54,0.79
2023-03-08,603501,82.06,83.0,83.53,81.86,58447,490373484.0,2.03,0.83,0.68,0.5
2023-03-09,603501,83.12,82.22,84.28,82.14,86132,725069874.0,2.58,-0.94,-0.78,0.73
2023-03-10,603501,81.85,80.71,82.7,80.69,89617,741484284.0,2.44,-1.84,-1.51,0.76
2023-03-13,603501,80.42,81.64,81.74,79.85,67053,549989719.0,2.34,1.15,0.93,0.57
2023-03-14,603501,81.64,83.04,83.62,80.27,124044,1032737893.0,4.1,1.71,1.4,1.05
2023-03-15,603501,83.07,83.06,84.3,82.47,87906,742504920.0,2.2,0.02,0.02,0.75
2023-03-16,603501,82.56,82.88,84.7,82.46,137997,1169979315.0,2.7,-0.22,-0.18,1.17
2023-03-17,603501,83.71,82.37,83.96,81.58,132500,1110931097.0,2.87,-0.62,-0.51,1.12
2023-03-20,603501,82.32,85.84,86.36,80.86,187554,1608243872.0,6.68,4.21,3.47,1.59
2023-03-21,603501,85.84,85.71,86.11,84.88,86612,750512378.0,1.43,-0.15,-0.13,0.73
2023-03-22,603501,85.97,86.17,86.53,85.27,84508,735407442.0,1.47,0.54,0.46,0.72
2023-03-23,603501,85.73,90.86,90.92,85.66,240405,2158094398.0,6.1,5.44,4.69,2.04
2023-03-24,603501,90.16,92.71,93.34,89.35,202796,1871191454.0,4.39,2.04,1.85,1.72
2023-03-27,603501,92.56,88.37,92.86,88.36,173181,1578391724.0,4.85,-4.68,-4.34,1.47
2023-03-28,603501,88.12,86.61,88.44,86.48,96815,854357930.0,2.22,-1.99,-1.76,0.82
2023-03-29,603501,86.61,88.82,90.78,86.44,155138,1398839834.0,5.01,2.55,2.21,1.32
2023-03-30,603501,89.19,89.22,91.41,88.8,135365,1234383155.0,2.94,0.45,0.4,1.15
2023-03-31,603501,89.22,89.96,90.82,88.46,95477,867534289.0,2.65,0.83,0.74,0.81
2023-04-03,603501,90.86,92.76,92.87,90.67,187524,1748149604.0,2.45,3.11,2.8,1.59
2023-04-04,603501,92.86,94.44,96.73,92.17,226920,2178888014.0,4.92,1.81,1.68,1.92
2023-04-06,603501,93.86,99.96,104.0,93.0,375216,3771754181.0,11.65,5.84,5.52,3.18
2023-04-07,603501,100.96,102.38,103.3,97.86,275569,2801071960.0,5.44,2.42,2.42,2.33
2023-04-10,603501,111.36,106.35,112.73,104.75,573570,6342795204.0,7.79,3.88,3.97,4.86
2023-04-11,603501,104.75,106.85,109.01,102.93,274284,2934638272.0,5.72,0.47,0.5,2.32
2023-04-12,603501,106.66,107.86,109.47,104.37,230480,2499041841.0,4.77,0.95,1.01,1.95
2023-04-13,603501,108.86,101.96,110.46,100.16,284834,2989094708.0,9.55,-5.47,-5.9,2.41
2023-04-14,603501,102.86,105.08,105.25,98.28,279772,2887963351.0,6.84,3.06,3.12,2.37
2023-04-17,603501,104.03,102.45,105.2,101.89,207287,2159514422.0,3.15,-2.5,-2.63,1.76
2023-04-18,603501,100.89,103.06,103.56,99.86,175482,1801172112.0,3.61,0.6,0.61,1.49
