日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,002460,67.2,68.81,69.04,66.46,209710,1466906847.38,3.83,2.08,1.4,1.74
2023-01-04,002460,68.2,66.31,68.41,65.9,253056,1747711603.37,3.65,-3.63,-2.5,2.1
2023-01-05,002460,66.89,67.93,69.15,66.46,304436,2132396509.06,4.06,2.44,1.62,2.52
2023-01-06,002460,67.82,69.46,70.57,67.47,303642,2170777323.97,4.56,2.25,1.53,2.52
2023-01-09,002460,69.75,70.18,70.48,69.49,228141,1646769969.68,1.43,1.04,0.72,1.89
2023-01-10,002460,69.8,71.28,71.7,68.85,304001,2205569358.65,4.06,1.57,1.1,2.52
2023-01-11,002460,70.86,69.96,71.38,69.96,159837,1160967652.44,1.99,-1.85,-1.32,1.32
2023-01-12,002460,70.7,71.03,72.48,70.7,224533,1653217060.09,2.54,1.53,1.07,1.86
2023-01-13,002460,71.29,71.44,72.3,70.52,176982,1298730758.53,2.51,0.58,0.41,1.47
2023-01-16,002460,71.38,72.23,72.9,70.65,209656,1554917237.95,3.15,1.11,0.79,1.74
2023-01-17,002460,72.4,72.68,73.08,72.0,171841,1281993259.94,1.5,0.62,0.45,1.42
2023-01-18,002460,72.9,73.78,76.0,72.57,262624,2002507548.94,4.72,1.51,1.1,2.18
2023-01-19,002460,74.28,73.68,75.39,72.98,214090,1620004923.46,3.27,-0.14,-0.1,1.77
2023-01-20,002460,73.72,76.1,76.9,73.3,370413,2875010984.23,4.89,3.28,2.42,3.07
2023-01-30,002460,79.99,77.15,80.78,76.9,451901,3647390940.55,5.1,1.38,1.05,3.74
2023-01-31,002460,77.65,76.73,77.77,76.72,200584,1589787320.02,1.36,-0.54,-0.42,1.66
2023-02-01,002460,77.41,78.38,78.87,77.11,265526,2126965124.9,2.29,2.15,1.65,2.2
2023-02-02,002460,78.11,77.46,78.26,77.26,196114,1564219718.17,1.28,-1.17,-0.92,1.62
2023-02-03,002460,77.61,76.4,77.88,75.4,217909,1708618736.04,3.2,-1.37,-1.06,1.8
2023-02-06,002460,75.6,75.08,75.67,74.41,195088,1503822740.23,1.65,-1.73,-1.32,1.62
2023-02-07,002460,75.12,75.11,75.68,74.71,122898,950019660.97,1.29,0.04,0.03,1.02
2023-02-08,002460,76.08,79.75,81.35,75.91,711845,5770899181.36,7.24,6.18,4.64,5.9
2023-02-09,002460,79.45,79.52,79.69,78.25,311040,2521517297.87,1.81,-0.29,-0.23,2.58
