,新能源,电子,银行,非银金融,食品饮料
新能源,0.0,0.006056806073063723,0.0,0.01523023876654212,0.000616219144245674
电子,0.006056806073063723,0.021081414529066114,0.0018701194389619817,0.0067587569920131724,0.0
银行,0.0,0.0018701194389619817,0.004842515020370495,0.0019814275196667593,0.0007111994477620508
非银金融,0.01523023876654212,0.0067587569920131724,0.0019814275196667593,0.0012418486475042146,0.0056518675474913375
食品饮料,0.000616219144245674,0.0,0.0007111994477620508,0.0056518675474913375,0.004281690227413017
