,新能源,电子,银行,非银金融,食品饮料
新能源,0.0,0.024227224292254892,0.0,0.03046047753308424,0.002464876576982696
电子,0.024227224292254892,0.12648848717439667,0.029921911023391708,0.05407005593610538,0.0
银行,0.0,0.029921911023391708,0.02905509012222297,0.015851420157334074,0.011379191164192812
非银金融,0.03046047753308424,0.05407005593610538,0.015851420157334074,0.0012418486475042146,0.0452149403799307
食品饮料,0.002464876576982696,0.0,0.011379191164192812,0.0452149403799307,0.0256901413644781
