,新能源,电子,银行,非银金融,食品饮料
新能源,0.0,0.5,0.0,0.0,0.5
电子,0.5,0.3333333333333333,0.1875,0.5,0.0
银行,0.0,0.1875,0.16666666666666666,0.125,0.3125
非银金融,0.0,0.5,0.125,0.0,0.625
食品饮料,0.5,0.0,0.3125,0.625,0.0
