analysis_date,window,mean_corr_legacy,mean_corr_uniform,same_cross_gap_legacy,same_cross_gap_uniform,top1_same_enrichment_legacy,top1_same_enrichment_uniform,mean_first_index_ratio_legacy,mean_first_index_ratio_uniform,mean_second_index_ratio_legacy,mean_second_index_ratio_uniform,mean_corr_uniform_minus_legacy,mean_corr_abs_difference,same_cross_gap_uniform_minus_legacy,same_cross_gap_abs_difference,top1_same_enrichment_uniform_minus_legacy,top1_same_enrichment_abs_difference
2015-04-30,60,0.2748075923817783,0.27028902767634283,0.04699508785803469,0.05132497536467495,3.017560681652441,3.2256683148698513,0.23349829317269077,0.3321894076305221,0.6186762550200803,0.6664863202811245,-0.0045185647054354905,0.0045185647054354905,0.004329887506640262,0.004329887506640262,0.2081076332174101,0.2081076332174101
2015-05-29,60,0.34386344446070555,0.34048249080846515,0.049281396802785205,0.038297502320797316,3.6934014304192346,2.3215666134063757,0.2319535546262415,0.3322483795086252,0.61521529012023,0.6663020386826973,-0.0033809536522403927,0.0033809536522403927,-0.010983894481987888,0.010983894481987888,-1.371834817012859,1.371834817012859
2015-06-30,60,0.49954022475416,0.49846045528739186,0.029884318814623945,0.029704134371796365,2.7588800772456126,3.18332316605263,0.23184225430316494,0.3323316768461966,0.6150521377012771,0.6693478622987229,-0.0010797694667681323,0.0010797694667681323,-0.00018018444282758006,0.00018018444282758006,0.4244430888070174,0.4244430888070174
2015-07-31,60,0.6368690495795406,0.6402532503919353,0.028988265570911165,0.025042011993927193,1.8996884727308665,1.9902618550220594,0.2318147040101846,0.33286734563972,0.6168686823679185,0.6661639083386378,0.0033842008123946554,0.0033842008123946554,-0.003946253576983971,0.003946253576983971,0.09057338229119294,0.09057338229119294
2015-07-31,120,0.558417900819613,0.5622816450457018,0.04204701747782069,0.04226692758969375,2.269419101312267,2.708661508017867,0.23703222439660798,0.3360445531637312,0.6203175799086759,0.6659920417482061,0.0038637442260888166,0.0038637442260888166,0.0002199101118730562,0.0002199101118730562,0.4392424067056,0.4392424067056
2015-08-31,60,0.686634598869869,0.6833602716757393,0.030327941799126346,0.030448078671683865,1.7293014745994577,1.7201998878910396,0.2314896593673966,0.33200845498783454,0.6148666666666667,0.6659808698296837,-0.003274327194129678,0.003274327194129678,0.00012013687255751915,0.00012013687255751915,-0.009101586708418097,0.009101586708418097
2015-08-31,120,0.6164001625877717,0.6150342535757655,0.03247001259076221,0.03972492559704344,3.1810921855902277,2.2599264947822464,0.23004803986710964,0.3316795016611296,0.6130635215946845,0.6643240531561462,-0.0013659090120062833,0.0013659090120062833,0.007254913006281227,0.007254913006281227,-0.9211656908079813,0.9211656908079813
2015-09-30,60,0.7035710895977383,0.6962293663284459,0.030996657116628135,0.03233835186772094,2.3874440647760657,1.3494249061777766,0.23073679298642535,0.33295319570135745,0.6117511595022623,0.6684771776018099,-0.007341723269292388,0.007341723269292388,0.0013416947510928035,0.0013416947510928035,-1.0380191585982892,1.0380191585982892
2015-09-30,120,0.6426911821952602,0.6403870106908579,0.03547856092253843,0.035443895354666966,2.7811776156197325,2.6554984541787547,0.23307485586162718,0.3333822869955157,0.6173330877642537,0.667578603459321,-0.002304171504402319,0.002304171504402319,-3.4665567871461356e-05,3.4665567871461356e-05,-0.1256791614409778,0.1256791614409778
2015-10-30,60,0.685057409439181,0.681399027897547,0.025863596879667994,0.035285592310202785,2.4991314219176624,1.9993051375341302,0.23355015298317186,0.3322960224375319,0.6155573686894441,0.6682840897501275,-0.0036583815416340038,0.0036583815416340038,0.00942199543053479,0.00942199543053479,-0.49982628438353216,0.49982628438353216
2015-10-30,120,0.653981844455587,0.6520433442503571,0.027227680020673772,0.027505900824333795,2.07157232052307,3.6869861841229947,0.23346239950525663,0.33362356215213357,0.6156484539270254,0.6666686147186147,-0.0019385002052298983,0.0019385002052298983,0.0002782208036600231,0.0002782208036600231,1.6154138635999247,1.6154138635999247
2015-11-30,60,0.6240398608472493,0.6192271265562017,0.03649707060756535,0.03794129858873718,2.908018251713546,2.005529828767963,0.23188447937131632,0.33408651768172887,0.6166621561886051,0.664904543222004,-0.00481273429104756,0.00481273429104756,0.0014442279811718306,0.0014442279811718306,-0.9024884229455834,0.9024884229455834
2015-11-30,120,0.6558988566389258,0.6519956460858407,0.02869532180690848,0.032149768839048964,1.4075525472814232,3.230734754926343,0.2322581881533101,0.3352248838559814,0.6183500000000001,0.6702269744483159,-0.003903210553085068,0.003903210553085068,0.003454447032140484,0.003454447032140484,1.82318220764492,1.82318220764492
2015-12-31,60,0.44982887103740077,0.44790590166923894,0.04173907219750528,0.04214561582828308,2.6798208038095668,3.7715996498060567,0.23004190273843247,0.3301864966949953,0.6142885505193578,0.6658726628895184,-0.001922969368161831,0.001922969368161831,0.0004065436307778003,0.0004065436307778003,1.0917788459964899,1.0917788459964899
2015-12-31,120,0.6275910555480634,0.6270202583874264,0.026692162079989812,0.03604583669577621,1.5782417322967435,2.290516273259986,0.23062850136239782,0.3311604632152588,0.6163908174386922,0.6637270027247956,-0.0005707971606370155,0.0005707971606370155,0.0093536746157864,0.0093536746157864,0.7122745409632425,0.7122745409632425
2016-01-29,60,0.6096573783133915,0.6105924102001996,0.028741279133443043,0.022649179715635515,3.4752541929150773,2.085152515749046,0.23050293448589626,0.33415978161965426,0.6163645814376706,0.6684840309372156,0.000935031886808102,0.000935031886808102,-0.006092099417807528,0.006092099417807528,-1.3901016771660313,1.3901016771660313
2016-01-29,120,0.6544796010441394,0.6514932801567445,0.028617562584866585,0.03321902972287438,2.044293950764162,2.14650864830237,0.23205459157787925,0.3344159309994926,0.6194807204464738,0.6679654997463217,-0.002986320887394922,0.002986320887394922,0.004601467138007798,0.004601467138007798,0.10221469753820767,0.10221469753820767
2016-01-29,252,0.6053691025636758,0.6039212173791945,0.03664673796232154,0.03310979472726894,2.5963819322211545,3.3679775183853002,0.2316342530282638,0.3323205921938089,0.6135319313593539,0.6682050471063258,-0.0014478851844813567,0.0014478851844813567,-0.003536943235052603,0.003536943235052603,0.7715955861641457,0.7715955861641457
2016-02-29,60,0.6525695974901179,0.6532829867463446,0.025269989227525547,0.030063870413509997,1.7929722534057737,2.291020101574044,0.2304363392857143,0.33368624999999996,0.6137346205357144,0.6677143080357143,0.0007133892562266597,0.0007133892562266597,0.00479388118598445,0.00479388118598445,0.4980478481682702,0.4980478481682702
2016-02-29,120,0.637070265369001,0.6360910664520719,0.03324247614407139,0.0366438284101861,2.224965235945104,3.135178287013556,0.23309008449304175,0.3335524850894632,0.6141573807157057,0.665592768389662,-0.0009791989169291027,0.0009791989169291027,0.00340135226611471,0.00340135226611471,0.9102130510684519,0.9102130510684519
2016-02-29,252,0.6140873950199152,0.6129216122421404,0.037207236861689585,0.03503989838057575,3.1605541118805722,2.9027259271096746,0.22996429521276598,0.3328447140957447,0.6163385970744681,0.6667113364361702,-0.0011657827777747931,0.0011657827777747931,-0.002167338481113834,0.002167338481113834,-0.25782818477089764,0.25782818477089764
2016-03-31,60,0.7000180750906572,0.6988279067850629,0.02919046033463002,0.02373346560868206,2.400852557981198,2.3008170347319816,0.22953997378768023,0.3336809523809524,0.6126207295762341,0.6655330493665357,-0.0011901683055942636,0.0011901683055942636,-0.005456994725947961,0.005456994725947961,-0.1000355232492165,0.1000355232492165
2016-03-31,120,0.6131379005268338,0.6114637421291562,0.024082195028101827,0.03191536542586759,2.633359383722228,2.4307932772820573,0.22926291262135923,0.3309969174757282,0.6148941990291261,0.6680723300970874,-0.0016741583976775942,0.0016741583976775942,0.007833170397765765,0.007833170397765765,-0.20256610644017092,0.20256610644017092
