analysis_date,window,sampler,eligible_stock_count,sampled_pair_count,mean_first_index_ratio,mean_second_index_ratio,valid_pair_count,mean_corr,same_mean_corr,cross_mean_corr,same_cross_gap,top1_threshold,top1_same_share,top1_same_enrichment
2015-04-30,60,legacy,1993,20000,0.23349829317269077,0.6186762550200803,19804,0.2748075923817783,0.3195150987060246,0.27252001084798994,0.04699508785803469,0.6267515572542947,0.1457286432160804,3.017560681652441
2015-04-30,60,uniform,1993,20000,0.3321894076305221,0.6664863202811245,19841,0.27028902767634283,0.31912548803165247,0.2678005126669775,0.05132497536467495,0.6219911406721857,0.15577889447236182,3.2256683148698513
2015-05-29,60,legacy,1914,20000,0.2319535546262415,0.61521529012023,19730,0.34386344446070555,0.3907144915884218,0.3414330947856366,0.049281396802785205,0.6579641892630286,0.17676767676767677,3.6934014304192346
2015-05-29,60,uniform,1914,20000,0.3322483795086252,0.6663020386826973,19723,0.34048249080846515,0.3770770620571467,0.3387795597363494,0.038297502320797316,0.6597119028985412,0.1111111111111111,2.3215666134063757
2015-06-30,60,legacy,1802,20000,0.23184225430316494,0.6150521377012771,19644,0.49954022475416,0.527996047571689,0.4981117287570651,0.029884318814623945,0.7609086371487762,0.1319796954314721,2.7588800772456126
2015-06-30,60,uniform,1802,20000,0.3323316768461966,0.6693478622987229,19684,0.49846045528739186,0.5268713340629361,0.4971671996911397,0.029704134371796365,0.7656765694055785,0.15228426395939088,3.18332316605263
2015-07-31,60,legacy,1572,20000,0.2318147040101846,0.6168686823679185,18786,0.6368690495795406,0.664437683279631,0.6354494177087199,0.028988265570911165,0.8619534339877516,0.09042553191489362,1.8996884727308665
2015-07-31,60,uniform,1572,20000,0.33286734563972,0.6661639083386378,18921,0.6402532503919353,0.6641292556966467,0.6390872437027195,0.025042011993927193,0.8690767878667841,0.09473684210526316,1.9902618550220594
2015-08-31,60,legacy,1645,20000,0.2314896593673966,0.6148666666666667,18832,0.686634598869869,0.7154358367169154,0.685107894917789,0.030327941799126346,0.896531513333514,0.08465608465608465,1.7293014745994577
2015-08-31,60,uniform,1645,20000,0.33200845498783454,0.6659808698296837,18903,0.6833602716757393,0.7123328998864773,0.6818848212147934,0.030448078671683865,0.8987391118082538,0.08421052631578947,1.7201998878910396
2015-09-30,60,legacy,1769,20000,0.23073679298642535,0.6117511595022623,19222,0.7035710895977383,0.7329648605852473,0.7019682034686192,0.030996657116628135,0.9096502965173943,0.11917098445595854,2.3874440647760657
2015-09-30,60,uniform,1769,20000,0.33295319570135745,0.6684771776018099,19299,0.6962293663284459,0.7269842298022088,0.6946458779344878,0.03233835186772094,0.9112522679543639,0.06735751295336788,1.3494249061777766
2015-10-30,60,legacy,1962,20000,0.23355015298317186,0.6155573686894441,19847,0.685057409439181,0.7095852786621927,0.6837216817825247,0.025863596879667994,0.893537655624693,0.12562814070351758,2.4991314219176624
2015-10-30,60,uniform,1962,20000,0.3322960224375319,0.6682840897501275,19833,0.681399027897547,0.7149695336859409,0.6796839413757381,0.035285592310202785,0.8919361761991286,0.10050251256281408,1.9993051375341302
2015-11-30,60,legacy,2037,20000,0.23188447937131632,0.6166621561886051,19834,0.6240398608472493,0.658718886392786,0.6222218157852206,0.03649707060756535,0.8569520438070424,0.1457286432160804,2.908018251713546
2015-11-30,60,uniform,2037,20000,0.33408651768172887,0.664904543222004,19832,0.6192271265562017,0.6551978958213004,0.6172565972325632,0.03794129858873718,0.859498673377988,0.10050251256281408,2.005529828767963
2015-12-31,60,legacy,2119,20000,0.23004190273843247,0.6142885505193578,19811,0.44982887103740077,0.4894252630862581,0.44768619088875283,0.04173907219750528,0.748706542831052,0.135678391959799,2.6798208038095668
2015-12-31,60,uniform,2119,20000,0.3301864966949953,0.6658726628895184,19832,0.44790590166923894,0.487856256245474,0.44571064041719094,0.04214561582828308,0.7459638130060082,0.19095477386934673,3.7715996498060567
2016-01-29,60,legacy,2199,20000,0.23050293448589626,0.6163645814376706,19865,0.6096573783133915,0.6369561678774389,0.6082148887439959,0.028741279133443043,0.8426108537044861,0.17587939698492464,3.4752541929150773
2016-01-29,60,uniform,2199,20000,0.33415978161965426,0.6684840309372156,19881,0.6105924102001996,0.6320339982203181,0.6093848185046826,0.022649179715635515,0.849477791506253,0.10552763819095477,2.085152515749046
2016-02-29,60,legacy,2241,20000,0.2304363392857143,0.6137346205357144,19885,0.6525695974901179,0.6765560720523278,0.6512860828248023,0.025269989227525547,0.8743112953200216,0.09045226130653267,1.7929722534057737
2016-02-29,60,uniform,2241,20000,0.33368624999999996,0.6677143080357143,19892,0.6532829867463446,0.681882354323001,0.651818483909491,0.030063870413509997,0.8774249269419803,0.11557788944723618,2.291020101574044
2016-03-31,60,legacy,2290,20000,0.22953997378768023,0.6126207295762341,19869,0.7000180750906572,0.7277570192538334,0.6985665589192034,0.02919046033463002,0.9090405505754169,0.12060301507537688,2.400852557981198
2016-03-31,60,uniform,2290,20000,0.3336809523809524,0.6655330493665357,19890,0.6988279067850629,0.7213705227870348,0.6976370571783528,0.02373346560868206,0.9097808823035578,0.11557788944723618,2.3008170347319816
2016-04-29,60,legacy,2246,20000,0.23053418708240536,0.6142145879732739,19836,0.594039021771945,0.618666567525959,0.5927563098842585,0.025910257641700518,0.8559017785977691,0.08542713567839195,1.7376945805985273
