config_id,description,return_column,stock_valid_ratio,pair_valid_ratio,analysis_date,window,eligible_stock_count,exact_same_pair_share,market_r2_median,raw_mean_corr,raw_same_cross_gap,raw_top1_same_enrichment,residual_mean_corr,residual_same_cross_gap,residual_top1_same_enrichment,raw_residual_top1_overlap,residual_gap_positive,residual_enrichment_gt_1
BASE,Baseline specification,return_network,0.9,0.9,2015-12-31,60,2119,0.05062965097028949,0.47069513186256384,0.44790590166923894,0.04214561582828308,3.7715996498060567,0.0037146298090994533,0.06261784620910206,4.36711538398596,0.3888888888888889,True,True
BASE,Baseline specification,return_network,0.9,0.9,2016-12-30,60,2499,0.0491911736672251,0.3130027214363019,0.29456413149966754,0.03557830932120232,1.9312407677578187,0.0027151907665385194,0.03566294771025417,2.8460390261694175,0.3015075376884422,True,True
BASE,Baseline specification,return_network,0.9,0.9,2017-12-29,60,2995,0.05000630085992798,0.3106250487272498,0.28057806684813824,0.03828634398985453,2.6996597964353892,0.0034179669657190825,0.04840852090625151,3.9994959947190956,0.255,True,True
BASE,Baseline specification,return_network,0.9,0.9,2018-12-28,60,3426,0.04980224219259335,0.5069239189683687,0.48117469210460545,0.014994643403530739,1.4055592061357127,0.001254586261447723,0.042554164086401614,3.011912584576527,0.145,True,True
BASE,Baseline specification,return_network,0.9,0.9,2019-12-31,60,3641,0.0511310441824037,0.2362719660296128,0.23255721771820628,0.04485190128700489,3.813730056135008,0.004134249427105054,0.05629762766450255,3.5203662056630836,0.32,True,True
BASE,Baseline specification,return_network,0.9,0.9,2020-12-31,60,4004,0.05288940387616381,0.21615047547106334,0.21098017879679365,0.059397432180798126,3.403328205805745,0.0026107539889111417,0.0719005959068732,4.8213816248914725,0.375,True,True
BASE,Baseline specification,return_network,0.9,0.9,2021-12-31,60,4472,0.050020025695307745,0.12308525748569618,0.12569248592712173,0.09188438802753242,5.297878126137369,0.004246823802149056,0.09674189536579449,6.697317631154786,0.495,True,True
BASE,Baseline specification,return_network,0.9,0.9,2022-12-30,60,4812,0.05233443447433519,0.23445124697544217,0.23639316581950354,0.1461367018967432,5.923442244360623,0.002961205335288629,0.17375897779009739,7.260993718893667,0.38,True,True
BASE,Baseline specification,return_network,0.9,0.9,2023-12-29,60,5056,0.053993805481475914,0.2673448680389744,0.2491382994836389,0.1298030633923366,5.648796140228323,0.003469679887628078,0.16892308640943568,7.778670094740641,0.4,True,True
BASE,Baseline specification,return_network,0.9,0.9,2024-12-31,60,5053,0.05453287786047469,0.4355841963977851,0.4100826283001985,0.08531184654616203,4.492702560588233,0.0032407449234269476,0.11069922429734542,4.401014753229289,0.275,True,True
