metric,value
trade_day_count,2837.0
total_expected_stock_day_records,11628957.0
total_exact_matched_records,11625293.0
total_effective_matched_records,11625293.0
weighted_exact_coverage_ratio,0.9996849244519521
weighted_reconciled_coverage_ratio,0.9996849244519521
min_daily_exact_coverage_ratio,0.9992292870905588
min_daily_reconciled_coverage_ratio,0.9992292870905588
total_identity_reconciled_records,0.0
days_with_unresolved_raw_only,2457.0
days_with_unresolved_daily_only,2457.0
total_unresolved_raw_only_records,3664.0
total_unresolved_daily_only_records,2457.0
total_active_stock_day_records,11342625.0
total_suspended_stock_day_records,282668.0
total_suspended_nonpositive_ohlc_records,282668.0
total_suspended_all_zero_ohlc_records,0.0
total_active_invalid_price_count,0.0
total_active_invalid_ohlc_count,0.0
total_active_missing_close_count,0.0
total_negative_volume_count,0.0
total_negative_turnover_value_count,0.0
total_invalid_adj_factor_count,0.0
total_closed_but_traded_count,0.0
high_anomaly_rows,0.0
review_anomaly_rows,0.0
