relation,possible_pairs,selected_R3,selected_R4,persistent,lost,gained,gross_support_change,jaccard,retention_from_R3,inherited_share_R4,support_change_rate_possible,transition_intensity,transition_intensity_squared,mean_abs_delta_all_pairs,mean_abs_delta_selected_union,transition_intensity_share
Same,19,18,15,15,3,0,3,0.8333333333333334,0.8333333333333334,1.0,0.15789473684210525,0.42717159000640714,0.182475567308602,0.0671558019859642,0.07088667987407332,0.4607204908761542
Cross,86,24,20,11,13,9,22,0.3333333333333333,0.4583333333333333,0.55,0.2558139534883721,0.4621580866578843,0.21359009706327653,0.02323760946949884,0.060558618617481824,0.5392795091238458
