security_id,stock_code,stock_name,exchange,board,list_date,delist_date,code_count,issue_type,severity,note
920047.XBEI,920047,诺思兰德,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920057.XBEI,920057,百甲科技,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920057.XBEI,920057,百甲科技,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920058.XBEI,920058,华洋赛车,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920058.XBEI,920058,华洋赛车,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920061.XBEI,920061,西磁科技,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920061.XBEI,920061,西磁科技,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920062.XBEI,920062,科润智控,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920062.XBEI,920062,科润智控,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920075.XBEI,920075,柏星龙,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920075.XBEI,920075,柏星龙,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920077.XBEI,920077,吉林碳谷,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920077.XBEI,920077,吉林碳谷,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920087.XBEI,920087,秋乐种业,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920087.XBEI,920087,秋乐种业,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920089.XBEI,920089,禾昌聚合,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920089.XBEI,920089,禾昌聚合,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920090.XBEI,920090,*ST同辉,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920090.XBEI,920090,*ST同辉,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920092.XBEI,920092,汉鑫科技,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920092.XBEI,920092,汉鑫科技,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920110.XBEI,920110,雷特科技,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920110.XBEI,920110,雷特科技,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920122.XBEI,920122,中纺标,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920122.XBEI,920122,中纺标,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920123.XBEI,920123,芭薇股份,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920123.XBEI,920123,芭薇股份,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920130.XBEI,920130,立方控股,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920130.XBEI,920130,立方控股,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920132.XBEI,920132,泰鹏智能,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920132.XBEI,920132,泰鹏智能,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
