security_id,stock_code,stock_name,exchange,list_date,delist_date,security_type,list_status,board,is_standard_a_share_code,_source_file,missing_list_date_class,severity,note
920017.XBEI,920017,星昊医药,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920017.XBEI,920017,星昊医药,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920021.XBEI,920021,流金科技,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920021.XBEI,920021,流金科技,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920023.XBEI,920023,*ST田野,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920023.XBEI,920023,*ST田野,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920026.XBEI,920026,卓兆点胶,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920026.XBEI,920026,卓兆点胶,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920030.XBEI,920030,德众汽车,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920030.XBEI,920030,德众汽车,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
