regime,start_date,end_date,n_days,p_stocks,n_over_p,n_missing,mean_abs_daily_return,mean_stock_volatility,mean_abs_pairwise_corr
R1,2024-01-16,2024-07-18,121,15,8.066666666666666,0,0.013349713938961897,0.017843203841866707,0.34473562600684515
R2,2024-08-15,2024-12-16,81,15,5.4,0,0.019024805333119732,0.02744958675293609,0.5290000073175201
R3,2025-01-14,2025-10-16,181,15,12.066666666666666,0,0.011667490159448369,0.016594015443226237,0.32537759989993936
R4,2025-11-13,2026-02-09,61,15,4.066666666666666,0,0.01153093659905019,0.01596753092957377,0.2542123190771487
R5,2026-03-17,2026-07-14,81,15,5.4,0,0.016189418095158878,0.021231568213575754,0.3013691275071131
