window_id,network_date,regime,stock,name,industry,node_novelty_score,node_novelty_share,same_node_novelty_score,cross_node_novelty_score,cross_node_novelty_share,node_novelty_rank
2,2024-02-21,R1,000001,平安银行,银行,0.014060024709076338,0.18932323568893777,0.00028066718487213465,0.013779357524204203,0.9800379308941788,2
2,2024-02-21,R1,000568,泸州老窖,食品饮料,0.0025603779772278147,0.03447640052314758,0.001792981652495603,0.0007673963247322111,0.2997199364927714,9
2,2024-02-21,R1,000725,京东方A,电子,0.003602602907618111,0.04851033006594505,0.002232906636646669,0.0013696962709714422,0.38019629309549063,5
2,2024-02-21,R1,000858,五粮液,食品饮料,0.002353276813901313,0.03168770966611051,0.0009751884966494657,0.0013780883172518472,0.585604000817576,10
2,2024-02-21,R1,002415,海康威视,电子,0.0018916657534312432,0.025471952481730935,0.00038156376214123366,0.0015101019912900095,0.7982921869526236,11
2,2024-02-21,R1,002460,赣锋锂业,新能源,0.0016640721948753146,0.022407324231116802,0.0,0.0016640721948753146,1.0,12
2,2024-02-21,R1,002475,立讯精密,电子,0.0028552316666702036,0.038446710369332865,0.0021887354832387453,0.0006664961834314581,0.2334298092906527,8
2,2024-02-21,R1,600030,中信证券,非银金融,0.003549268517906686,0.04779216353049483,0.00046308502193329363,0.0030861834959733923,0.869526630741814,6
2,2024-02-21,R1,600036,招商银行,银行,0.004313138381455712,0.058077943051139044,0.0003059395454302387,0.004007198836025473,0.9290679968104844,4
2,2024-02-21,R1,600519,贵州茅台,食品饮料,0.003481156004719913,0.04687500430394661,0.0010445325707979449,0.002436623433921968,0.6999466357205137,7
2,2024-02-21,R1,600887,伊利股份,食品饮料,0.009137631108289275,0.12304145431810332,0.0005912669205851101,0.008546364187704165,0.9352931943106417,3
2,2024-02-21,R1,601288,农业银行,银行,0.00016702383238851568,0.0022490353352329164,8.510448991385267e-05,8.191934247466298e-05,0.4904649911523383,14
2,2024-02-21,R1,601318,中国平安,非银金融,0.022975948501053056,0.3093793221027366,0.00046308502193329363,0.022512863479119762,0.979844791960947,1
2,2024-02-21,R1,601398,工商银行,银行,0.00010353207689258628,0.0013940962551969806,8.66236144287537e-05,1.690846246383258e-05,0.1633161718698542,15
2,2024-02-21,R1,603501,韦尔股份,电子,0.0015497041697217567,0.020867318076828338,0.001548884395467285,8.197742544719407e-07,0.0005289875774284894,13
