window_id,network_date,regime,stock,name,industry,node_novelty_score,node_novelty_share,same_node_novelty_score,cross_node_novelty_score,cross_node_novelty_share,node_novelty_rank
23,2025-11-13,R4,601318,中国平安,非银金融,0.061053207859356466,0.1555719052947649,0.027329295545909457,0.03372391231344702,0.5523692119689138,1
23,2025-11-13,R4,600030,中信证券,非银金融,0.05966166679227293,0.15202606875820165,0.027329295545909457,0.03233237124636348,0.5419287288592983,2
23,2025-11-13,R4,601398,工商银行,银行,0.03993196359759216,0.101752092590276,0.03991739437209891,1.4569225493252816e-05,0.00036485121643583087,3
23,2025-11-13,R4,600036,招商银行,银行,0.03945405784844258,0.10053432352369734,0.027855228315069282,0.011598829533373293,0.2939831836291371,4
23,2025-11-13,R4,000725,京东方A,电子,0.03520957335899606,0.08971879781801442,0.01114478921795358,0.02406478414104249,0.6834727559939014,5
23,2025-11-13,R4,000001,平安银行,银行,0.029111726198744078,0.07418065110667352,0.02034521276101425,0.00876651343772983,0.3011334119413376,6
23,2025-11-13,R4,601288,农业银行,银行,0.027937811572492727,0.07118935643989661,0.027592395712411066,0.00034541586008166123,0.012363740774232797,7
23,2025-11-13,R4,002415,海康威视,电子,0.026621469269417126,0.06783513661607803,0.013358607736780976,0.01326286153263615,0.49820171074752023,8
23,2025-11-13,R4,002460,赣锋锂业,新能源,0.01718187321645679,0.043781757691993745,0.0,0.01718187321645679,1.0,9
23,2025-11-13,R4,002475,立讯精密,电子,0.01437970580876876,0.03664145273745054,0.012419675388348188,0.0019600304204205705,0.13630532129700051,10
23,2025-11-13,R4,000858,五粮液,食品饮料,0.012626969489448704,0.03217524140742349,0.001034360938862043,0.01159260855058666,0.9180831996365896,11
23,2025-11-13,R4,000568,泸州老窖,食品饮料,0.009396282659690863,0.023943010487240866,0.0007288023989008437,0.00866748026079002,0.9224371567676083,12
23,2025-11-13,R4,600519,贵州茅台,食品饮料,0.009024971227528883,0.02299685828681534,0.00040824748140730056,0.008616723746121581,0.9547646777906589,13
23,2025-11-13,R4,603501,韦尔股份,电子,0.006035983013051234,0.015380508421938863,0.002005550077936823,0.004030432935114411,0.6677343071376534,14
23,2025-11-13,R4,600887,伊利股份,食品饮料,0.004816397781165714,0.012272838819534651,0.00013028131565177406,0.0046861164655139405,0.9729504659766202,15
