regime,n_network_states,mean_centroid_novelty,median_centroid_novelty,max_centroid_novelty,mean_nearest_state_distance,mean_support_novelty,mean_cross_novelty_energy_share,mean_centroid_novelty_robust_z
R1,6,0.2225279580977959,0.23170095578538047,0.29370231418936316,0.14810178452224793,0.12820912781604604,0.7982744070037319,
R2,5,0.3588869298730066,0.3872432153264531,0.4130565988295622,0.16201839891699946,0.12019540376364642,0.6725054320017613,1.8397843007775847
R3,10,0.3204045447187574,0.32137999863598377,0.3697077627006471,0.09470096571409652,0.04578717561929903,0.5572759236002404,0.06791809405725374
R4,4,0.45127494205963437,0.45218143871953564,0.4577675579481813,0.18004485703165882,0.13572317376665205,0.5006300114305053,2.5055314266614
R5,5,0.44503684710857705,0.4480078370090537,0.4701903530836421,0.17109870876366168,0.11899880261582389,0.4549574823112554,1.4800576412358364
