regime,n_edges,density,same_edges,cross_edges,same_edge_ratio,cross_edge_ratio,same_possible_pairs,cross_possible_pairs,same_pair_coverage,cross_pair_coverage,mean_abs_partial,median_abs_partial,same_mean_abs_partial,cross_mean_abs_partial,same_cross_strength_ratio
R1,49,0.4666666666666667,15,34,0.30612244897959184,0.6938775510204082,19,86,0.7894736842105263,0.3953488372093023,0.1163940289957354,0.0859214108241672,0.21115296827874946,0.07458861460617038,2.830900793554647
R2,61,0.580952380952381,19,42,0.3114754098360656,0.6885245901639344,19,86,1.0,0.4883720930232558,0.11001261245840323,0.0652733712770913,0.19061201351524454,0.07355097864697499,2.5915632534290425
R3,42,0.4,18,24,0.42857142857142855,0.5714285714285714,19,86,0.9473684210526315,0.27906976744186046,0.13282943104269207,0.11048543661707355,0.2165766083802932,0.0700190480394912,3.093109867162755
R4,35,0.3333333333333333,15,20,0.42857142857142855,0.5714285714285714,19,86,0.7894736842105263,0.23255813953488372,0.1405916633609131,0.1186021141441763,0.21849079290066245,0.08216731620610114,2.6590961344364676
R5,41,0.3904761904761905,17,24,0.4146341463414634,0.5853658536585366,19,86,0.8947368421052632,0.27906976744186046,0.1312831488222742,0.1003354665434497,0.20497447214133693,0.07908512813793814,2.5918206996368016
