stock_i,stock_j,industry_i,industry_j,same_industry,relation,edge_R3,edge_R4,partial_R3,partial_R4,abs_partial_R3,abs_partial_R4,delta_partial,delta_abs_partial,abs_delta_partial,change_type,name_i,name_j
002460,600519,新能源,食品饮料,False,Cross,1,0,0.0109576821610894,0.0,0.0109576821610894,0.0,-0.0109576821610894,-0.0109576821610894,0.0109576821610894,Lost,赣锋锂业,贵州茅台
000568,601318,食品饮料,非银金融,False,Cross,1,0,0.0083995344149207,0.0,0.0083995344149207,0.0,-0.0083995344149207,-0.0083995344149207,0.0083995344149207,Lost,泸州老窖,中国平安
002415,601318,电子,非银金融,False,Cross,1,0,0.0024274473155564,0.0,0.0024274473155564,0.0,-0.0024274473155564,-0.0024274473155564,0.0024274473155564,Lost,海康威视,中国平安
601288,603501,银行,电子,False,Cross,1,0,-0.001212797141703,0.0,0.001212797141703,0.0,0.001212797141703,-0.001212797141703,0.001212797141703,Lost,农业银行,韦尔股份
601398,603501,银行,电子,False,Cross,0,1,0.0,-0.1729679090636128,0.0,0.1729679090636128,-0.1729679090636128,0.1729679090636128,0.1729679090636128,Gained,工商银行,韦尔股份
600030,600887,非银金融,食品饮料,False,Cross,0,1,0.0,0.1447201181655488,0.0,0.1447201181655488,0.1447201181655488,0.1447201181655488,0.1447201181655488,Gained,中信证券,伊利股份
002475,600030,电子,非银金融,False,Cross,0,1,0.0,0.1391158268616628,0.0,0.1391158268616628,0.1391158268616628,0.1391158268616628,0.1391158268616628,Gained,立讯精密,中信证券
000001,000858,银行,食品饮料,False,Cross,0,1,0.0,0.0685170645911454,0.0,0.0685170645911454,0.0685170645911454,0.0685170645911454,0.0685170645911454,Gained,平安银行,五粮液
000001,600030,银行,非银金融,False,Cross,0,1,0.0,0.0672277297710374,0.0,0.0672277297710374,0.0672277297710374,0.0672277297710374,0.0672277297710374,Gained,平安银行,中信证券
600036,600887,银行,食品饮料,False,Cross,0,1,0.0,0.0305416703923764,0.0,0.0305416703923764,0.0305416703923764,0.0305416703923764,0.0305416703923764,Gained,招商银行,伊利股份
000568,600036,食品饮料,银行,False,Cross,0,1,0.0,0.0076760321848949,0.0,0.0076760321848949,0.0076760321848949,0.0076760321848949,0.0076760321848949,Gained,泸州老窖,招商银行
000001,600519,银行,食品饮料,False,Cross,0,1,0.0,0.0051143895276764,0.0,0.0051143895276764,0.0051143895276764,0.0051143895276764,0.0051143895276764,Gained,平安银行,贵州茅台
600036,603501,银行,电子,False,Cross,0,1,0.0,-0.0015945471603416,0.0,0.0015945471603416,-0.0015945471603416,0.0015945471603416,0.0015945471603416,Gained,招商银行,韦尔股份
002460,600030,新能源,非银金融,False,Cross,1,1,0.0130646123783224,0.1875939151703872,0.0130646123783224,0.1875939151703872,0.1745293027920648,0.1745293027920648,0.1745293027920648,Strengthened,赣锋锂业,中信证券
000858,600519,食品饮料,食品饮料,True,Same,1,1,0.2919301428493033,0.4201907098956802,0.2919301428493033,0.4201907098956802,0.1282605670463769,0.1282605670463769,0.1282605670463769,Strengthened,五粮液,贵州茅台
000001,600036,银行,银行,True,Same,1,1,0.2381626636748869,0.3220852082146284,0.2381626636748869,0.3220852082146284,0.08392254453974149,0.08392254453974149,0.08392254453974149,Strengthened,平安银行,招商银行
000001,601318,银行,非银金融,False,Cross,1,1,0.1709898893741488,0.2375893890389152,0.1709898893741488,0.2375893890389152,0.06659949966476639,0.06659949966476639,0.06659949966476639,Strengthened,平安银行,中国平安
000568,600030,食品饮料,非银金融,False,Cross,1,1,0.0014902159366758,0.0419150367975313,0.0014902159366758,0.0419150367975313,0.0404248208608555,0.0404248208608555,0.0404248208608555,Strengthened,泸州老窖,中信证券
600030,601318,非银金融,非银金融,True,Same,1,1,0.347847324749084,0.3830871977270647,0.347847324749084,0.3830871977270647,0.0352398729779807,0.0352398729779807,0.0352398729779807,Strengthened,中信证券,中国平安
600036,601398,银行,银行,True,Same,1,1,0.2523680795386456,0.2817412827797694,0.2523680795386456,0.2817412827797694,0.029373203241123802,0.029373203241123802,0.029373203241123802,Strengthened,招商银行,工商银行
000001,600887,银行,食品饮料,False,Cross,1,1,0.0099856961981237,0.0368941408063844,0.0099856961981237,0.0368941408063844,0.026908444608260702,0.026908444608260702,0.026908444608260702,Strengthened,平安银行,伊利股份
002415,600030,电子,非银金融,False,Cross,1,1,0.0935939060214078,0.1186021141441763,0.0935939060214078,0.1186021141441763,0.025008208122768508,0.025008208122768508,0.025008208122768508,Strengthened,海康威视,中信证券
000568,600887,食品饮料,食品饮料,True,Same,1,1,0.0494899940599966,0.0715857545228876,0.0494899940599966,0.0715857545228876,0.022095760462890995,0.022095760462890995,0.022095760462890995,Strengthened,泸州老窖,伊利股份
002475,603501,电子,电子,True,Same,1,1,0.1898295837850101,0.1995544510994254,0.1898295837850101,0.1995544510994254,0.009724867314415298,0.009724867314415298,0.009724867314415298,Strengthened,立讯精密,韦尔股份
600519,601318,食品饮料,非银金融,False,Cross,1,1,0.12235932970301,0.1320755587115646,0.12235932970301,0.1320755587115646,0.009716229008554594,0.009716229008554594,0.009716229008554594,Strengthened,贵州茅台,中国平安
601288,601398,银行,银行,True,Same,1,1,0.498742830862146,0.5083640525507872,0.498742830862146,0.5083640525507872,0.009621221688641213,0.009621221688641213,0.009621221688641213,Strengthened,农业银行,工商银行
000001,601398,银行,银行,True,Same,1,1,0.0603622298235654,0.067318779643195,0.0603622298235654,0.067318779643195,0.006956549819629607,0.006956549819629607,0.006956549819629607,Strengthened,平安银行,工商银行
000568,600519,食品饮料,食品饮料,True,Same,1,1,0.2530000940218926,0.2551389625087109,0.2530000940218926,0.2551389625087109,0.0021388684868182684,0.0021388684868182684,0.0021388684868182684,Strengthened,泸州老窖,贵州茅台
