window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,is_boundary,edges_prev,edges_curr,persistent,lost,gained,absent,gross_support_change,net_edge_change,rewiring,jaccard,cross_support_change_share,transition_energy,TI_total,TI_same,TI_cross,same_energy_share,cross_energy_share,support_change_energy,persistent_change_energy,support_energy_share,persistent_energy_share,boundary,boundary_TI_rank
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,True,51,53,48,3,5,49,8,2,6,0.8571428571428571,0.875,0.019714737275121366,0.14040917803021769,0.08135395567193991,0.1144389408009765,0.33571160554211443,0.6642883944578856,0.0021260253690124774,0.01758871190610889,0.10783939645472092,0.8921606035452792,R1→R2,2
12,13,2024-12-16,2025-01-14,R2,R3,R2→R3 Boundary,True,54,57,53,1,4,47,5,3,2,0.9137931034482759,0.6,0.00781899670438882,0.08842509092100963,0.04872863193657452,0.07378697130238285,0.3036808506489521,0.696319149351048,0.0007167117703783032,0.007102284934010518,0.0916628817577083,0.9083371182422919,R2→R3,4
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,True,54,44,44,10,0,51,10,-10,0,0.8148148148148148,0.9,0.12591736152164687,0.3548483641242367,0.24767646094617182,0.2541136206794636,0.487173719060773,0.512826280939227,0.013267058650139678,0.1126503028715072,0.10536321989131653,0.8946367801086835,R3→R4,1
26,27,2026-02-09,2026-03-17,R4,R5,R4→R5 Boundary,True,40,44,39,1,5,60,6,4,2,0.8666666666666667,0.8333333333333334,0.018484720443720414,0.1359585247188289,0.11266631960972624,0.07609875734412112,0.6867130943661772,0.31328690563382255,0.0024801850157348372,0.01600453542798557,0.1341748728787186,0.8658251271212811,R4→R5,3
