regime_curr,n_transitions,mean_TI,median_TI,sd_TI,min_TI,max_TI,mean_cross_energy_share,mean_support_energy_share,mean_persistent_energy_share,mean_gross_support_change,mean_jaccard
R1,6,0.14810178452224793,0.12416289939449696,0.05919914356973975,0.0959881454683532,0.2455333825035351,0.6628399963001439,0.07957122216463754,0.9204287778353625,7.166666666666667,0.8717908721839539
R2,4,0.16742070413869486,0.16177704067453597,0.0902336179467826,0.0635305767040845,0.2825981585016231,0.7823301347406721,0.054273771697282217,0.9457262283027177,6.75,0.8854700310097277
R3,9,0.09539828513555061,0.09133997347799039,0.029153949606025978,0.04770243266549787,0.14149503673027983,0.6564488056169409,0.029444280756771843,0.9705557192432281,2.3333333333333335,0.9587039044843038
R4,3,0.12177702133413286,0.11213039792306326,0.019833198958470313,0.10861248232036208,0.1445881837589732,0.6210704968830174,0.09326477706494633,0.9067352229350537,5.333333333333333,0.880764163372859
R5,4,0.17988375477486987,0.17664018829791675,0.04716864472234931,0.1328202608247414,0.23343438167890454,0.5056706531285571,0.21377103684098764,0.7862289631590124,5.5,0.8802630215529151
