window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,is_boundary,edges_prev,edges_curr,persistent,lost,gained,absent,gross_support_change,net_edge_change,rewiring,jaccard,cross_support_change_share,transition_energy,TI_total,TI_same,TI_cross,same_energy_share,cross_energy_share,support_change_energy,persistent_change_energy,support_energy_share,persistent_energy_share,relative_transition
20,21,2025-08-13,2025-09-10,R3,R3,Within R3,False,55,54,54,1,0,50,1,-1,0,0.9818181818181818,1.0,0.008579655420978433,0.09262642938696511,0.055436712436350705,0.07420529856572096,0.358199593684867,0.6418004063151328,2.0996467646603964e-05,0.00855865895333183,0.002447239034246611,0.9975527609657535,-2
21,22,2025-09-10,2025-10-16,R3,R3,Within R3,False,54,54,51,3,3,48,6,0,6,0.8947368421052632,1.0,0.02002084541930324,0.14149503673027983,0.08838176755644146,0.11049664512057544,0.39016018918309475,0.6098398108169051,0.0005544857241391215,0.019466359695164116,0.027695420074744202,0.9723045799252557,-1
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,True,54,44,44,10,0,51,10,-10,0,0.8148148148148148,0.9,0.12591736152164687,0.3548483641242367,0.24767646094617182,0.2541136206794636,0.487173719060773,0.512826280939227,0.013267058650139678,0.1126503028715072,0.10536321989131653,0.8946367801086835,0
23,24,2025-11-13,2025-12-11,R4,R4,Within R4,False,44,42,40,4,2,59,6,-2,4,0.8695652173913043,0.8333333333333334,0.020905742882718605,0.1445881837589732,0.07691550515719872,0.12243262616284739,0.28298420040731603,0.7170157995926839,0.002673454105749735,0.01823228877696887,0.1278813252773573,0.8721186747226427,1
24,25,2025-12-11,2026-01-12,R4,R4,Within R4,False,42,42,40,2,2,61,4,0,4,0.9090909090909091,1.0,0.01257322613838451,0.11213039792306326,0.05966643424528866,0.09493757297738949,0.2831479634871801,0.7168520365128199,0.00040216693093270194,0.012171059207451809,0.03198597770423741,0.9680140222957626,2
